OTU	Group
ASV_281	plaque
ASV_542	saliva
ASV_482	feces
ASV_208	saliva
ASV_285	plaque
ASV_285	saliva
ASV_238	feces
ASV_321	plaque
ASV_377	plaque
ASV_274	plaque
ASV_274	saliva
ASV_418	saliva
ASV_780	feces
ASV_185	plaque
ASV_1264	saliva
ASV_836	plaque
ASV_836	saliva
ASV_226	plaque
ASV_224	feces
ASV_305	plaque
ASV_305	saliva
ASV_269	plaque
ASV_269	saliva
ASV_295	plaque
ASV_392	plaque
ASV_357	saliva
ASV_279	feces
ASV_373	saliva
ASV_218	feces
ASV_344	plaque
ASV_530	plaque
ASV_530	saliva
ASV_257	plaque
ASV_257	saliva
ASV_326	saliva
ASV_244	plaque
ASV_322	plaque
ASV_181	plaque
ASV_204	feces
ASV_334	saliva
ASV_1315	saliva
ASV_221	feces
ASV_399	plaque
ASV_399	saliva
ASV_227	plaque
ASV_311	feces
ASV_492	plaque
ASV_492	saliva
ASV_587	plaque
ASV_282	feces
ASV_303	plaque
ASV_302	feces
ASV_191	feces
ASV_342	feces
ASV_353	plaque
ASV_353	saliva
ASV_266	plaque
ASV_266	saliva
ASV_370	plaque
ASV_1201	saliva
ASV_319	plaque
ASV_319	saliva
ASV_323	plaque
ASV_485	plaque
ASV_485	saliva
ASV_294	feces
ASV_390	saliva
ASV_371	plaque
ASV_371	saliva
ASV_314	saliva
ASV_283	feces
ASV_280	feces
ASV_365	saliva
ASV_495	saliva
ASV_307	plaque
ASV_307	saliva
ASV_223	feces
ASV_290	feces
ASV_341	plaque
ASV_555	plaque
ASV_638	saliva
ASV_396	saliva
ASV_286	feces
ASV_347	saliva
ASV_1086	feces
ASV_1070	saliva
ASV_953	plaque
ASV_953	saliva
ASV_327	feces
ASV_277	plaque
ASV_358	plaque
ASV_405	feces
ASV_762	saliva
ASV_508	saliva
ASV_620	feces
ASV_429	saliva
ASV_366	plaque
ASV_339	plaque
ASV_367	plaque
ASV_367	saliva
ASV_351	feces
ASV_413	plaque
ASV_372	plaque
ASV_718	plaque
ASV_317	feces
ASV_443	plaque
ASV_529	saliva
ASV_500	plaque
ASV_500	saliva
ASV_520	saliva
ASV_540	saliva
ASV_473	saliva
ASV_343	plaque
ASV_496	saliva
ASV_755	plaque
ASV_755	saliva
ASV_400	saliva
ASV_652	plaque
ASV_652	saliva
ASV_771	plaque
ASV_771	saliva
ASV_425	saliva
ASV_383	saliva
ASV_478	plaque
ASV_478	saliva
ASV_761	plaque
ASV_412	plaque
ASV_674	feces
ASV_391	plaque
ASV_584	saliva
ASV_444	feces
ASV_634	plaque
ASV_576	plaque
ASV_576	saliva
ASV_1199	plaque
ASV_1199	saliva
ASV_469	saliva
ASV_1095	plaque
ASV_494	saliva
ASV_616	saliva
ASV_901	saliva
ASV_476	saliva
ASV_325	plaque
ASV_559	saliva
ASV_433	saliva
ASV_561	plaque
ASV_561	saliva
ASV_468	saliva
ASV_927	saliva
ASV_470	plaque
ASV_493	plaque
ASV_601	saliva
ASV_499	saliva
ASV_589	saliva
ASV_549	plaque
ASV_456	feces
ASV_685	saliva
ASV_688	plaque
ASV_349	plaque
ASV_451	saliva
ASV_430	saliva
ASV_603	plaque
ASV_633	saliva
ASV_1066	saliva
ASV_441	feces
ASV_568	plaque
ASV_394	saliva
ASV_359	plaque
ASV_1202	saliva
ASV_461	feces
ASV_789	saliva
ASV_897	plaque
ASV_515	saliva
ASV_511	saliva
ASV_419	saliva
ASV_626	saliva
ASV_379	feces
ASV_666	plaque
ASV_414	plaque
ASV_393	plaque
ASV_630	saliva
ASV_668	plaque
ASV_712	saliva
ASV_438	plaque
ASV_871	saliva
ASV_403	saliva
ASV_653	saliva
ASV_898	plaque
ASV_501	saliva
ASV_507	plaque
ASV_1447	saliva
ASV_402	saliva
ASV_407	saliva
ASV_837	saliva
ASV_1151	plaque
ASV_472	saliva
ASV_514	saliva
ASV_721	feces
ASV_783	saliva
ASV_539	saliva
ASV_648	saliva
ASV_611	saliva
ASV_395	plaque
ASV_643	saliva
ASV_716	plaque
ASV_624	plaque
ASV_931	saliva
ASV_740	saliva
ASV_416	plaque
ASV_509	plaque
ASV_714	plaque
ASV_791	saliva
ASV_1092	saliva
ASV_1391	feces
ASV_510	saliva
ASV_715	saliva
ASV_1093	plaque
ASV_486	plaque
ASV_850	saliva
ASV_969	saliva
ASV_531	plaque
ASV_1096	plaque
