SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
feces1	344	380.75	372.462762926957	4.57511773103445	0.97660882	42.7511566325427
feces2	420	493.1	490.29506935841	4.87531776549361	0.98443966	64.2659479163052
feces3	335	400.022222222222	408.393667365787	4.52380621826237	0.97862288	46.7789861309662
feces4	261	285.848484848485	290.201197883598	4.38765629527474	0.9781855	45.8410690137294
feces5	302	341.078947368421	339.64026365461	4.16756491261018	0.9646966	28.3258836259397
feces6	302	329.236842105263	329.789497134545	4.16352377648172	0.95941866	24.6418674198536
plaque1	555	635.5	613.599206439454	5.41413763428096	0.99136654	115.828416417056
plaque2	461	516	502.038889850988	5.21802850040389	0.98712158	77.6492768522847
plaque3	315	376.090909090909	368.928378110077	4.40129678516165	0.97435672	38.9965714214406
plaque4	316	407.12	380.462485065666	4.62882552255458	0.98254408	57.2871553031865
plaque5	246	315.789473684211	295.252831338077	4.30426720410976	0.97554398	40.8897277643705
plaque6	399	450.071428571429	448.069252956463	4.9408987740633	0.9847034	65.3740046807787
saliva1	468	501.888888888889	500.586974573752	5.13696607779886	0.98889694	90.0652612883295
saliva2	357	379.941176470588	378.845748163954	4.85854304846138	0.9842298	63.410736705939
saliva3	411	442.8	443.34100382968	5.15643892197287	0.99041772	104.359296534854
saliva4	464	501.657894736842	493.008859511536	5.34034622660331	0.990688	107.388316151203
saliva5	400	518.833333333333	485.451675136846	4.72057081465676	0.97834102	46.1702259293836
saliva6	518	571.77358490566	562.583286191253	5.20361604553523	0.9879895	83.260480412972
