phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
Actinobacteriota	Bacteria	0.013157894736842	0.049586776859504	0.0855614973262031	0.0102214650766608	0.0555555555555555	0.0170212765957446	0.0222222222222222	0.0083333333333333	0.0925925925925925	0.0119047619047618	0.0158102766798418	0.018018018018018
Bacteroidota	Bacteria	0.026315789473684098	0.23140495867768548	0.256684491978609	0.0971039182282787	0.2111111111111109	0.29999999999999893	0.111111111111111	0.1916666666666664	0.037037037037037	0.1626984126984115	0.10671936758893219	0.063063063063063
Bdellovibrionota	Bacteria	0.131578947368421	0.0027548209366391			0.0111111111111111		0.0222222222222222	0.0083333333333333				0.009009009009009
Campylobacterota	Bacteria		0.0055096418732782	0.0080213903743315	0.0102214650766608	0.0111111111111111	0.002127659574468		0.24999999999999992		0.0793650793650792	0.45849802371541487	0.009009009009009
Chloroflexi	Bacteria						0.002127659574468						0.009009009009009
Cloacimonadota	Bacteria												0.009009009009009
Cyanobacteria	Bacteria	0.2039473684210524	0.0661157024793387	0.0374331550802139	0.7580919931856899	0.0222222222222222	0.1404255815729012	0.1999999999999999	0.0749999999999998	0.4629629629629628	0.0039682539682539	0.0395256916996045	0.4054054054054054
Desulfobacterota	Bacteria		0.0055096418732782	0.0026737967914438								0.0079051383399208	0.018018018018018
Fermentibacterota	Bacteria		0.0027548209366391										
Firmicutes	Bacteria		0.0220385674931128	0.029411764705882297	0.0017035775127768	0.0111111111111111	0.012765957446808399		0.0166666666666666		0.0198412698412695	0.063241106719367	0.027027027027027
Latescibacterota	Bacteria												0.009009009009009
Patescibacteria	Bacteria	0.006578947368421		0.0026737967914438	0.0034071550255536		0.004255319148936				0.027777777777777603	0.019762845849802098	0.027027027027027
Planctomycetota	Bacteria							0.0222222222222222	0.0166666666666666			0.0079051383399208	
Proteobacteria	Bacteria	0.6184210526315783	0.6088154269972444	0.5748663101604272	0.1090289608177164	0.6666666666666663	0.5170212269377358	0.5999999999999995	0.4249999999999996	0.407407407407407	0.6785714285714265	0.2569169960474295	0.3873873873873871
Spirochaetota	Bacteria										0.0079365079365078	0.0197628458498022	0.009009009009009
Sumerlaeota	Bacteria		0.0027548209366391										
Verrucomicrobiota	Bacteria		0.0027548209366391	0.0026737967914438	0.0102214650766608	0.0111111111111111	0.0042553191489361	0.0222222222222222	0.0083333333333333		0.0079365079365079	0.0039525691699604	
		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
