class	phylum	superkingdom	E1.filtered.qc-renamed	E2.filtered.qc-renamed	E3.filtered.qc-renamed	E4.filtered.qc-renamed	E5.filtered.qc-renamed	E6.filtered.qc-renamed	E7.filtered.qc-renamed	N1.filtered.qc-renamed	N2.filtered.qc-renamed	O1.filtered.qc-renamed	O2.filtered.qc-renamed	S1.filtered.qc-renamed
Acidimicrobiia	Actinobacteriota	Bacteria			0.0053475935828877	0.0017035775127768			0.0222222222222222	0.0083333333333333	0.074074074074074			
Actinobacteria	Actinobacteriota	Bacteria	0.013157894736842	0.049586776859504	0.0802139037433154	0.008517887563884	0.0555555555555555	0.0170212765957446			0.0185185185185185	0.0119047619047618	0.0158102766798418	0.018018018018018
Alphaproteobacteria	Proteobacteria	Bacteria	0.546052631578947	0.0303030303030302	0.2700534759358287	0.0528109028960814	0.1999999999999999	0.0489361205547579	0.0666666666666666	0.1583333333333333	0.1851851851851851	0.5317460317460306	0.13043478260869498	0.1981981981981981
Anaerolineae	Chloroflexi	Bacteria						0.002127659574468						0.009009009009009
Bacilli	Firmicutes	Bacteria		0.0165289256198346	0.029411764705882297	0.0017035775127768	0.0111111111111111	0.0106382978723404		0.0083333333333333			0.0039525691699604	
Bacteroidia	Bacteroidota	Bacteria	0.0197368421052631	0.22589531680440728	0.256684491978609	0.0971039182282787	0.2111111111111109	0.29999999999999893	0.111111111111111	0.1083333333333331	0.037037037037037	0.1587301587301576	0.10671936758893219	0.063063063063063
Bdellovibrionia	Bdellovibrionota	Bacteria					0.0111111111111111							
Campylobacteria	Campylobacterota	Bacteria		0.0055096418732782	0.0080213903743315	0.0102214650766608	0.0111111111111111	0.002127659574468		0.24999999999999992		0.0793650793650792	0.45849802371541487	0.009009009009009
Cloacimonadia	Cloacimonadota	Bacteria												0.009009009009009
Clostridia	Firmicutes	Bacteria		0.0055096418732782				0.002127659574468		0.0083333333333333		0.0198412698412695	0.0592885375494066	0.027027027027027
Cyanobacteriia	Cyanobacteria	Bacteria	0.2039473684210524	0.0661157024793387	0.0374331550802139	0.7580919931856899	0.0222222222222222	0.1404255815729012	0.1999999999999999	0.0583333333333332	0.4629629629629628	0.0039682539682539	0.0316205533596836	0.4054054054054054
Desulfobaccia	Desulfobacterota	Bacteria												0.009009009009009
Desulfobacteria	Desulfobacterota	Bacteria		0.0055096418732782	0.0026737967914438								0.0079051383399208	0.009009009009009
Dojkabacteria	Patescibacteria	Bacteria						0.002127659574468					0.0079051383399209	
Fermentibacteria	Fermentibacterota	Bacteria		0.0027548209366391										
Gammaproteobacteria	Proteobacteria	Bacteria	0.0723684210526313	0.5785123966942142	0.3048128342245985	0.056218057921635	0.4666666666666664	0.46808510638297796	0.5333333333333329	0.26666666666666633	0.2222222222222219	0.14682539682539592	0.1264822134387345	0.189189189189189
Gracilibacteria	Patescibacteria	Bacteria	0.006578947368421		0.0026737967914438	0.0017035775127768		0.002127659574468				0.0238095238095237	0.0039525691699604	0.009009009009009
Kapabacteria	Bacteroidota	Bacteria	0.006578947368421							0.0583333333333333		0.0039682539682539		
Kiritimatiellae	Verrucomicrobiota	Bacteria										0.0079365079365079		
Latescibacteria	Latescibacterota	Bacteria												0.009009009009009
Leptospirae	Spirochaetota	Bacteria												0.009009009009009
MVP-15	Spirochaetota	Bacteria										0.0039682539682539	0.0039525691699604	
Microgenomatia	Patescibacteria	Bacteria										0.0039682539682539	0.0079051383399208	0.009009009009009
OM190	Planctomycetota	Bacteria								0.0083333333333333				
Oligoflexia	Bdellovibrionota	Bacteria	0.131578947368421	0.0027548209366391					0.0222222222222222	0.0083333333333333				0.009009009009009
Omnitrophia	Verrucomicrobiota	Bacteria			0.0026737967914438									
Parcubacteria	Patescibacteria	Bacteria				0.0017035775127768								
Phycisphaerae	Planctomycetota	Bacteria								0.0083333333333333				
Planctomycetes	Planctomycetota	Bacteria							0.0222222222222222				0.0039525691699604	
Rhodothermia	Bacteroidota	Bacteria		0.0055096418732782						0.025				
Spirochaetia	Spirochaetota	Bacteria										0.0039682539682539	0.0158102766798418	
Sumerlaeia	Sumerlaeota	Bacteria		0.0027548209366391										
Vampirivibrionia	Cyanobacteria	Bacteria								0.0166666666666666			0.0079051383399209	
Verrucomicrobiae	Verrucomicrobiota	Bacteria		0.0027548209366391		0.0102214650766608	0.0111111111111111	0.0042553191489361	0.0222222222222222	0.0083333333333333			0.0039525691699604	
WWE3	Patescibacteria	Bacteria												0.009009009009009
vadinHA49	Planctomycetota	Bacteria											0.0039525691699604	
			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
