OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	MeanA	MeanB	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_43	2.706	12.346	1.53314529519337e-10	4.12569398936536e-07	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	1.007	0.13	1.625	0.58	0.879	0.888	0.403	1.666	0.131	0.046	0.205	0.13	0.073	0.195
OTU_172	2.669	10.29	3.07718567030428e-10	4.14035331939441e-07	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.232	0.03	0.302	0.149	0.153	0.234	0.112	0.444	0.018	0.015	0.049	0.024	0.026	0.049
OTU_881	6.555	7.788	1.02367401926606e-06	0.00091823559528166	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0.037	0	0.098	0	0.006	0.093	0.003	0.021	0	0	0	0	0	0
OTU_575	2.934	8.72	1.46674599475633e-06	0.000986753367972318	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.072	0.008	0.037	0.083	0.017	0.099	0.041	0.152	0.005	0.008	0.008	0.016	0	0.008
OTU_246	2.207	9.82	5.79106008979476e-06	0.00311674854032754	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.156	0.028	0.15	0.08	0.107	0.204	0.056	0.337	0.018	0.018	0.03	0.038	0.01	0.055
OTU_173	2.653	8.452	8.62027721073104e-06	0.00349095146735751	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0.057	0.007	0.128	0.086	0.02	0.043	0.021	0.046	0.013	0.003	0.005	0.014	0.005	0.003
OTU_849	6.771	7.961	9.08088453047291e-06	0.00349095146735751	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0.044	0	0.177	0.009	0	0.077	0	0.003	0	0	0	0	0	0
OTU_1731	6.126	7.464	1.52250828683788e-05	0.00512133724985091	Enriched	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.025	0	0	0.024	0	0.037	0.085	0.003	0	0	0	0	0	0
OTU_830	4.822	7.935	4.53773879828602e-05	0.0125485818637218	Enriched	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0.038	0.001	0.021	0.065	0.032	0.111	0	0	0	0.003	0	0	0	0.003
OTU_1993	4.173	7.038	4.92339781099747e-05	0.0125485818637218	Enriched	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Archangium	0.015	0	0.006	0.018	0	0.019	0.038	0.012	0	0	0.003	0	0	0
OTU_67	2.243	11.77	5.12948348201187e-05	0.0125485818637218	Enriched	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.618	0.108	0.391	0.372	0.234	1.329	0.282	1.097	0.071	0.041	0.06	0.092	0.256	0.126
