OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
OTU_5	-3.018	14.015	2.55271869742612e-08	6.86936601477368e-05	Depleted	Bacteria	Cyanobacteria	Chloroplast	Unassigned	Chloroplast	Streptophyta	0.338	2.917	0.139	0.312	0.512	0.11	0.447	0.51	3.801	3.619	2.973	1.938	4.11	1.058
OTU_1908	-3.227	7.746	7.99371972902709e-07	0.0010755549895406	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.03	0.009	0.003	0.003	0.003	0	0	0.018	0.031	0.044	0.024	0.042	0.019
OTU_1850	-4.978	6.73	1.87991994860907e-06	0.00167002928369327	Depleted	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	0	0.011	0	0	0	0	0	0	0.016	0.005	0.019	0.014	0.008	0.003
OTU_2659	-3.546	7.333	2.48239209764886e-06	0.00167002928369327	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.001	0.02	0.003	0.006	0	0	0	0	0.005	0.026	0.03	0.019	0.023	0.019
OTU_247	-2.122	9.363	4.62729385605373e-06	0.0022873680140018	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	0.023	0.099	0.049	0.023	0.024	0.019	0.005	0.017	0.087	0.144	0.085	0.111	0.086	0.082
OTU_112	-1.972	10.217	5.12647775624206e-06	0.0022873680140018	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella	0.046	0.183	0.086	0.045	0.037	0.048	0.026	0.033	0.181	0.26	0.208	0.238	0.112	0.101
OTU_204	-2.116	9.604	5.95004685916483e-06	0.0022873680140018	Depleted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Unassigned	0.026	0.119	0.043	0.028	0.044	0.019	0.016	0.008	0.081	0.167	0.101	0.146	0.112	0.104
OTU_723	-6.878	7.977	9.65908451315562e-06	0.00324907455311272	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.04	0	0	0	0	0	0	0.01	0.003	0	0.219	0.005	0.005
OTU_885	-4.814	7.403	1.11867509812244e-05	0.00334483854338608	Depleted	Bacteria	Cyanobacteria	Chloroplast	Unassigned	Chloroplast	Streptophyta	0	0.022	0	0	0.003	0	0	0	0.021	0.031	0.022	0	0.052	0.005
OTU_1910	-3.238	6.884	2.7028895980079e-05	0.00727347590823925	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.012	0.003	0	0	0	0	0.003	0.01	0.008	0.014	0.011	0.021	0.008
