OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
OTU_2736	-4.022	6.999	0.00474034576639332	0.0606018716651316	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unassigned	0	0.014	0	0	0.003	0	0	0	0.009	0	0	0.065	0	0.012
OTU_2067	-2.007	6.666	0.00477248039617894	0.0606018716651316	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.008	0	0	0	0.003	0.003	0.003	0.009	0.009	0.006	0.006	0.009	0.009
OTU_1118	-1.903	7.6	0.00477326685969091	0.0606018716651316	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.005	0.025	0.009	0.009	0	0.005	0.003	0.006	0.027	0.021	0.026	0.003	0.009	0.064
OTU_2165	-2.361	6.593	0.00477428346079818	0.0606018716651316	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp4	Unassigned	Unassigned	Aridibacter	0.001	0.008	0	0	0.003	0	0.003	0	0.009	0.003	0.006	0.009	0.003	0.015
OTU_3284	-3.275	6.187	0.00480231150031487	0.060671456560316	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	0	0.004	0	0	0	0	0	0	0.006	0.006	0.003	0	0	0.006
OTU_1995	-4.513	7.289	0.00483577266271783	0.0606769137107875	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0	0.019	0	0	0	0.003	0	0	0.003	0	0.003	0.111	0	0
OTU_1606	-2.027	6.832	0.00484783963129666	0.0606769137107875	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unassigned	0.002	0.011	0.003	0.003	0	0	0	0.006	0.018	0.009	0.003	0.009	0.006	0.018
OTU_310	-1.254	9.105	0.00491259448184023	0.0610812401481862	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	0.026	0.079	0.025	0.034	0.024	0.032	0.021	0.022	0.073	0.077	0.032	0.102	0.038	0.149
OTU_2362	-3.48	6.749	0.00492554036126213	0.0610812401481862	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	0	0.011	0	0	0	0	0	0.003	0.046	0.003	0.009	0	0	0.009
OTU_2314	-2.84	6.478	0.00502940807108146	0.0620831977948633	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0	0.006	0	0.003	0	0	0	0	0.003	0.018	0.003	0.003	0.003	0.009
OTU_3108	-3.328	6.668	0.00519414404566159	0.0635338255767061	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.001	0.009	0.003	0	0	0	0	0	0	0	0.023	0.003	0.012	0.015
OTU_2103	-2.666	6.937	0.00542388013593388	0.0654513966179286	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.002	0.013	0.006	0.003	0	0	0	0	0.04	0	0.014	0.009	0.003	0.012
OTU_1907	-1.515	8.161	0.00547681511793456	0.065795131617687	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	0.011	0.038	0.031	0.009	0.005	0.003	0.013	0.006	0.058	0.045	0.026	0.04	0.038	0.018
OTU_540	-2.122	8.718	0.00550170474605611	0.0658003887628311	Depleted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Shinella	0.012	0.065	0.003	0.034	0.01	0.005	0.005	0.017	0.012	0.226	0.017	0.012	0.085	0.04
OTU_612	-1.489	8.053	0.00566116708672554	0.0671436352698563	Depleted	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	0.01	0.033	0.009	0.014	0.008	0.013	0.01	0.003	0.024	0.065	0.029	0.037	0.029	0.015
OTU_289	-1.1	9.453	0.0056680841542095	0.0671436352698563	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	0.038	0.097	0.056	0.043	0.044	0.024	0.023	0.036	0.055	0.152	0.087	0.083	0.088	0.116
OTU_802	-3.256	6.641	0.00568886987793654	0.0671436352698563	Depleted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	0	0.009	0	0	0.003	0	0	0	0.018	0	0.006	0.022	0.006	0
OTU_296	-1.706	9.08	0.00581790338510933	0.0677250776606087	Depleted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	0.021	0.079	0.04	0.011	0.013	0.035	0.013	0.011	0.018	0.086	0.02	0.157	0.138	0.052
OTU_2705	-3.419	6.716	0.0058580544097204	0.0677250776606087	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0	0.009	0	0	0	0.003	0	0	0.009	0	0.032	0.012	0	0.003
OTU_1439	-2.087	7.602	0.0058587278275639	0.0677250776606087	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.005	0.026	0.006	0.011	0.008	0	0	0.003	0.07	0.009	0.02	0.003	0.012	0.043
OTU_2721	-3.268	6.187	0.00591626472963496	0.0677250776606087	Depleted	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	0	0.004	0	0	0	0	0	0	0.003	0.006	0.003	0	0	0.009
OTU_1840	-1.977	6.822	0.00596173637467316	0.0677250776606087	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0.002	0.01	0	0.003	0.003	0.003	0	0.003	0.009	0.021	0.012	0.006	0.006	0.006
OTU_3085	-2.149	6.72	0.0059811619551463	0.0677250776606087	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.009	0	0	0.003	0.005	0	0	0.015	0.009	0.012	0.003	0.003	0.012
OTU_2478	-2.715	6.436	0.00600460460493118	0.0677250776606087	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.006	0.003	0	0	0	0	0	0.009	0.003	0.009	0	0.003	0.012
OTU_1611	-1.634	7.538	0.00601497345257729	0.0677250776606087	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Dactylosporangium	0.006	0.021	0.012	0.003	0.008	0	0.003	0.008	0.031	0.024	0.032	0.022	0.009	0.012
OTU_1634	-1.678	7.077	0.00619926474082375	0.0686475851764775	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.003	0.014	0.006	0.009	0	0.003	0	0.003	0.021	0.015	0.006	0.009	0.015	0.015
OTU_1969	-2.175	6.738	0.00624240384846893	0.0686475851764775	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.001	0.009	0	0	0.005	0	0.003	0	0.003	0.006	0.012	0.012	0.006	0.015
OTU_2474	-3.311	6.202	0.00630912593438542	0.0690156824773625	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0	0.003	0	0	0	0	0	0	0.003	0.003	0.006	0	0.009	0
OTU_2893	-3.337	6.21	0.00644032746796185	0.0696020932380938	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	0	0.003	0	0	0	0	0	0	0.003	0	0.009	0.006	0.003	0
OTU_1658	-1.599	7.148	0.00651468251001769	0.0699621148977009	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.004	0.014	0.003	0.009	0.003	0.003	0	0.006	0.024	0.018	0.012	0.006	0.012	0.015
OTU_2089	-2.007	6.656	0.00659369544257632	0.0699621148977009	Depleted	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.008	0.003	0.003	0.003	0	0	0	0.012	0.012	0.006	0.003	0.009	0.006
OTU_932	-3.642	7.937	0.00660363329023263	0.0699621148977009	Depleted	Bacteria	Cyanobacteria	Cyanobacteria	Unassigned	Unassigned	Unassigned	0.002	0.036	0.003	0	0	0	0	0.011	0	0.009	0	0.019	0.185	0.006
OTU_106	-1.611	10.81	0.00667985787191928	0.0702771093027021	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.08	0.27	0.167	0.088	0.055	0.078	0.049	0.044	0.067	0.14	0.708	0.447	0.112	0.143
OTU_3298	-2.711	6.431	0.00668559642567511	0.0702771093027021	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	0	0.006	0	0.003	0	0	0	0	0.012	0.003	0	0.003	0.006	0.012
OTU_2597	-1.75	7.311	0.00701849302231577	0.073489356899034	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Unassigned	0.004	0.018	0.006	0.014	0	0	0	0.006	0.024	0.021	0.012	0.006	0.015	0.03
OTU_3302	-4.235	6.499	0.00717286679915774	0.0745258090985849	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.008	0	0	0	0	0	0	0	0.024	0	0	0	0.021
OTU_2081	-3.102	6.155	0.00724180414338338	0.074952672884018	Depleted	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	Leptospira	0	0.003	0	0	0	0	0	0	0.003	0	0.006	0.003	0.003	0.003
OTU_862	-1.873	7.386	0.00739823625015425	0.0762783668550386	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Unassigned	0.004	0.02	0.003	0.011	0.005	0.003	0	0.003	0.024	0.018	0.012	0	0.024	0.043
OTU_1480	-1.7	7.393	0.00749876335993248	0.0766463547291618	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.005	0.019	0.009	0.009	0.005	0.003	0	0.003	0.015	0.042	0.023	0.006	0.012	0.015
OTU_1910	-2.754	6.74	0.00751485684795042	0.0766463547291618	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.01	0.003	0	0	0	0	0.003	0.012	0.012	0	0.022	0.012	0
OTU_1463	-1.897	7.071	0.00756988775261855	0.0768700677067793	Depleted	Bacteria	Verrucomicrobia	Spartobacteria	Unassigned	Unassigned	Unassigned	0.003	0.014	0.003	0.003	0	0.003	0.003	0.006	0.04	0.006	0.012	0.006	0.009	0.012
OTU_3311	-3.568	6.264	0.00777313546453347	0.0780504012502223	Depleted	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Chryseobacterium	0	0.004	0	0	0	0	0	0	0	0	0.006	0.012	0.006	0
OTU_670	-1.954	7.929	0.00792558031004608	0.07928526622429	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0.007	0.033	0.003	0.026	0.008	0.003	0.003	0	0.055	0.059	0.043	0.003	0.021	0.018
OTU_376	-1.227	9.2	0.00796311883325567	0.0793657510381149	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.029	0.083	0.028	0.028	0.013	0.022	0.034	0.047	0.095	0.042	0.11	0.093	0.032	0.125
OTU_977	-1.371	7.81	0.00811912920172173	0.0805515594181674	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	0.008	0.026	0.009	0.009	0.018	0.003	0.005	0.006	0.031	0.027	0.023	0.028	0.035	0.015
OTU_1405	-2.417	7.33	0.00817189733227785	0.0805515594181674	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.003	0.02	0.003	0.006	0	0.003	0	0.006	0	0.024	0.006	0.022	0.003	0.067
OTU_1657	-2.778	6.754	0.00837464897866412	0.081949746914855	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0.001	0.011	0	0.003	0	0	0	0.003	0.043	0.006	0	0.003	0.006	0.006
OTU_1014	-1.846	7.272	0.00857026168049995	0.0835600513848745	Depleted	Bacteria	Bacteroidetes	Unassigned	Unassigned	Unassigned	Unassigned	0.004	0.017	0.006	0.011	0	0.003	0.003	0	0.024	0.033	0.02	0.012	0.006	0.006
OTU_424	-1.188	8.472	0.00865189495308685	0.0836693177101222	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Unassigned	Unassigned	Unassigned	0.017	0.047	0.022	0.023	0.016	0.011	0.005	0.025	0.082	0.039	0.052	0.034	0.029	0.043
OTU_1506	-1.681	7.385	0.00868334450501287	0.0836693177101222	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	0.005	0.019	0.015	0.003	0.003	0.003	0	0.006	0.04	0.015	0.023	0.012	0.006	0.018
OTU_2078	-3.353	6.678	0.00872766950944378	0.0836693177101222	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.009	0	0.003	0	0	0	0	0.006	0.042	0.003	0	0	0.006
OTU_2251	-1.251	8.583	0.00883705874542057	0.084328103134492	Depleted	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	0.018	0.051	0.031	0.02	0.01	0.005	0.016	0.025	0.052	0.027	0.043	0.034	0.088	0.061
OTU_1189	-2.067	6.995	0.00897575377612319	0.0846371748100935	Depleted	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	0.002	0.012	0	0.011	0	0	0	0.003	0.015	0.006	0.023	0.015	0.009	0.006
OTU_2529	-2.601	6.399	0.0089876207198401	0.0846371748100935	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.006	0.003	0	0	0	0	0	0.009	0	0.006	0.003	0.003	0.012
OTU_666	-1.733	7.724	0.00899525529382636	0.0846371748100935	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	0.007	0.026	0.025	0.011	0.005	0	0	0	0.021	0.021	0.038	0.031	0.018	0.027
OTU_1093	-1.386	7.822	0.00906408805275096	0.0849876688151666	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.008	0.028	0.009	0.009	0.005	0.011	0.008	0.008	0.037	0.033	0.014	0.034	0.006	0.043
OTU_2952	-1.894	6.788	0.00914990645665113	0.085494438454334	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.009	0.003	0.003	0	0.003	0.003	0	0.009	0.009	0.014	0	0.012	0.012
OTU_1520	-1.82	6.76	0.0092246785057917	0.0858948438030639	Depleted	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Subdivision3_genera_incertae_sedis	0.002	0.009	0.003	0	0	0.003	0.003	0.003	0.009	0.006	0.009	0.003	0.015	0.012
OTU_3290	-2.27	7.108	0.00951922093255539	0.0880282595515689	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.015	0.006	0.003	0	0	0.003	0.003	0.012	0.033	0.006	0.031	0.006	0
OTU_638	-1.532	8.094	0.00986496883286013	0.0909131203055706	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.01	0.034	0.009	0.006	0.005	0.013	0.016	0.008	0.027	0.009	0.075	0.034	0.035	0.024
OTU_2963	-1.998	6.656	0.00994235466403734	0.0913135713342133	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.008	0.003	0	0	0.003	0	0.003	0.006	0.012	0.009	0.003	0.003	0.015
OTU_3160	-1.839	7.392	0.010052591138879	0.0914288488540013	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.004	0.02	0.003	0.003	0	0	0.008	0.011	0.04	0.009	0.014	0.003	0.018	0.036
OTU_2543	-1.225	8.334	0.0100716378981905	0.0914288488540013	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	0.014	0.041	0.012	0.014	0.008	0.011	0.013	0.028	0.037	0.039	0.023	0.037	0.071	0.04
OTU_2253	-2.143	6.707	0.0101247851945345	0.0914288488540013	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.009	0	0.006	0	0.003	0	0	0.015	0.015	0.003	0.003	0.003	0.015
OTU_568	-4.96	8.534	0.0103604561338212	0.0928283265553137	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unassigned	0.001	0.076	0	0	0.003	0.005	0	0	0.455	0	0	0	0	0
OTU_1127	-2.272	7.798	0.0103832502018392	0.0928283265553137	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.005	0.029	0.003	0.011	0	0.003	0	0.014	0.018	0.024	0.098	0.003	0.003	0.03
OTU_1079	-1.914	7.423	0.0106680121955465	0.0945811910169935	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.004	0.019	0.003	0.003	0.016	0.003	0	0	0.015	0.009	0.043	0.025	0.012	0.012
OTU_2143	-2.475	6.838	0.0106920961281378	0.0945811910169935	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0.001	0.011	0	0.009	0	0	0	0	0.006	0.03	0.012	0	0.009	0.009
OTU_3096	-3.283	6.194	0.0107210800819467	0.0945811910169935	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unassigned	Unassigned	0	0.003	0	0	0	0	0	0	0	0.003	0.009	0	0	0.009
OTU_3046	-2.572	6.665	0.0107640881015072	0.0945811910169935	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Pirellula	0.001	0.008	0	0.003	0.003	0	0	0	0	0.027	0.009	0.006	0.003	0.006
OTU_3018	-2.766	6.452	0.0107987871470354	0.0945811910169935	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0	0.006	0	0.003	0	0	0	0	0	0.009	0.012	0.006	0	0.009
OTU_2906	-4.186	6.487	0.0108979513672431	0.0948613395474345	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Terribacillus	0	0.008	0	0	0	0	0	0	0.043	0	0	0	0.003	0
OTU_1198	-1.812	7.142	0.0110336675133211	0.0948613395474345	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.015	0.006	0.009	0.003	0.003	0	0	0.021	0.021	0.003	0.025	0.012	0.006
OTU_2056	-2.119	6.7	0.0110838662983766	0.094989440155833	Depleted	Bacteria	Bacteroidetes	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.008	0.003	0.003	0	0	0	0.003	0.009	0.009	0.02	0.003	0.006	0.003
OTU_1782	-1.902	6.929	0.0116427411502678	0.0984890540906434	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.011	0.003	0.006	0.003	0	0	0.003	0.006	0.03	0.009	0.003	0.012	0.009
OTU_1064	-2.629	7.291	0.0117118161683411	0.0984890540906434	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Unassigned	0.002	0.019	0.009	0	0	0	0	0.006	0.003	0.003	0.038	0.022	0	0.049
OTU_454	-2.157	8.838	0.0118341725708748	0.0985042731800685	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unassigned	0.013	0.067	0.006	0.017	0.034	0.005	0	0.017	0.009	0.045	0.278	0.034	0.018	0.018
OTU_1801	-3.054	7.579	0.0118966513502498	0.0985042731800685	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0.002	0.027	0	0.003	0	0.008	0	0.003	0.009	0.143	0.003	0	0.003	0.003
