OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
OTU_2433	-2.431	7.022	0.000851194868726588	0.023988654920778	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	0.002	0.014	0.003	0.003	0.003	0	0	0.003	0.034	0.012	0.006	0.015	0.006	0.012
OTU_1851	-2.297	6.966	0.000855782561276362	0.023988654920778	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	0.002	0.012	0.006	0	0.003	0	0	0.003	0.015	0.015	0.017	0.012	0.009	0.006
OTU_632	-1.741	7.964	0.00087223385958302	0.0241977455271949	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	0.008	0.033	0.012	0.006	0.01	0.016	0	0.003	0.04	0.033	0.023	0.025	0.044	0.033
OTU_1080	-3.414	7.056	0.000885520876699971	0.0242874185938948	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.015	0	0.006	0	0	0	0	0.006	0.048	0.023	0.003	0.003	0.009
OTU_3316	-4.238	6.489	0.000893517072016198	0.0242874185938948	Depleted	Bacteria	Cyanobacteria	Cyanobacteria	Unassigned	Unassigned	Unassigned	0	0.007	0	0	0	0	0	0	0.006	0.009	0.006	0	0.021	0
OTU_1099	-2.255	7.37	0.000914997192619897	0.0244342589778259	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.02	0	0.014	0.003	0.003	0	0	0.012	0.018	0.02	0.022	0.012	0.036
OTU_3092	-3.966	6.391	0.00091707921098492	0.0244342589778259	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Unassigned	0	0.006	0	0	0	0	0	0	0.006	0.009	0.006	0	0	0.015
OTU_1988	-3.413	6.722	0.000936723748193031	0.0246667684153413	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.01	0	0	0	0	0.003	0	0.009	0.015	0	0.003	0.024	0.009
OTU_3093	-3.62	6.28	0.000944138664726925	0.0246667684153413	Depleted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Dongia	0	0.005	0	0	0	0	0	0	0.009	0.006	0.003	0.003	0.003	0.003
OTU_621	-3.054	8.273	0.000992923622204956	0.0256918987245532	Depleted	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Unassigned	0.005	0.049	0.006	0.006	0	0.016	0	0	0.021	0.172	0.064	0.019	0.009	0.009
OTU_1150	-3.824	7.319	0.00104955901001035	0.026396158161006	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	0.001	0.021	0.003	0	0	0.003	0	0	0.031	0.006	0	0	0.073	0.018
OTU_1847	-2.937	6.52	0.00108980849909091	0.0269052722115012	Depleted	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0	0.007	0	0	0	0	0.003	0	0.009	0.006	0.003	0.009	0.003	0.012
OTU_969	-6.506	7.771	0.00113734676582124	0.0276567224384502	Depleted	Bacteria	Cyanobacteria	Cyanobacteria	Unassigned	Unassigned	Unassigned	0	0.033	0	0	0	0	0	0	0	0	0	0	0.2	0
OTU_3297	-3.1	6.575	0.00115107874883182	0.0276567224384502	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.008	0	0	0	0	0	0.003	0.012	0.003	0.003	0.003	0.009	0.018
OTU_3087	-2.232	7.089	0.00121022062341244	0.028567576294762	Depleted	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	0.002	0.015	0.003	0.003	0.003	0.003	0	0.003	0.018	0.009	0.006	0.009	0.012	0.036
OTU_1038	-6.334	7.681	0.00126121104939599	0.0291198254613695	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Unassigned	0	0.036	0	0	0	0	0	0	0.217	0	0	0	0	0
OTU_191	-1.692	9.265	0.00126210887713371	0.0291198254613695	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.025	0.091	0.046	0.028	0.013	0.035	0.008	0.017	0.098	0.065	0.09	0.123	0.147	0.024
OTU_534	-3.559	8.707	0.00126607936788563	0.0291198254613695	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	0.004	0.071	0.006	0	0.005	0	0.016	0	0.012	0.033	0	0.259	0.015	0.106
OTU_1731	-4.163	7.506	0.00129273296522897	0.0294808848256877	Depleted	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.025	0.006	0	0	0	0	0	0	0.024	0	0.037	0.085	0.003
OTU_2475	-2.442	7.04	0.00133559217794195	0.0300233031860516	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	0.002	0.015	0.003	0	0	0.003	0.003	0.003	0.012	0.012	0.012	0.003	0.009	0.04
OTU_161	-3.606	10.144	0.00137293703142393	0.0302833897668999	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	0.016	0.198	0.012	0.074	0.003	0.005	0	0.003	0.018	0.015	0.043	1.005	0.079	0.027
OTU_2460	-2.214	6.919	0.00139884467959975	0.0303361931525534	Depleted	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales	Unassigned	Unassigned	0.002	0.012	0.003	0.003	0	0.003	0	0.003	0.024	0.006	0.006	0.009	0.012	0.015
OTU_1973	-2.384	7.566	0.00141711728669453	0.0303361931525534	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0.004	0.025	0	0.014	0.005	0.003	0	0	0.034	0.048	0.017	0.003	0.015	0.036
OTU_2895	-2.929	6.513	0.00142042375965133	0.0303361931525534	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.007	0	0	0	0.003	0	0	0.015	0.006	0.003	0.006	0.003	0.009
OTU_3309	-2.87	6.802	0.00143974595907411	0.0305052793762876	Depleted	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	0.001	0.011	0	0.003	0	0	0.003	0	0.003	0.009	0.009	0.006	0.006	0.033
OTU_2733	-3.878	6.363	0.00147101581294412	0.0305052793762876	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	0	0.005	0	0	0	0	0	0	0	0.009	0	0.003	0.009	0.012
OTU_553	-1.764	7.915	0.00148904414266316	0.0305052793762876	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	0.007	0.031	0.006	0.011	0.008	0.016	0.003	0	0.049	0.027	0.04	0.031	0.018	0.024
OTU_2668	-2.628	6.697	0.00149635707085468	0.0305052793762876	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Gp17	0.001	0.009	0	0.003	0	0	0.003	0	0.015	0.006	0.009	0.006	0.015	0.003
OTU_3287	-2.94	6.517	0.00155364392765439	0.031218664003651	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.007	0.003	0	0	0	0	0	0.015	0.009	0.003	0.006	0.006	0.003
OTU_881	-3.826	7.86	0.00156268959726652	0.031218664003651	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	0.002	0.037	0.012	0	0	0	0	0	0.098	0	0.006	0.093	0.003	0.021
OTU_1714	-2.663	6.706	0.00158390831679552	0.031218664003651	Depleted	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Unassigned	Unassigned	0.001	0.009	0	0.006	0	0	0	0	0.006	0.009	0.012	0.012	0.012	0.003
OTU_1328	-2.26	7.112	0.00159626430941244	0.031218664003651	Depleted	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	0.002	0.015	0.006	0.003	0	0.003	0.003	0	0.015	0.03	0.009	0.019	0.003	0.015
OTU_723	-3.753	6.322	0.00160139334863145	0.031218664003651	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.005	0	0	0	0	0	0	0.003	0.015	0.003	0.003	0	0.006
OTU_574	-1.841	8.065	0.0016125582670039	0.031218664003651	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.009	0.036	0.015	0.02	0.003	0.011	0	0.003	0.034	0.042	0.055	0.028	0.038	0.018
OTU_544	-2.607	8.484	0.00168317624205235	0.0320530518716346	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.008	0.058	0	0.037	0.008	0	0	0.003	0.061	0.14	0.058	0.015	0.018	0.058
OTU_139	-5.214	10.581	0.00169139106866299	0.0320530518716346	Depleted	Bacteria	Cyanobacteria	Cyanobacteria	Unassigned	Unassigned	Unassigned	0.006	0.308	0	0	0	0	0.034	0	0.052	0.678	0.009	0	1.102	0.006
OTU_1135	-2.171	6.91	0.00176354777412462	0.0331867626585269	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	0.002	0.012	0.006	0	0	0	0.003	0.003	0.015	0.015	0.006	0.012	0.015	0.006
OTU_3063	-2.946	6.529	0.00187060688915626	0.0349569662411076	Depleted	Bacteria	Candidatus_Saccharibacteria	Unassigned	Unassigned	Unassigned	Saccharibacteria_genera_incertae_sedis	0	0.007	0	0	0	0	0.003	0	0.003	0.006	0.014	0.003	0.006	0.009
OTU_1517	-2.882	6.808	0.00192420824922648	0.035462677219289	Depleted	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	0.001	0.011	0	0.003	0	0	0.003	0	0.027	0.006	0.02	0.003	0.003	0.006
OTU_2357	-3.141	6.596	0.00192806276847474	0.035462677219289	Depleted	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	0	0.008	0	0	0	0	0	0.003	0.009	0	0.003	0.009	0.018	0.009
OTU_3104	-3.607	6.784	0.00193720310339483	0.035462677219289	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	0	0.011	0	0.003	0	0	0	0	0.003	0.021	0.006	0.031	0.003	0
OTU_246	-1.526	9.941	0.0021434277267735	0.0379471316628125	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	0.045	0.156	0.08	0.065	0.024	0.013	0.039	0.047	0.15	0.08	0.107	0.204	0.056	0.337
OTU_1992	-3.178	6.61	0.00217696191623094	0.0381065971539731	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	0.001	0.009	0.003	0	0	0	0	0	0.024	0.009	0.009	0.003	0	0.006
