Genus	0	1	MeanDecreaseAccuracy	MeanDecreaseGini
Aggregatibacter	4.29	-1.89	1.75	1.51
Fusobacterium	4.37	-1.98	1.93	1.11
Solobacterium	2.47	0.37	1.96	0.89
Lautropia	2.15	2.47	2.96	1.1
X.Eubacterium._yurii_group	1.01	3.52	3.33	0.81
Aliidiomarina	2.74	2.66	3.35	1.32
Peptococcus	2.54	2.77	3.77	0.87
Granulicatella	5.93	-1.84	4.19	1.41
Megasphaera	4.69	2.54	4.38	1.1
Bacteroides	3.38	3.12	4.42	1.15
unclassified_SR1_bacterium_oral_taxon_875	1.56	5.08	4.53	0.55
unclassified_Gracilibacteria_bacterium_canine_oral_taxon_323	2.27	4.93	4.59	0.39
Johnsonella	4.7	5.18	6.92	1.82
Streptococcus	7.16	3.16	7.05	2.34
Catonella	6.57	3.86	7.4	2.17
unclassified_Gracilibacteria_bacterium_oral_taxon_872	2.74	7.23	7.45	1.02
unclassified_Clostridiales_bacterium_feline_oral_taxon_148	4.69	7.24	7.81	1.46
Abiotrophia	8.62	3.43	8.48	2.77
Simonsiella	3.79	9.17	8.66	1.55
Alloprevotella	6.61	7.69	9.22	3.06
Porphyromonas	8.44	5.39	9.37	3.05
Prevotella	9.51	2.15	9.58	3.13
Peptostreptococcus	9.88	7.41	11.26	5.09
Neisseria	11.65	8.35	12.49	4.6
