richness	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
1	34.0	32.0	34.0	28.0	26.0	29.0	30.0	27.0	29.0
2	50.0	52.0	55.0	46.0	44.0	49.0	41.0	37.0	46.0
3	67.0	68.0	74.0	68.0	68.0	71.0	57.0	48.0	59.0
4	83.0	79.0	87.0	83.0	81.0	84.0	70.0	54.0	71.0
5	94.0	94.0	99.0	99.0	94.0	94.0	72.0	63.0	77.0
6	97.0	98.0	107.0	103.0	105.0	104.0	78.0	66.0	81.0
7	101.0	103.0	107.0	113.0	106.0	115.0	80.0	75.0	84.0
8	105.0	107.0	107.0	124.0	116.0	121.0	84.0	81.0	91.0
9	107.0	108.0	108.0	124.0	120.0	128.0	85.0	79.0	93.0
10	109.0	112.0	111.0	126.0	131.0	129.0	90.0	85.0	94.0
11	109.0	109.0	109.0	129.0	133.0	137.0	92.0	90.0	96.0
12	110.0	110.0	112.0	131.0	131.0	141.0	91.0	88.0	99.0
13	111.0	112.0	112.0	133.0	135.0	145.0	93.0	91.0	102.0
14	110.0	114.0	114.0	137.0	139.0	144.0	96.0	92.0	102.0
15	112.0	111.0	115.0	141.0	145.0	147.0	96.0	93.0	104.0
16	112.0	115.0	116.0	144.0	142.0	153.0	98.0	98.0	102.0
17	114.0	114.0	117.0	144.0	145.0	151.0	100.0	97.0	102.0
18	116.0	114.0	116.0	144.0	148.0	155.0	101.0	99.0	105.0
19	116.0	114.0	114.0	147.0	152.0	157.0	100.0	98.0	104.0
20	115.0	114.0	117.0	150.0	152.0	161.0	103.0	96.0	106.0
21	116.0	118.0	121.0	153.0	156.0	159.0	102.0	100.0	107.0
22	115.0	117.0	117.0	151.0	153.0	165.0	104.0	99.0	105.0
23	115.0	116.0	122.0	155.0	154.0	162.0	100.0	101.0	106.0
24	117.0	117.0	122.0	156.0	158.0	163.0	104.0	101.0	107.0
25	117.0	120.0	120.0	156.0	154.0	165.0	106.0	101.0	107.0
26	116.0	118.0	121.0	163.0	157.0	167.0	106.0	100.0	107.0
27	115.0	118.0	121.0	159.0	160.0	170.0	104.0	102.0	108.0
28	116.0	119.0	122.0	164.0	160.0	169.0	106.0	102.0	107.0
29	117.0	119.0	120.0	164.0	163.0	170.0	104.0	103.0	108.0
30	115.0	118.0	121.0	165.0	162.0	170.0	106.0	105.0	108.0
31	117.0	121.0	122.0	171.0	164.0	173.0	107.0	104.0	109.0
32	117.0	120.0	123.0	170.0	161.0	174.0	106.0	105.0	108.0
33	117.0	121.0	124.0	169.0	163.0	173.0	108.0	103.0	111.0
34	117.0	122.0	122.0	168.0	167.0	173.0	108.0	105.0	108.0
35	119.0	121.0	122.0	168.0	169.0	175.0	108.0	102.0	109.0
36	118.0	121.0	127.0	168.0	166.0	172.0	107.0	107.0	109.0
37	117.0	122.0	125.0	170.0	168.0	176.0	107.0	104.0	109.0
38	119.0	122.0	128.0	176.0	169.0	173.0	108.0	107.0	109.0
39	119.0	121.0	126.0	173.0	171.0	175.0	108.0	108.0	110.0
40	118.0	124.0	127.0	172.0	172.0	177.0	107.0	107.0	110.0
41	121.0	125.0	128.0	176.0	171.0	175.0	108.0	111.0	111.0
42	120.0	123.0	126.0	176.0	170.0	175.0	108.0	108.0	111.0
43	121.0	123.0	127.0	176.0	172.0	179.0	109.0	108.0	110.0
44	123.0	123.0	127.0	176.0	169.0	176.0	109.0	107.0	109.0
45	121.0	127.0	130.0	181.0	175.0	178.0	110.0	108.0	112.0
46	121.0	125.0	124.0	179.0	171.0	178.0	107.0	110.0	112.0
47	123.0	121.0	130.0	180.0	177.0	180.0	110.0	108.0	113.0
48	119.0	125.0	130.0	183.0	177.0	177.0	111.0	111.0	117.0
49	122.0	124.0	130.0	182.0	180.0	179.0	108.0	113.0	111.0
50	124.0	125.0	133.0	182.0	179.0	182.0	111.0	110.0	113.0
51	124.0	129.0	130.0	179.0	184.0	179.0	110.0	115.0	116.0
52	123.0	128.0	133.0	184.0	184.0	181.0	112.0	114.0	114.0
53	126.0	129.0	135.0	186.0	179.0	181.0	110.0	113.0	113.0
54	123.0	129.0	134.0	190.0	185.0	184.0	111.0	114.0	117.0
55	125.0	128.0	135.0	187.0	182.0	182.0	109.0	113.0	116.0
56	126.0	129.0	130.0	186.0	181.0	182.0	109.0	112.0	117.0
57	127.0	130.0	132.0	190.0	180.0	183.0	112.0	110.0	118.0
58	129.0	128.0	133.0	187.0	182.0	182.0	111.0	114.0	116.0
59	127.0	131.0	132.0	192.0	183.0	185.0	111.0	114.0	120.0
60	128.0	129.0	136.0	187.0	185.0	184.0	111.0	113.0	119.0
61	128.0	130.0	134.0	191.0	185.0	183.0	109.0	111.0	117.0
62	130.0	132.0	137.0	188.0	188.0	184.0	112.0	116.0	119.0
63	129.0	128.0	137.0	192.0	189.0	186.0	112.0	115.0	120.0
64	127.0	131.0	135.0	189.0	184.0	186.0	112.0	116.0	119.0
65	129.0	130.0	138.0	190.0	185.0	185.0	112.0	116.0	119.0
66	127.0	129.0	138.0	191.0	187.0	184.0	111.0	114.0	119.0
