bray_curtis_binary	E1	E2	E3	E5	E6	E4	O1	N1	E7	O2	N2	S1
E1	0	0.952	0.982	0.984	0.984	0.989	0.985	0.992	1.000	1.000	1.000	1.000
E2	0.952	0	0.965	0.951	0.968	0.978	0.985	0.983	1.000	1.000	1.000	1.000
E3	0.982	0.965	0	0.945	0.964	0.987	0.992	0.991	0.992	0.991	1.000	1.000
E5	0.984	0.951	0.945	0	0.975	0.977	0.984	0.983	0.992	0.992	1.000	1.000
E6	0.984	0.968	0.964	0.975	0	0.989	0.992	0.992	1.000	1.000	1.000	1.000
E4	0.989	0.978	0.987	0.977	0.989	0	0.979	0.988	1.000	1.000	1.000	1.000
O1	0.985	0.985	0.992	0.984	0.992	0.979	0	1.000	1.000	0.984	1.000	1.000
N1	0.992	0.983	0.991	0.983	0.992	0.988	1.000	0	0.984	1.000	0.992	1.000
E7	1.000	1.000	0.992	0.992	1.000	1.000	1.000	0.984	0	1.000	0.993	0.993
O2	1.000	1.000	0.991	0.992	1.000	1.000	0.984	1.000	1.000	0	1.000	1.000
N2	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.992	0.993	1.000	0	0.992
S1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.993	1.000	0.992	0
