jaccard_binary	E1	E2	E3	E5	E6	E4	O1	N1	E7	O2	N2	S1
E1	0	0.976	0.991	0.992	0.992	0.994	0.992	0.996	1.000	1.000	1.000	1.000
E2	0.976	0	0.982	0.975	0.984	0.989	0.992	0.992	1.000	1.000	1.000	1.000
E3	0.991	0.982	0	0.972	0.982	0.994	0.996	0.995	0.996	0.995	1.000	1.000
E5	0.992	0.975	0.972	0	0.987	0.988	0.992	0.991	0.996	0.996	1.000	1.000
E6	0.992	0.984	0.982	0.987	0	0.994	0.996	0.996	1.000	1.000	1.000	1.000
E4	0.994	0.989	0.994	0.988	0.994	0	0.989	0.994	1.000	1.000	1.000	1.000
O1	0.992	0.992	0.996	0.992	0.996	0.989	0	1.000	1.000	0.992	1.000	1.000
N1	0.996	0.992	0.995	0.991	0.996	0.994	1.000	0	0.992	1.000	0.996	1.000
E7	1.000	1.000	0.996	0.996	1.000	1.000	1.000	0.992	0	1.000	0.996	0.996
O2	1.000	1.000	0.995	0.996	1.000	1.000	0.992	1.000	1.000	0	1.000	1.000
N2	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.996	0.996	1.000	0	0.996
S1	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.996	1.000	0.996	0
