OTU	Group
OTU_511	East
OTU_15	East
OTU_15	Outside
OTU_118	East
OTU_118	Outside
OTU_1773	East
OTU_1773	Outside
OTU_944	East
OTU_27	East
OTU_1901	East
OTU_980	East
OTU_980	North
OTU_1977	Outside
OTU_297	East
OTU_297	North
OTU_1684	East
OTU_1747	East
OTU_371	East
OTU_73	East
OTU_2530	East
OTU_1921	East
OTU_405	East
OTU_471	East
OTU_11	East
OTU_200	East
OTU_1035	North
OTU_1576	East
OTU_106	East
OTU_106	Outside
OTU_2703	North
OTU_3026	Outside
OTU_403	East
OTU_403	North
OTU_4137	South
OTU_49	East
OTU_964	East
OTU_361	Outside
OTU_40	East
OTU_83	Outside
OTU_91	East
OTU_140	North
OTU_1422	Outside
OTU_1472	North
OTU_21	East
OTU_2634	North
OTU_2634	South
OTU_2861	North
OTU_2872	North
OTU_3067	Outside
OTU_4135	South
OTU_549	North
OTU_549	South
OTU_7	East
OTU_1018	East
OTU_1018	North
OTU_1309	Outside
OTU_1389	East
OTU_1941	Outside
OTU_2098	Outside
OTU_211	South
OTU_2697	North
OTU_3028	Outside
OTU_3083	Outside
OTU_314	East
OTU_3239	Outside
OTU_3380	Outside
OTU_6	East
OTU_1148	Outside
OTU_1697	North
OTU_2440	Outside
OTU_25	North
OTU_2536	East
OTU_2571	North
OTU_2578	East
OTU_2602	North
OTU_2695	North
OTU_2695	South
OTU_2702	North
OTU_2734	North
OTU_2738	North
OTU_2777	North
OTU_2844	North
OTU_2856	North
OTU_2925	North
OTU_3016	Outside
OTU_3122	Outside
OTU_3124	Outside
OTU_3151	South
OTU_3170	Outside
OTU_3255	Outside
OTU_3299	Outside
OTU_3381	Outside
OTU_3536	Outside
OTU_3638	Outside
OTU_3663	Outside
OTU_3667	Outside
OTU_3818	Outside
OTU_4160	South
OTU_4166	South
OTU_4202	South
OTU_4349	South
OTU_4379	South
OTU_1770	East
OTU_1771	East
OTU_1774	East
OTU_1776	East
OTU_1777	East
OTU_1778	East
OTU_1779	East
OTU_1780	East
OTU_1781	East
OTU_1784	East
OTU_1786	East
OTU_1787	East
OTU_1788	East
OTU_1789	East
OTU_1790	East
OTU_1791	East
OTU_1793	East
OTU_1794	East
OTU_1796	East
OTU_1797	East
OTU_1798	East
OTU_1799	East
OTU_1800	East
OTU_1801	East
OTU_1802	East
OTU_1803	East
OTU_1804	East
OTU_1806	East
OTU_1807	East
OTU_1808	East
OTU_1809	East
OTU_1810	East
OTU_1811	East
OTU_1812	East
OTU_1813	East
OTU_1814	East
OTU_1815	East
OTU_1818	East
OTU_1819	East
OTU_1820	East
OTU_1821	East
OTU_1822	East
OTU_1823	East
OTU_1824	East
OTU_1825	East
OTU_1826	East
OTU_1827	East
OTU_1828	East
OTU_1829	East
OTU_1830	East
OTU_1831	East
OTU_1833	East
OTU_1834	East
OTU_1835	East
OTU_1836	East
OTU_1837	East
OTU_1838	East
OTU_1839	East
OTU_1840	East
OTU_1841	East
OTU_1842	East
OTU_1843	East
OTU_1846	East
OTU_1847	East
OTU_1848	East
OTU_1850	East
OTU_1851	East
OTU_1852	East
OTU_1853	East
OTU_1854	East
OTU_1855	East
OTU_1856	East
OTU_1857	East
OTU_1858	East
OTU_1859	East
OTU_1860	East
OTU_1861	East
OTU_1862	East
OTU_1863	East
OTU_1865	East
OTU_1866	East
OTU_1868	East
OTU_1870	East
OTU_1871	East
OTU_1872	East
OTU_1873	East
OTU_1874	East
OTU_1875	East
OTU_1876	East
OTU_1877	East
OTU_1878	East
OTU_1879	East
OTU_1880	East
OTU_1881	East
OTU_1882	East
OTU_1883	East
OTU_1885	East
OTU_1886	East
OTU_1888	East
OTU_1889	East
OTU_1890	East
OTU_1891	East
OTU_1893	East
OTU_1894	East
OTU_1895	East
OTU_1896	East
OTU_1898	East
OTU_2688	North
OTU_2689	North
OTU_2690	North
OTU_2692	North
OTU_2693	North
OTU_2694	North
OTU_2698	North
OTU_2700	North
OTU_2701	North
OTU_2705	North
OTU_2707	North
OTU_2709	North
OTU_2712	North
OTU_2713	North
OTU_2714	North
OTU_2715	North
OTU_2716	North
OTU_2718	North
OTU_2719	North
OTU_2721	North
OTU_2722	North
OTU_2723	North
OTU_2724	North
OTU_2726	North
OTU_2727	North
OTU_2728	North
OTU_2729	North
OTU_2730	North
OTU_2731	North
OTU_2732	North
OTU_2735	North
OTU_2736	North
OTU_2737	North
OTU_2739	North
OTU_2740	North
OTU_2741	North
OTU_2742	North
OTU_2744	North
OTU_2745	North
OTU_2746	North
OTU_2747	North
OTU_2748	North
OTU_2749	North
OTU_2750	North
OTU_2751	North
OTU_2752	North
OTU_2753	North
OTU_2754	North
OTU_2756	North
OTU_2757	North
OTU_2759	North
OTU_2761	North
OTU_2762	North
OTU_2763	North
OTU_2764	North
OTU_2765	North
OTU_2766	North
OTU_2768	North
OTU_2769	North
OTU_2770	North
OTU_2771	North
OTU_2772	North
OTU_2773	North
OTU_2774	North
OTU_2775	North
OTU_2776	North
OTU_2778	North
OTU_2779	North
OTU_2780	North
OTU_2781	North
OTU_2782	North
OTU_2783	North
OTU_2784	North
OTU_2785	North
OTU_2787	North
OTU_2789	North
OTU_2790	North
OTU_2792	North
OTU_2793	North
OTU_2794	North
OTU_2796	North
OTU_2798	North
OTU_2799	North
OTU_2800	North
OTU_2803	North
OTU_2804	North
OTU_2805	North
OTU_2806	North
OTU_2807	North
OTU_2808	North
OTU_2809	North
OTU_2810	North
OTU_2811	North
OTU_2812	North
OTU_2813	North
OTU_2814	North
OTU_2815	North
OTU_2817	North
OTU_2818	North
OTU_2820	North
OTU_2822	North
OTU_2823	North
OTU_2824	North
OTU_2825	North
OTU_2826	North
OTU_2827	North
OTU_2828	North
OTU_2829	North
OTU_2830	North
OTU_2831	North
OTU_2832	North
OTU_2833	North
OTU_2834	North
OTU_2836	North
OTU_2837	North
OTU_2838	North
OTU_2839	North
OTU_2840	North
OTU_2841	North
OTU_2842	North
OTU_2843	North
OTU_2845	North
OTU_2846	North
OTU_2847	North
OTU_2848	North
OTU_2849	North
OTU_2850	North
OTU_2851	North
OTU_2852	North
OTU_2853	North
OTU_2854	North
OTU_2855	North
OTU_2857	North
OTU_2858	North
OTU_2859	North
OTU_2860	North
OTU_2862	North
OTU_2863	North
OTU_2864	North
OTU_2865	North
OTU_2866	North
OTU_2867	North
OTU_2868	North
OTU_2871	North
OTU_2873	North
OTU_2874	North
OTU_2875	North
OTU_2876	North
OTU_2877	North
OTU_2878	North
OTU_2879	North
OTU_2880	North
OTU_2881	North
OTU_2882	North
OTU_2883	North
OTU_2884	North
OTU_2885	North
OTU_2886	North
OTU_2887	North
OTU_2888	North
OTU_2889	North
OTU_2890	North
OTU_2891	North
OTU_2892	North
OTU_2893	North
OTU_2894	North
OTU_2895	North
OTU_2896	North
OTU_2897	North
OTU_2898	North
OTU_2899	North
OTU_2901	North
OTU_2902	North
OTU_2903	North
OTU_2904	North
OTU_2905	North
OTU_2906	North
OTU_2907	North
OTU_2908	North
OTU_2909	North
OTU_2910	North
OTU_2911	North
OTU_2912	North
OTU_2914	North
OTU_2915	North
OTU_2916	North
OTU_2917	North
OTU_2918	North
OTU_2919	North
OTU_2920	North
OTU_2921	North
OTU_2922	North
OTU_2923	North
OTU_2924	North
OTU_2926	North
OTU_2927	North
OTU_2928	North
OTU_2929	North
OTU_2930	North
OTU_2931	North
OTU_2932	North
OTU_2933	North
OTU_2934	North
OTU_2935	North
OTU_2936	North
OTU_2937	North
OTU_2938	North
OTU_2939	North
OTU_2940	North
OTU_2941	North
OTU_2943	North
OTU_2944	North
OTU_2945	North
OTU_2946	North
OTU_2947	North
OTU_2948	North
OTU_2949	North
OTU_2950	North
OTU_2952	North
OTU_2953	North
OTU_2954	North
OTU_2955	North
OTU_2956	North
OTU_2957	North
OTU_2958	North
OTU_2959	North
OTU_2960	North
OTU_2961	North
OTU_2962	North
OTU_2963	North
OTU_2964	North
OTU_2965	North
OTU_2966	North
OTU_2967	North
OTU_2968	North
OTU_2969	North
OTU_2970	North
OTU_2971	North
OTU_2972	North
OTU_2973	North
OTU_2974	North
OTU_2975	North
OTU_2976	North
OTU_2977	North
OTU_2978	North
OTU_2979	North
OTU_2980	North
OTU_2981	North
OTU_2982	North
OTU_2983	North
OTU_2984	North
OTU_2986	North
OTU_2987	North
OTU_2988	North
OTU_2989	North
OTU_2990	North
OTU_2991	North
OTU_2992	North
OTU_2993	North
OTU_2994	North
OTU_2995	North
OTU_2996	North
OTU_2997	North
OTU_2998	North
OTU_2999	North
OTU_3000	North
OTU_3001	North
OTU_3002	North
OTU_3003	North
OTU_3004	North
OTU_3005	North
OTU_3006	North
OTU_3007	North
OTU_3008	North
OTU_3696	Outside
OTU_3697	Outside
OTU_3698	Outside
OTU_3699	Outside
OTU_3700	Outside
OTU_3701	Outside
OTU_3702	Outside
OTU_3703	Outside
OTU_3704	Outside
OTU_3705	Outside
OTU_3706	Outside
OTU_3707	Outside
OTU_3708	Outside
OTU_3709	Outside
OTU_3710	Outside
OTU_3711	Outside
OTU_3712	Outside
OTU_3714	Outside
OTU_3715	Outside
OTU_3716	Outside
OTU_3717	Outside
OTU_3719	Outside
OTU_3720	Outside
OTU_3721	Outside
OTU_3722	Outside
OTU_3723	Outside
OTU_3724	Outside
OTU_3725	Outside
OTU_3727	Outside
OTU_3728	Outside
OTU_3729	Outside
