richness	LT_10	LT_12	LT_8	ST_1	ST_2	ST_3	Site_I	Site_K	Site_L
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25	0.0	1.000	0.0	1.000	0.0	0.0	0.0	1.000	1.000
26	0.0	0.0	0.0	0.0	0.0	0.0	1.000	0.0	0.0
27	0.0	0.0	0.0	0.0	0.0	0.0	1.000	0.0	1.000
28	1.000	1.000	0.0	0.0	0.0	0.0	1.000	0.0	1.000
29	1.000	1.000	1.000	0.0	1.000	1.000	2.00	1.000	0.0
30	1.000	0.0	0.0	0.0	0.0	0.0	1.000	0.0	1.000
31	1.000	0.0	0.0	1.000	0.0	0.0	1.000	1.000	0.0
32	2.00	2.00	0.0	1.000	0.0	0.0	0.0	0.0	1.000
33	1.000	0.0	0.0	1.000	3.00	2.00	1.000	2.00	1.000
34	2.00	1.000	1.000	3.00	2.00	2.00	2.00	3.00	0.0
35	0.0	2.00	2.00	5.00	1.000	2.00	1.000	4.00	4.00
36	4.00	1.000	2.00	3.00	3.00	1.000	3.00	1.000	3.00
37	1.000	0.0	2.00	2.00	2.00	2.00	1.000	1.000	2.00
38	5.00	5.00	4.00	5.00	4.00	3.00	6.00	6.00	3.00
39	6.00	4.00	4.00	5.00	4.00	3.00	4.00	6.00	6.00
40	3.00	6.00	3.00	4.00	7.00	4.00	6.00	5.00	4.00
41	3.00	2.00	4.00	4.00	4.00	3.00	4.00	6.00	5.00
42	3.00	3.00	6.00	4.00	2.00	3.00	6.00	4.00	5.00
43	10.00	6.00	7.00	8.00	4.00	8.00	7.00	7.00	8.00
44	6.00	8.00	7.00	5.00	8.00	6.00	5.00	9.00	7.00
45	7.00	8.00	7.00	8.00	7.00	8.00	7.00	5.00	6.00
46	8.00	6.00	8.00	8.00	7.00	8.00	7.00	8.00	7.00
47	9.00	9.00	5.00	9.00	6.00	6.00	8.00	8.00	8.00
48	12.0	10.00	10.00	11.0	11.0	11.0	11.0	10.00	11.0
49	11.0	12.0	9.00	11.0	10.00	11.0	14.0	12.0	9.00
50	13.0	10.00	13.0	10.00	13.0	10.00	11.0	11.0	13.0
51	12.0	9.00	11.0	13.0	10.00	11.0	10.00	9.00	10.00
52	11.0	12.0	8.00	10.00	12.0	9.00	11.0	9.00	12.0
53	12.0	16.0	13.0	13.0	14.0	14.0	14.0	13.0	13.0
54	14.0	15.0	14.0	16.0	14.0	12.0	12.0	15.0	15.0
55	15.0	13.0	16.0	15.0	15.0	13.0	13.0	14.0	14.0
56	13.0	14.0	15.0	12.0	11.0	13.0	13.0	14.0	12.0
57	14.0	14.0	12.0	13.0	13.0	12.0	11.0	13.0	15.0
58	17.0	15.0	13.0	15.0	15.0	16.0	16.0	17.0	14.0
59	15.0	16.0	15.0	16.0	17.0	14.0	14.0	15.0	14.0
60	14.0	17.0	16.0	17.0	17.0	18.0	15.0	17.0	14.0
61	17.0	18.0	18.0	14.0	17.0	15.0	16.0	18.0	16.0
62	17.0	16.0	18.0	15.0	18.0	15.0	16.0	16.0	17.0
63	19.0	18.0	19.0	17.0	18.0	18.0	17.0	19.0	18.0
64	17.0	18.0	18.0	18.0	17.0	17.0	17.0	19.0	14.0
65	16.0	17.0	17.0	19.0	14.0	20.0	17.0	17.0	17.0
66	15.0	17.0	17.0	17.0	18.0	17.0	18.0	18.0	17.0
67	18.0	20.0	20.0	18.0	18.0	18.0	19.0	16.0	18.0
68	20.0	18.0	19.0	19.0	19.0	18.0	18.0	19.0	20.0
69	20.0	19.0	19.0	19.0	19.0	18.0	19.0	19.0	16.0
70	18.0	19.0	19.0	18.0	19.0	17.0	17.0	20.0	19.0
71	18.0	20.0	19.0	19.0	18.0	18.0	19.0	20.0	17.0
72	17.0	20.0	20.0	17.0	20.0	16.0	19.0	19.0	19.0
73	19.0	20.0	19.0	18.0	19.0	18.0	19.0	20.0	19.0
74	20.0	20.0	20.0	20.0	20.0	19.0	19.0	20.0	20.0
75	20.0	20.0	20.0	18.0	20.0	19.0	19.0	20.0	20.0
76	19.0	20.0	19.0	19.0	18.0	20.0	18.0	19.0	18.0
77	19.0	20.0	20.0	19.0	19.0	19.0	20.0	19.0	20.0
78	20.0	19.0	20.0	20.0	20.0	20.0	19.0	20.0	20.0
79	20.0	18.0	20.0	20.0	19.0	20.0	20.0	20.0	20.0
80	20.0	20.0	20.0	20.0	20.0	20.0	20.0	19.0	20.0
81	20.0	20.0	20.0	20.0	20.0	19.0	20.0	20.0	20.0
82	20.0	20.0	20.0	20.0	19.0	20.0	18.0	20.0	20.0
83	20.0	20.0	20.0	18.0	20.0	19.0	19.0	19.0	20.0
84	19.0	19.0	20.0	20.0	20.0	20.0	20.0	20.0	19.0
85	20.0	19.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
86	20.0	20.0	19.0	20.0	20.0	20.0	20.0	20.0	20.0
87	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
88	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
89	20.0	20.0	20.0	20.0	20.0	20.0	19.0	20.0	20.0
90	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
91	18.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
92	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
93	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
94	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
95	19.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
96	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
97	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
98	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
99	20.0	20.0	20.0	20.0	20.0	20.0	20.0	19.0	20.0
100	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0	20.0
