Order	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Bacteroidales	7.1	15.4	21.6	0.54	6.44	0.18	28.4	32.7	29.6	13.2	18.7	28.8	16.4	23.5	26.5	14.9	26.5	26.6	19.6
Lachnospirales	29.7	17	16.5	40.9	15.3	35.1	8.98	4.94	5.69	5.28	3.47	5.35	2.36	2.02	2.86	2.62	1.9	3.37	17.1
Oscillospirales	41.7	23.4	41.8	35.9	35.5	5.2	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	9.2
Fusobacteriales	0	0	0	0	0	0	12.9	15.1	15.2	6.63	11.6	22.2	14.4	18.1	12.7	21.1	6.32	15	6.9
Erysipelotrichales	2.45	4.67	4.16	9.9	1.75	23.1	0.23	0.21	0.48	0.3	0.29	0.24	0.32	0.45	0.63	0.95	0.97	0.29	6.6
Veillonellales-Selenomonadales	2.09	1.67	3.29	0.06	14.5	0	4.12	9.55	4.9	11	1.65	3.14	4.5	6.31	7.18	7.69	5.26	5.68	5.9
Peptostreptococcales-Tissierellales	0.28	0.29	0.1	1.68	0.48	1.1	14	14.4	16	23.7	36.3	14.3	10.6	14.1	8.76	8.78	1.41	11.3	4.9
Spirochaetales	0	0	0	0	0	0	5.76	6.17	1.91	0.94	4.84	4.91	6.18	3.21	7.04	3.72	0.31	7.2	3.8
Lactobacillales	1.04	0.15	0.13	3.15	0.33	5.67	4.99	0.95	17.7	10.3	1.29	4.42	20.3	13.5	16.7	15	25.5	9.45	3.0
Coriobacteriales	0.65	0.89	0.11	3.16	1.33	0.98	0.41	0.27	0.03	3.56	0.02	0.12	0.67	0.2	0.97	0.65	0.42	0.53	2.5
Burkholderiales	0.01	0.01	0.37	0	0.09	0	0.37	0	0.34	0.85	0.09	0.77	4.77	4.21	1.98	3.1	17.3	4.57	2.2
Synergistales	0	0	0	0	0	0	4.38	5.14	0.13	10.4	10.3	6.34	0.21	3.22	1.6	1.2	0.03	2.01	2.0
