OTUID	All	feces	plaque	saliva
ASV_1	0.917097	0.000000	2.751292	0.000000
ASV_2	1.712597	0.00000000	5.11756674	0.02022344
ASV_10	0.755461	0.00000000	0.04071432	2.22566818
ASV_3	0.78696	0.00000000	2.33979396	0.02108637
ASV_4	0.763458	0.00000000	0.09425661	2.19611732
ASV_5	1.032512	3.097537	0.000000	0.000000
ASV_7	0.521109	0.000000	0.000000	1.563327
ASV_8	0.482017	0.000000	0.000000	1.446051
ASV_9	0.472381	0.00000000	0.02949853	1.38764352
ASV_6	0.633743	0.00000	1.90123	0.00000
ASV_14	0.3742	0.00000000	0.01152206	1.11107785
ASV_22	0.420163	0.03987241	0.07842811	1.14218756
ASV_13	0.783734	0.00000000	2.27485022	0.07635121
ASV_18	0.371407	0.00000	0.00000	1.11422
ASV_19	0.506854	0.0000000	1.3735587	0.1470021
ASV_17	0.356456	0.000000	0.000000	1.069368
ASV_23	0.378002	0.000000	0.000000	1.134007
ASV_54	0.790688	2.35226894	0.01979414	0.00000000
ASV_49	0.263252	0.0000000	0.0000000	0.7897548
ASV_11	0.673001	0.000000	2.019002	0.000000
ASV_21	0.768597	2.305792	0.000000	0.000000
ASV_36	0.238154	0.00000000	0.02949853	0.68496378
ASV_12	0.370116	0.000000	0.000000	1.110348
ASV_35	0.267601	0.00000000	0.01121579	0.79158781
ASV_15	0.170911	0.0000000	0.5127319	0.0000000
ASV_20	0.24654	0.0000000	0.0000000	0.7396201
ASV_24	0.360911	0.0000000	0.5561755	0.5265568
ASV_16	0.31059	0.0000000	0.5383580	0.3934114
ASV_38	0.192935	0.000000000	0.005761032	0.573043541
ASV_42	0.243135	0.000000000	0.005761032	0.723643940
ASV_53	0.551695	1.655084	0.000000	0.000000
ASV_208	0.237005	0.0000000	0.1085764	0.6024394
ASV_48	0.215252	0.00000000	0.02949853	0.61625798
ASV_34	0.260228	0.0000000	0.6578107	0.1228736
ASV_63	0.497308	1.491924	0.000000	0.000000
ASV_75	0.214478	0.00000000	0.01152206	0.63191153
ASV_29	0.218255	0.04570633	0.05899705	0.55006194
ASV_30	0.269872	0.0000000	0.7065949	0.1030220
ASV_44	0.16679	0.0000000	0.0000000	0.5003697
ASV_80	0.203407	0.61022	0.00000	0.00000
ASV_28	0.361865	1.06580167	0.01979414	0.00000000
ASV_55	0.166638	0.00000000	0.48186871	0.01804426
ASV_726	0.188039	0.0000000	0.0000000	0.5641175
ASV_25	0.257963	0.0000000	0.7738896	0.0000000
ASV_286	0.428084	1.284253	0.000000	0.000000
ASV_95	0.201861	0.0000000	0.0000000	0.6055819
ASV_26	0.297351	0.0000000	0.1937922	0.6982601
ASV_77	0.375224	0.000000	1.125672	0.000000
ASV_394	0.395243	1.185729	0.000000	0.000000
ASV_498	0.371646	1.114937	0.000000	0.000000
ASV_185	0.47141	1.41423	0.00000	0.00000
ASV_81	0.371229	1.113686	0.000000	0.000000
ASV_51	0.120982	0.000000	0.362945	0.000000
ASV_27	0.119061	0.000000	0.357184	0.000000
ASV_32	0.409079	0.000000	1.227237	0.000000
ASV_62	0.173786	0.5213589	0.0000000	0.0000000
ASV_392	0.277377	0.8321296	0.0000000	0.0000000
ASV_46	0.135113	0.00000000	0.39000017	0.01533978
ASV_60	0.150089	0.0000000	0.0000000	0.4502677
ASV_98	0.306582	0.9197467	0.0000000	0.0000000
ASV_145	0.161166	0.0000000	0.0000000	0.4834978
ASV_56	0.115119	0.0000000	0.3453557	0.0000000
ASV_61	0.304417	0.9132524	0.0000000	0.0000000
ASV_139	0.14831	0.0000000	0.0000000	0.4449287
ASV_263	0.148363	0.0000000	0.0172831	0.4278054
ASV_57	0.190214	0.000000000	0.562236892	0.008404774
ASV_39	0.142641	0.0000000	0.0000000	0.4279225
ASV_59	0.132071	0.0000000	0.0000000	0.3962126
ASV_67	0.161429	0.0000000	0.0000000	0.4842856
ASV_1082	0.17391	0.0000000	0.0996603	0.4220705
ASV_31	0.122555	0.00000000	0.32187705	0.04578755
ASV_33	0.213656	0.00000000	0.62637931	0.01458839
ASV_47	0.207543	0.0000000	0.6226296	0.0000000
ASV_489	0.158791	0.00000000	0.02867694	0.44769727
ASV_496	0.309044	0.927133	0.000000	0.000000
ASV_52	0.268032	0.00000000	0.73541504	0.06868132
ASV_103	0.917431	2.752294	0.000000	0.000000
ASV_64	0.192501	0.00000000	0.53475857	0.04274543
ASV_744	0.370972	1.112915	0.000000	0.000000
ASV_114	0.150838	0.0000000	0.0000000	0.4525155
ASV_371	0.443806	1.331419	0.000000	0.000000
ASV_58	0.304888	0.00000000	0.90007582	0.01458839
ASV_117	0.144448	0.0000000	0.1684567	0.2648881
ASV_124	0.139987	0.0000000	0.0000000	0.4199617
ASV_161	0.153063	0.00000000	0.38695180	0.07223658
ASV_68	0.270072	0.8102155	0.0000000	0.0000000
ASV_756	0.299409	0.8982255	0.0000000	0.0000000
ASV_236	0.275331	0.8259916	0.0000000	0.0000000
ASV_209	0.138398	0.00000000	0.01121579	0.40397971
ASV_37	0.274418	0.0000000	0.8232527	0.0000000
ASV_50	0.832484	2.497452	0.000000	0.000000
ASV_533	0.285752	0.8572569	0.0000000	0.0000000
ASV_90	0.137347	0.4120417	0.0000000	0.0000000
ASV_130	0.247781	0.743342	0.000000	0.000000
ASV_148	0.128531	0.00000000	0.02949853	0.35609543
ASV_173	0.127491	0.000000000	0.005761032	0.376711127
ASV_219	0.137106	0.0000000	0.0000000	0.4113186
ASV_43	0.1147	0.0000000	0.0000000	0.3440992
ASV_800	0.32969	0.98907	0.00000	0.00000
ASV_85	0.304082	0.00000000	0.88579715	0.02644903
ASV_1206	0.140701	0.00000000	0.06263241	0.35946951
ASV_140	0.148333	0.0000000	0.0000000	0.4449989
ASV_142	0.112231	0.00000000	0.01152206	0.32517192
ASV_45	0.116852	0.00000000	0.29066931	0.05988613
ASV_86	0.255146	0.000000	0.765439	0.000000
ASV_94	0.137499	0.0000000	0.0000000	0.4124978
ASV_1120	0.124691	0.00000000	0.02801687	0.34605606
ASV_1152	0.142045	0.00000000	0.09230899	0.33382616
ASV_174	0.128109	0.0000000	0.0000000	0.3843284
ASV_243	0.146898	0.00000000	0.04102059	0.39967466
ASV_473	0.112648	0.0000000	0.0000000	0.3379452
ASV_69	0.331031	0.9930915	0.0000000	0.0000000
ASV_73	0.159362	0.00000000	0.08701392	0.39107113
ASV_125	0.103778	0.0000000	0.0000000	0.3113325
ASV_133	0.129475	0.00000000	0.35774483	0.03067955
ASV_137	0.093374	0.00000000	0.26175750	0.01836539
ASV_153	0.260417	0.78125	0.00000	0.00000
ASV_169	0.147999	0.00000000	0.09849698	0.34549978
ASV_202	0.14794	0.0000000	0.3103402	0.1334799
ASV_40	0.091294	0.00000000	0.25087199	0.02300966
ASV_121	0.17181	0.0000000	0.4124086	0.1030220
ASV_143	0.128723	0.0000000	0.0000000	0.3861682
ASV_718	0.137988	0.00000000	0.08767399	0.32628968
ASV_76	0.164267	0.0000000	0.4928005	0.0000000
ASV_235	0.216018	0.6480547	0.0000000	0.0000000
ASV_99	0.120529	0.3615876	0.0000000	0.0000000
ASV_1115	0.12656	0.0000000	0.0929507	0.2867293
ASV_1219	0.130433	0.00000000	0.08701392	0.30428452
ASV_146	0.134953	0.0000000	0.0000000	0.4048583
ASV_550	0.288917	0.84994955	0.01680108	0.00000000
ASV_105	0.092779	0.00000000	0.18435304	0.09398496
ASV_1114	0.094553	0.0000000	0.0000000	0.2836585
ASV_66	0.214161	0.0000000	0.5419903	0.1004930
ASV_96	0.130093	0.00000	0.00000	0.39028
ASV_1081	0.125469	0.000000000	0.008730574	0.367677323
ASV_1131	0.092866	0.0000000	0.0000000	0.2785981
ASV_226	0.205952	0.617856	0.000000	0.000000
ASV_282	0.110824	0.0000000	0.0000000	0.3324724
ASV_324	0.141103	0.0000000	0.2773273	0.1459827
ASV_355	0.103773	0.0000000	0.0000000	0.3113178
ASV_479	0.110065	0.0000000	0.0000000	0.3301958
ASV_78	0.116408	0.000000	0.349223	0.000000
ASV_97	0.115356	0.0000000	0.0000000	0.3460686
ASV_112	0.100766	0.0000000	0.0000000	0.3022969
ASV_132	0.103559	0.00000000	0.29533673	0.01533978
