DATASET_HEATMAP
SEPARATOR TAB
BORDER_WIDTH	0.5
COLOR	#fb9a99
COLOR_MAX	#1f78b4
COLOR_MIN	#e5e5e5
COLOR_NAN	#FFFFFF
DATASET_LABEL	OTUID
FIELD_LABELS	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_49	53	30	166	3	13	22	9	8	115	96	7	5	9	14	20	6	17	5
ASV_55	42	81	26	23	42	40	40	40	15	33	24	38	32	6	21	8	35	23
ASV_58	36	33	34	49	46	36	28	28	9	36	31	21	25	27	26	19	21	24
ASV_62	29	34	25	33	33	33	24	41	29	18	39	17	29	30	28	21	29	20
ASV_67	26	22	51	40	56	40	19	20	19	21	22	28	18	30	10	25	29	31
ASV_56	4	10	24	24	19	16	31	12	26	33	30	21	28	65	48	30	33	27
ASV_63	11	9	9	7	16	11	45	30	20	144	32	106	9	5	3	12	22	18
ASV_61	23	32	10	17	8	11	58	39	32	32	31	43	32	22	30	29	15	24
ASV_59	25	32	37	42	57	39	16	15	21	21	12	14	21	23	18	27	25	30
ASV_60	22	26	12	21	43	22	38	24	14	35	18	12	29	37	31	26	16	36
ASV_76	39	20	21	17	14	15	28	23	27	29	26	31	20	26	50	37	18	31
ASV_66	25	32	34	39	35	41	17	14	18	16	22	13	22	34	20	25	38	18
ASV_73	30	15	11	25	9	25	14	18	18	22	26	25	9	34	30	91	22	21
ASV_456	20	23	26	20	6	18	16	19	31	21	22	14	42	23	32	22	50	41
ASV_69	23	29	28	21	24	25	32	28	14	21	36	16	19	18	28	18	30	22
ASV_82	24	36	26	24	37	41	18	4	28	22	22	25	16	18	12	19	22	14
ASV_72	38	21	37	71	25	50	11	7	13	14	14	16	13	15	12	22	17	14
ASV_93	12	4	11	8	47	9	18	112	4	24	52	10	1	9	26	7	33	29
ASV_71	25	11	14	25	22	97	19	6	24	16	20	25	16	16	23	16	12	22
ASV_74	25	26	32	19	25	18	36	20	26	17	27	20	7	16	43	6	14	26
ASV_77	20	11	31	21	22	18	7	11	19	13	13	31	14	46	11	74	13	16
ASV_75	13	23	38	21	41	30	9	20	24	9	42	12	16	17	23	19	15	18
ASV_83	17	34	16	0	2	94	25	3	11	47	7	12	49	0	12	19	8	14
ASV_84	20	5	17	25	24	20	8	13	39	22	14	18	22	30	24	21	24	32
ASV_81	27	12	14	20	35	9	12	31	13	25	66	29	17	4	38	18	13	14
ASV_78	22	19	7	11	30	19	22	12	18	14	15	23	19	9	27	49	29	21
