function	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
K05568	0.0	0.0	0.0	0.0	0.0	0.0	372.9799999999999	50.0	230.32999999999998	9.66	241.0	59.66	51.489999999999995	55.339999999999996	51.31999999999999	41.34	86.01	29.32
K05569	0.0	0.0	0.0	0.0	0.0	0.0	110.97999999999999	30.0	151.32999999999998	3.66	120.0	34.66	39.49	53.339999999999996	45.31999999999999	31.340000000000003	82.01	17.32
K05570	0.0	0.0	0.0	0.0	0.0	0.0	110.64999999999999	30.0	151.32999999999998	3.66	120.0	33.33	34.83	14.67	18.0	7.33	20.340000000000003	9.32
K05571	0.0	0.0	0.0	0.0	0.0	0.0	107.97999999999999	26.0	146.32999999999998	3.66	119.0	32.66	35.49	52.339999999999996	42.31999999999999	26.339999999999996	80.01	11.32
K05586	0.0	0.0	0.0	0.0	0.0	0.0	128.0	6.0	34.5	3.0	59.5	10.5	2.0	0.0	0.0	0.0	0.0	0.0
K05587	0.0	0.0	0.0	0.0	0.0	0.0	128.0	6.0	34.5	3.0	59.5	10.5	2.0	0.0	0.0	0.0	0.0	0.0
K05588	0.0	0.0	0.0	0.0	0.0	0.0	128.0	6.0	34.5	3.0	59.5	10.5	2.0	0.0	0.0	0.0	0.0	0.0
K05589	0.0	0.0	0.0	8.0	1.0	1.0	198.66000000000003	37.0	42.5	10.0	114.5	38.7	78.44	161.77999999999997	177.04999999999995	242.02	129.91	158.6
K05590	0.0	0.0	0.0	0.0	0.0	0.0	1.6600000000000001	0.0	0.0	5.0	0.0	1.0	1.8399999999999999	48.18000000000001	5.85	71.82	15.51	11.0
K05591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	16.0	2.0
K05592	821.26	465.82	1128.42	632.8000000000001	573.7099999999999	230.3	2001.9499999999998	611.7599999999999	1109.7	642.6599999999999	1415.89	382.77	958.06	1278.51	1260.9599999999998	1764.4299999999998	1422.1000000000001	1580.6599999999999
