PathwayL1	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
Brite Hierarchies	793263.4800000055	482832.8900000022	1170636.1500000008	574430.5999999976	691415.6399999999	239643.8999999984	1773158.8099999817	489010.7000000007	863118.2399999948	503200.92000000086	1189975.6000000017	353580.6300000009	854459.5099999902	1077034.540000004	1094813.9699999955	1438009.899999995	1111481.990000002	1232749.6900000044
Cellular Processes	80602.28	40116.80000000001	119773.56999999993	51775.70000000002	62718.52999999997	27078.19999999998	203213.87000000005	40338.110000000015	97269.94999999998	46798.650000000045	129872.62000000001	36723.22999999999	87565.09999999996	91600.00999999997	93090.43000000012	124001.65000000014	95564.32999999997	108967.96000000006
Environmental Information Processing	92665.35999999993	59670.53999999998	146212.52999999985	74184.90000000004	88531.14999999994	36614.89999999995	217458.56000000043	66205.18000000004	100719.66000000015	61333.05000000004	135792.29000000007	42863.19	106245.62000000002	149552.87999999983	144389.27000000034	196238.4600000004	168026.80999999976	159505.77000000008
Genetic Information Processing	172619.97000000006	104340.85000000018	256945.77000000054	124951.80000000034	148113.50000000017	49818.45000000007	408252.63999999984	114066.03999999979	199813.60000000006	116508.34000000027	282287.2499999997	83690.98000000005	201387.8700000001	253361.56999999948	256029.39000000022	334208.4299999995	256188.76000000036	291580.70999999956
Human Diseases	68338.43000000001	37449.76000000002	90214.05999999992	45403.20000000002	56094.06999999994	18121.649999999983	146995.41999999998	42018.399999999994	68530.72	41663.66000000001	97423.73000000001	29135.650000000005	73776.06999999992	96453.30999999985	99189.12000000018	127576.07000000005	98524.89999999995	106771.29000000002
Metabolism	792038.5300000074	432255.14000000106	1045447.3100000054	516615.1999999944	647609.3100000032	208843.3499999982	1616137.1599999955	419389.8099999994	754945.8599999968	444969.56999999995	1088091.4700000002	323798.66000000085	761410.289999995	963084.2499999988	995233.59	1286649.929999997	983766.5100000004	1122306.4100000004
Not Included in Pathway or Brite	164386.06999999998	92896.99000000005	219409.99000000028	110370.40000000018	132182.27999999997	46245.850000000035	306099.5799999995	82711.83000000005	153862.5400000001	88338.9200000001	206883.89999999973	61144.169999999875	148667.58000000028	187887.2999999997	192571.24000000037	255804.48000000068	191830.65000000008	213628.45000000022
Organismal Systems	42257.759999999995	22650.399999999998	55148.32999999997	26204.599999999988	33612.60999999999	10469.5	86233.17	21034.63999999999	39413.02000000001	23075.96	55492.86000000001	16969.809999999994	40671.10000000001	49844.14999999998	50270.11	64121.57000000002	46087.200000000026	55771.69
