unifrac	feces1	feces5	feces4	feces3	feces2	feces6	plaque1	plaque2	plaque6	plaque3	saliva1	saliva3	saliva4	saliva2	saliva6	plaque5	plaque4	saliva5
feces1	0	0.444	0.451	0.469	0.539	0.618	0.967	0.963	0.964	0.966	0.963	0.963	0.962	0.966	0.962	0.980	0.965	0.966
feces5	0.444	0	0.579	0.455	0.585	0.730	0.973	0.960	0.967	0.963	0.955	0.935	0.938	0.951	0.966	0.988	0.962	0.944
feces4	0.451	0.579	0	0.535	0.709	0.562	0.956	0.977	0.967	0.957	0.955	0.964	0.954	0.953	0.953	0.984	0.953	0.968
feces3	0.469	0.455	0.535	0	0.490	0.769	0.926	0.894	0.966	0.870	0.918	0.881	0.940	0.933	0.942	0.983	0.958	0.901
feces2	0.539	0.585	0.709	0.490	0	0.736	0.914	0.897	0.975	0.911	0.933	0.911	0.952	0.944	0.947	0.976	0.965	0.924
feces6	0.618	0.730	0.562	0.769	0.736	0	0.933	0.973	0.944	0.935	0.932	0.928	0.931	0.935	0.928	0.975	0.931	0.936
plaque1	0.967	0.973	0.956	0.926	0.914	0.933	0	0.325	0.408	0.496	0.538	0.450	0.495	0.518	0.392	0.494	0.515	0.659
plaque2	0.963	0.960	0.977	0.894	0.897	0.973	0.325	0	0.334	0.411	0.509	0.419	0.488	0.480	0.381	0.411	0.508	0.728
plaque6	0.964	0.967	0.967	0.966	0.975	0.944	0.408	0.334	0	0.473	0.493	0.422	0.366	0.372	0.341	0.380	0.553	0.677
plaque3	0.966	0.963	0.957	0.870	0.911	0.935	0.496	0.411	0.473	0	0.334	0.352	0.422	0.415	0.452	0.551	0.510	0.553
saliva1	0.963	0.955	0.955	0.918	0.933	0.932	0.538	0.509	0.493	0.334	0	0.238	0.271	0.330	0.341	0.595	0.562	0.423
saliva3	0.963	0.935	0.964	0.881	0.911	0.928	0.450	0.419	0.422	0.352	0.238	0	0.264	0.308	0.299	0.527	0.523	0.445
saliva4	0.962	0.938	0.954	0.940	0.952	0.931	0.495	0.488	0.366	0.422	0.271	0.264	0	0.282	0.301	0.612	0.561	0.461
saliva2	0.966	0.951	0.953	0.933	0.944	0.935	0.518	0.480	0.372	0.415	0.330	0.308	0.282	0	0.322	0.487	0.402	0.509
saliva6	0.962	0.966	0.953	0.942	0.947	0.928	0.392	0.381	0.341	0.452	0.341	0.299	0.301	0.322	0	0.507	0.535	0.580
plaque5	0.980	0.988	0.984	0.983	0.976	0.975	0.494	0.411	0.380	0.551	0.595	0.527	0.612	0.487	0.507	0	0.435	0.838
plaque4	0.965	0.962	0.953	0.958	0.965	0.931	0.515	0.508	0.553	0.510	0.562	0.523	0.561	0.402	0.535	0.435	0	0.681
saliva5	0.966	0.944	0.968	0.901	0.924	0.936	0.659	0.728	0.677	0.553	0.423	0.445	0.461	0.509	0.580	0.838	0.681	0
