manhatten	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	363.0	320.0	308.0	279.0	380.0	918.0	841.0	718.0	671.0	636.0	793.0	832.0	717.0	769.0	824.0	768.0	885.0
feces2	363.0	0	245.0	421.0	344.0	359.0	1035.0	938.0	811.0	784.0	735.0	888.0	927.0	822.0	876.0	931.0	877.0	996.0
feces3	320.0	245.0	0	358.0	323.0	340.0	962.0	867.0	732.0	697.0	656.0	809.0	866.0	745.0	809.0	860.0	806.0	919.0
feces4	308.0	421.0	358.0	0	311.0	310.0	834.0	763.0	622.0	593.0	532.0	703.0	742.0	621.0	661.0	734.0	676.0	797.0
feces5	279.0	344.0	323.0	311.0	0	341.0	877.0	788.0	663.0	630.0	589.0	724.0	771.0	664.0	720.0	771.0	719.0	834.0
feces6	380.0	359.0	340.0	310.0	341.0	0	844.0	779.0	644.0	609.0	574.0	717.0	748.0	637.0	701.0	746.0	690.0	803.0
plaque1	918.0	1035.0	962.0	834.0	877.0	844.0	0	285.0	404.0	385.0	420.0	301.0	324.0	359.0	331.0	274.0	302.0	219.0
plaque2	841.0	938.0	867.0	763.0	788.0	779.0	285.0	0	365.0	374.0	347.0	336.0	375.0	392.0	322.0	349.0	415.0	282.0
plaque3	718.0	811.0	732.0	622.0	663.0	644.0	404.0	365.0	0	295.0	358.0	301.0	180.0	303.0	357.0	322.0	340.0	359.0
plaque4	671.0	784.0	697.0	593.0	630.0	609.0	385.0	374.0	295.0	0	321.0	280.0	355.0	96.0	356.0	311.0	355.0	354.0
plaque5	636.0	735.0	656.0	532.0	589.0	574.0	420.0	347.0	358.0	321.0	0	357.0	420.0	353.0	209.0	402.0	430.0	387.0
plaque6	793.0	888.0	809.0	703.0	724.0	717.0	301.0	336.0	301.0	280.0	357.0	0	297.0	270.0	328.0	143.0	317.0	274.0
saliva1	832.0	927.0	866.0	742.0	771.0	748.0	324.0	375.0	180.0	355.0	420.0	297.0	0	317.0	321.0	248.0	274.0	279.0
saliva2	717.0	822.0	745.0	621.0	664.0	637.0	359.0	392.0	303.0	96.0	353.0	270.0	317.0	0	324.0	271.0	295.0	318.0
saliva3	769.0	876.0	809.0	661.0	720.0	701.0	331.0	322.0	357.0	356.0	209.0	328.0	321.0	324.0	0	291.0	331.0	278.0
saliva4	824.0	931.0	860.0	734.0	771.0	746.0	274.0	349.0	322.0	311.0	402.0	143.0	248.0	271.0	291.0	0	250.0	235.0
saliva5	768.0	877.0	806.0	676.0	719.0	690.0	302.0	415.0	340.0	355.0	430.0	317.0	274.0	295.0	331.0	250.0	0	275.0
saliva6	885.0	996.0	919.0	797.0	834.0	803.0	219.0	282.0	359.0	354.0	387.0	274.0	279.0	318.0	278.0	235.0	275.0	0
