bray_curtis	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.807	0.711	0.717	0.710	0.878	0.992	0.983	0.994	0.991	0.996	0.989	0.991	0.989	0.983	0.977	0.989	0.982
feces2	0.807	0	0.727	0.842	0.810	0.892	0.998	0.998	0.999	0.998	0.998	0.998	0.997	0.998	0.998	0.998	0.998	0.998
feces3	0.711	0.727	0	0.688	0.718	0.892	0.996	0.985	0.995	0.994	0.999	0.991	0.994	0.995	0.992	0.986	0.998	0.987
feces4	0.717	0.842	0.688	0	0.739	0.825	0.994	0.997	0.997	0.995	0.994	0.997	0.993	0.989	0.981	0.984	0.984	0.993
feces5	0.710	0.810	0.718	0.739	0	0.817	0.993	0.984	0.994	0.992	0.997	0.989	0.991	0.991	0.988	0.982	0.994	0.985
feces6	0.878	0.892	0.892	0.825	0.817	0	0.992	0.996	0.996	0.994	0.995	0.995	0.990	0.991	0.990	0.988	0.988	0.991
plaque1	0.992	0.998	0.996	0.994	0.993	0.992	0	0.613	0.843	0.739	0.772	0.673	0.776	0.725	0.744	0.677	0.836	0.596
plaque2	0.983	0.998	0.985	0.997	0.984	0.996	0.613	0	0.774	0.755	0.594	0.592	0.752	0.758	0.674	0.674	0.940	0.562
plaque3	0.994	0.999	0.995	0.997	0.994	0.996	0.843	0.774	0	0.787	0.786	0.770	0.564	0.768	0.805	0.762	0.926	0.800
plaque4	0.991	0.998	0.994	0.995	0.992	0.994	0.739	0.755	0.787	0	0.684	0.767	0.790	0.491	0.817	0.765	0.926	0.813
plaque5	0.996	0.998	0.999	0.994	0.997	0.995	0.772	0.594	0.786	0.684	0	0.638	0.811	0.723	0.612	0.780	0.974	0.680
plaque6	0.989	0.998	0.991	0.997	0.989	0.995	0.673	0.592	0.770	0.767	0.638	0	0.733	0.662	0.702	0.471	0.874	0.605
saliva1	0.991	0.997	0.994	0.993	0.991	0.990	0.776	0.752	0.564	0.790	0.811	0.733	0	0.639	0.640	0.595	0.723	0.648
saliva2	0.989	0.998	0.995	0.989	0.991	0.991	0.725	0.758	0.768	0.491	0.723	0.662	0.639	0	0.680	0.571	0.772	0.653
saliva3	0.983	0.998	0.992	0.981	0.988	0.990	0.744	0.674	0.805	0.817	0.612	0.702	0.640	0.680	0	0.585	0.718	0.612
saliva4	0.977	0.998	0.986	0.984	0.982	0.988	0.677	0.674	0.762	0.765	0.780	0.471	0.595	0.571	0.585	0	0.673	0.563
saliva5	0.989	0.998	0.998	0.984	0.994	0.988	0.836	0.940	0.926	0.926	0.974	0.874	0.723	0.772	0.718	0.673	0	0.789
saliva6	0.982	0.998	0.987	0.993	0.985	0.991	0.596	0.562	0.800	0.813	0.680	0.605	0.648	0.653	0.612	0.563	0.789	0
