jaccard_binary	feces1	feces5	feces2	feces3	feces4	feces6	plaque1	saliva6	plaque6	saliva4	plaque3	saliva1	plaque2	saliva5	saliva3	plaque5	plaque4	saliva2
feces1	0	0.557	0.599	0.588	0.621	0.696	0.962	0.960	0.973	0.961	0.974	0.962	0.971	0.956	0.959	0.968	0.960	0.962
feces5	0.557	0	0.597	0.615	0.652	0.674	0.961	0.952	0.953	0.952	0.962	0.947	0.962	0.949	0.951	0.961	0.957	0.951
feces2	0.599	0.597	0	0.446	0.708	0.621	0.981	0.976	0.981	0.977	0.982	0.971	0.980	0.974	0.976	0.981	0.982	0.979
feces3	0.588	0.615	0.446	0	0.685	0.644	0.984	0.977	0.981	0.981	0.981	0.980	0.984	0.978	0.982	0.981	0.976	0.979
feces4	0.621	0.652	0.708	0.685	0	0.658	0.956	0.951	0.963	0.951	0.958	0.951	0.970	0.943	0.934	0.942	0.956	0.945
feces6	0.696	0.674	0.621	0.644	0.658	0	0.947	0.939	0.955	0.942	0.955	0.939	0.963	0.935	0.945	0.957	0.949	0.938
plaque1	0.962	0.961	0.981	0.984	0.956	0.947	0	0.312	0.441	0.394	0.583	0.448	0.407	0.442	0.476	0.634	0.575	0.529
saliva6	0.960	0.952	0.976	0.977	0.951	0.939	0.312	0	0.420	0.356	0.548	0.407	0.412	0.420	0.425	0.614	0.555	0.495
plaque6	0.973	0.953	0.981	0.981	0.963	0.955	0.441	0.420	0	0.259	0.533	0.468	0.517	0.516	0.531	0.644	0.519	0.484
saliva4	0.961	0.952	0.977	0.981	0.951	0.942	0.394	0.356	0.259	0	0.535	0.390	0.511	0.412	0.465	0.667	0.534	0.463
plaque3	0.974	0.962	0.982	0.981	0.958	0.955	0.583	0.548	0.533	0.535	0	0.336	0.585	0.581	0.603	0.696	0.582	0.567
saliva1	0.962	0.947	0.971	0.980	0.951	0.939	0.448	0.407	0.468	0.390	0.336	0	0.536	0.440	0.498	0.682	0.584	0.518
plaque2	0.971	0.962	0.980	0.984	0.970	0.963	0.407	0.412	0.517	0.511	0.585	0.536	0	0.601	0.502	0.602	0.609	0.607
saliva5	0.956	0.949	0.974	0.978	0.943	0.935	0.442	0.420	0.516	0.412	0.581	0.440	0.601	0	0.534	0.728	0.614	0.517
saliva3	0.959	0.951	0.976	0.982	0.934	0.945	0.476	0.425	0.531	0.465	0.603	0.498	0.502	0.534	0	0.436	0.617	0.555
plaque5	0.968	0.961	0.981	0.981	0.942	0.957	0.634	0.614	0.644	0.667	0.696	0.682	0.602	0.728	0.436	0	0.667	0.679
plaque4	0.960	0.957	0.982	0.976	0.956	0.949	0.575	0.555	0.519	0.534	0.582	0.584	0.609	0.614	0.617	0.667	0	0.231
saliva2	0.962	0.951	0.979	0.979	0.945	0.938	0.529	0.495	0.484	0.463	0.567	0.518	0.607	0.517	0.555	0.679	0.231	0
