Family	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Prevotellaceae	5.5	15.9	41.6	3.98	0	0	15.9	13.1	16.8	23.5	15.3	16.5	6.12	7.65	14.7	10.7	3.98	21.7	15.5
Streptococcaceae	0	0.306	0	0	0.306	0	3.98	27.5	2.45	33.9	0.612	8.26	10.7	30.3	31.8	33.6	45.3	23.5	13.5
Lachnospiraceae	9.79	9.79	24.8	10.4	19.3	58.1	3.36	0.306	1.83	5.5	2.75	6.73	2.14	0.306	1.53	1.83	0	3.36	8.3
Fusobacteriaceae	0	0	0	0	0	0	7.34	2.14	17.1	9.48	6.12	0.306	7.03	1.83	3.06	5.2	1.22	7.03	5.4
Ruminococcaceae	30	50.8	13.5	26	26.9	6.12	0	0	0	0	0	0	0	0	0	0	0	0	4.8
Veillonellaceae	0	3.36	3.36	0	0	0	2.14	5.5	1.22	2.14	3.98	1.53	4.28	4.59	4.59	10.1	8.26	9.17	4.8
Porphyromonadaceae	0	0	0	0	0	0	1.83	4.59	15.3	4.89	14.1	9.17	15.3	13.5	10.1	7.95	0.917	3.36	4.7
Spirochaetaceae	0	0	0	0	0	0	6.73	0	2.45	0.917	4.28	3.67	7.03	0	0	0	0	0	3.6
Peptostreptococcaceae	0	0	0	0	0	0	7.03	2.75	17.4	4.59	10.7	5.5	8.56	0	0.612	0	0.306	0	3.1
Incertae Sedis	10.7	4.28	0.917	8.26	3.98	0.306	0.306	0	0.612	0	3.98	3.98	0.612	0	0.917	0.306	0.612	3.67	3.1
Selenomonadaceae	0	0	0	0	0	0	10.4	2.14	0.306	2.45	5.81	2.45	3.36	0	0.917	0	1.53	0.612	2.4
Anaerovoracaceae	0	0	0	0	0.612	2.45	5.2	3.06	1.22	0.612	2.75	4.28	5.81	0	0	0	0.306	1.83	2.3
Neisseriaceae	0	0	0	0	0	0	0.306	0.306	0	0.306	0	0.306	2.75	6.42	7.03	7.03	7.65	3.36	2.1
Synergistaceae	0	0	0	0	0	0	3.06	1.83	11.9	0.306	5.5	3.36	1.22	0	0.306	0	0	0	2.1
Leptotrichiaceae	0	0	0	0	0	0.306	0.917	3.67	0.612	0	4.89	2.45	0.306	0	0	0.612	1.83	4.28	2.1
Family XI	0	0	0	0	0	0	2.75	25.4	0.306	6.12	4.28	2.75	2.75	0	0	0.917	0	0.306	1.8
Pasteurellaceae	0	0	0	0	0	0	0	0	0	0	0	0.306	0.306	5.2	0.612	8.26	3.98	0.306	1.7
Gemellaceae	0	0	0	0	0	0	0.612	1.83	0.306	0.612	0	3.67	3.67	6.73	7.03	3.98	9.17	1.53	1.6
Saccharimonadaceae	0	0	0	0	0	0	4.89	0.306	0	0	0.612	1.83	0	0.917	0.917	0.306	1.22	4.28	1.1
Rikenellaceae	0	2.75	1.22	14.1	3.67	0	0.612	0	0	0	0	0	1.53	0	0	0	0	0	1.1
Bacteroidaceae	23.5	0.612	0.612	0	21.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1
Erysipelotrichaceae	0	0	2.45	2.14	6.12	0	0	0.612	0.612	0.612	0	0.306	0.612	0.612	0.306	0.306	0.306	0.612	1.0
Tannerellaceae	0.612	0.612	0	0	1.22	0	1.53	0.612	0.612	0.612	1.53	3.36	2.75	0	0	0.306	0	1.53	1.0
Oscillospiraceae	11.6	1.53	6.12	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Campylobacteraceae	0	0	0	0	0	0	1.22	0	2.45	0	2.14	0.306	3.06	0	0.917	0.306	0	0.612	0.9
Flavobacteriaceae	0	0	0	0	0	0	2.14	0.306	0	0	0.306	0.306	1.83	0.306	1.83	0.917	0.917	1.22	0.9
Micrococcaceae	0	0	0	0	0	0	1.22	0	0	0	0	0.612	0.917	17.4	5.5	3.67	5.5	3.36	0.8
Bifidobacteriaceae	0.306	7.34	0	7.65	9.48	6.73	0	0	0	0	0	0	0	0	0	0	0	0	0.8
[Eubacterium] coprostanoligenes group	0	0	3.98	7.34	0.306	15	0	0	0	0	0	0	0	0	0	0	0	0	0.7
Carnobacteriaceae	0	0	0	0	0	0.306	0	0.306	0	0.612	0	0.612	0.306	3.67	6.12	2.45	4.59	2.14	0.7
Acidaminococcaceae	1.83	0	0.612	13.5	4.28	4.28	0	0	0	0	0	0	0	0	0	0	0	0	0.6
Lentimicrobiaceae	0	0	0	0	0	0	2.45	0	0	0	0	0	1.22	0	0.306	0	0	0	0.6
Actinomycetaceae	0	0	0	0	0	0	0	0	0	0	0	1.22	0.917	0	0	0.612	0.917	0.612	0.5
Peptococcaceae	0	0	0	0	0	0	0.306	0	0.306	1.83	1.53	3.67	0	0	0	0	0	0	0.5
Paludibacteraceae	0	0	0	0	0	0	0.612	0	0	0	0	0.917	1.22	0.306	0	0	0.306	0	0.4
Atopobiaceae	0	0	0	0	0	0	0	1.83	0	0.306	0.306	2.75	0.917	0	0.612	0.612	0.306	0.917	0.4
Acholeplasmataceae	0	0	0	0	0	0	0	0	0.612	0	0.306	0.306	0	0	0	0	0	0	0.3
Desulfobulbaceae	0	0	0	0	0	0	10.1	1.83	3.67	0.306	6.73	3.67	0	0	0	0	0	0	0.3
Corynebacteriaceae	0	0	0	0	0	0	0.306	0	0	0	0	2.14	0	0	0	0	0.306	0	0.2
Christensenellaceae	0.306	0	0	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Cardiobacteriaceae	0	0	0	0	0	0	0.306	0	0	0	0	0	0.306	0.306	0.306	0	0	0.306	0.2
Weeksellaceae	0	0	0	0	0	0	0.306	0	0	0	0	0	0	0	0	0	0	0.306	0.2
Erysipelatoclostridiaceae	0.306	2.75	0	2.14	1.22	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Coriobacteriaceae	0.612	0	0.917	0.306	0	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0.2
p-2534-18B5 gut group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Marinifilaceae	0	0	0	0	0	0	0	0	0	0	0	1.22	0.612	0	0	0	0	0	0.2
Desulfovibrionaceae	0	0	0	0.612	0	0	0	0	0	0	0	0.612	0	0	0	0	0	0	0.2
Akkermansiaceae	4.89	0	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Defluviitaleaceae	0	0	0	0	0	0	0.306	0	0	0	0.306	0	0.917	0	0	0	0	0	0.2
Anaerolineaceae	0	0	0	0	0	0	0.917	0	0.306	0.306	0.917	0.917	0	0	0	0	0	0	0.1
UCG-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Coriobacteriales Incertae Sedis	0	0	0	0	0	0.612	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Mycoplasmataceae	0	0	0	0	0	0	0.917	0	1.53	0	0.306	0	0	0	0	0	0	0	0.1
Syntrophomonadaceae	0	0	0	0	0	0	0	0	0	0	0	0	0.917	0	0	0	0	0	0.1
Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.612	0	0.1
