Order	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6	All
Bacteroidales	29.7	19.9	43.4	18	26	0	20.5	18.3	32.7	29.1	30.9	31.2	27.8	21.4	24.8	19	5.2	26.6	24.1
Lactobacillales	0	0.306	0	0	0.306	0.306	3.98	27.8	2.45	34.6	0.612	8.87	11	33.9	37.9	36.1	49.8	25.7	14.2
Lachnospirales	9.79	9.79	24.8	10.4	19.3	58.1	3.67	0.306	1.83	5.5	3.06	6.73	3.06	0.306	1.53	1.83	0	3.36	8.4
Fusobacteriales	0	0	0	0	0	0.306	8.26	5.81	17.7	9.48	11	2.75	7.34	1.83	3.06	5.81	3.06	11.3	7.5
Veillonellales-Selenomonadales	0	3.36	3.36	0	0	0	12.5	7.65	1.53	4.59	9.79	3.98	7.65	4.59	5.5	10.1	9.79	9.79	7.2
Peptostreptococcales-Tissierellales	0	0	0	0	0.612	2.45	15	31.2	19	11.3	17.7	12.5	17.1	0	0.612	0.917	0.612	2.14	7.1
Oscillospirales	41.6	52.3	23.5	33.3	27.2	21.4	0	0	0	0	0	0	0	0	0	0	0	0	6.5
Spirochaetales	0	0	0	0	0	0	6.73	0	2.45	0.917	4.28	3.67	7.03	0	0	0	0	0	3.6
Burkholderiales	0	0	0	0	0	0	0.306	0.306	0	0.306	0	0.306	2.75	6.42	7.03	7.03	8.26	3.36	2.2
Synergistales	0	0	0	0	0	0	3.06	1.83	11.9	0.306	5.5	3.36	1.22	0	0.306	0	0	0	2.1
Saccharimonadales	0	0	0	0	0	0.306	5.2	0.306	0.306	0	3.98	4.89	0	0.917	1.22	0.306	1.53	4.28	2.1
Enterobacterales	0	0	0	0	0	0	0	0	0	0	0	0.306	0.306	5.2	0.612	8.26	3.98	0.306	1.7
Staphylococcales	0	0	0	0	0	0	0.612	1.83	0.306	0.612	0	3.67	3.67	6.73	7.03	3.98	9.17	1.53	1.6
Clostridia UCG-014	10.7	4.28	0.612	6.73	3.67	0	0	0	0.306	0	0.306	0.917	0	0	0.306	0	0	3.36	1.4
Erysipelotrichales	0.306	2.75	2.45	4.28	7.34	3.67	0	0.612	0.612	0.612	0	0.306	0.612	0.612	0.306	0.306	0.306	0.612	1.2
Flavobacteriales	0	0	0	0	0	0	2.45	0.306	0	0	0.306	0.306	1.83	0.306	1.83	0.917	0.917	1.53	1.1
Campylobacterales	0	0	0	0	0	0	1.22	0	2.45	0	2.14	0.306	3.06	0	0.917	0.306	0	0.612	0.9
Bifidobacteriales	0.306	7.34	0	7.65	9.48	6.73	0	0	0	0	0	0	0	0	0	0	0	0	0.8
Micrococcales	0	0	0	0	0	0	1.22	0	0	0	0	0.612	0.917	17.4	5.5	3.67	5.5	3.36	0.8
Coriobacteriales	0.612	0	0.917	0.306	0	2.45	0	1.83	0	0.306	0.306	2.75	0.917	0	0.612	0.612	0.306	0.917	0.6
Sphingobacteriales	0	0	0	0	0	0	2.45	0	0	0	0	0	1.22	0	0.306	0	0	0	0.6
Acidaminococcales	1.83	0	0.612	13.5	4.28	4.28	0	0	0	0	0	0	0	0	0	0	0	0	0.6
Actinomycetales	0	0	0	0	0	0	0	0	0	0	0	1.22	0.917	0	0	0.612	0.917	0.612	0.5
Peptococcales	0	0	0	0	0	0	0.306	0	0.306	1.83	1.53	3.67	0	0	0	0	0	0	0.5
RF39	0	0	0.306	1.53	0.306	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
Acholeplasmatales	0	0	0	0	0	0	0	0	0.612	0	0.306	0.306	0	0	0	0	0	0	0.3
Desulfobulbales	0	0	0	0	0	0	10.1	1.83	3.67	0.306	6.73	3.67	0	0	0	0	0	0	0.3
Cardiobacteriales	0	0	0	0	0	0	0.306	0	0	0	0	0	0.306	0.306	0.306	0	0	0.306	0.2
Christensenellales	0.306	0	0	3.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Absconditabacteriales SR1	0	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0.306	0.306	0.306	0.306	0.2
Mycobacteriales	0	0	0	0	0	0	0.306	0	0	0	0	2.14	0	0	0	0	0.306	0	0.2
Verrucomicrobiales	4.89	0	0	0	1.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2
Desulfovibrionales	0	0	0	0.612	0	0	0	0	0	0	0	0.612	0	0	0	0	0	0	0.2
Anaerolineales	0	0	0	0	0	0	0.917	0	0.306	0.306	0.917	0.917	0	0	0	0	0	0	0.1
Mycoplasmatales	0	0	0	0	0	0	0.917	0	1.53	0	0.306	0	0	0	0	0	0	0	0.1
Izemoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0.306	0	0	0	0	0	0.1
Syntrophomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0.917	0	0	0	0	0	0.1
