manhatten	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	91.0	130.0	86.0	99.0	82.0	205.0	139.0	175.0	134.0	200.0	206.0	218.0	183.0	212.0	197.0	201.0	200.0
feces2	91.0	0	139.0	91.0	92.0	89.0	214.0	148.0	184.0	143.0	209.0	215.0	225.0	192.0	219.0	206.0	208.0	207.0
feces3	130.0	139.0	0	130.0	145.0	128.0	255.0	189.0	225.0	186.0	250.0	256.0	268.0	233.0	262.0	247.0	251.0	250.0
feces4	86.0	91.0	130.0	0	95.0	72.0	191.0	125.0	161.0	122.0	186.0	192.0	204.0	169.0	198.0	183.0	187.0	186.0
feces5	99.0	92.0	145.0	95.0	0	93.0	214.0	148.0	184.0	143.0	209.0	215.0	227.0	192.0	221.0	204.0	210.0	209.0
feces6	82.0	89.0	128.0	72.0	93.0	0	185.0	119.0	153.0	112.0	178.0	186.0	198.0	163.0	192.0	177.0	181.0	180.0
plaque1	205.0	214.0	255.0	191.0	214.0	185.0	0	172.0	194.0	177.0	213.0	229.0	243.0	252.0	265.0	268.0	262.0	265.0
plaque2	139.0	148.0	189.0	125.0	148.0	119.0	172.0	0	150.0	127.0	179.0	191.0	199.0	188.0	209.0	202.0	204.0	201.0
plaque3	175.0	184.0	225.0	161.0	184.0	153.0	194.0	150.0	0	151.0	187.0	211.0	213.0	224.0	243.0	236.0	236.0	235.0
plaque4	134.0	143.0	186.0	122.0	143.0	112.0	177.0	127.0	151.0	0	176.0	194.0	188.0	189.0	206.0	201.0	199.0	198.0
plaque5	200.0	209.0	250.0	186.0	209.0	178.0	213.0	179.0	187.0	176.0	0	222.0	236.0	253.0	276.0	267.0	261.0	256.0
plaque6	206.0	215.0	256.0	192.0	215.0	186.0	229.0	191.0	211.0	194.0	222.0	0	218.0	231.0	240.0	245.0	243.0	250.0
saliva1	218.0	225.0	268.0	204.0	227.0	198.0	243.0	199.0	213.0	188.0	236.0	218.0	0	249.0	254.0	243.0	257.0	266.0
saliva2	183.0	192.0	233.0	169.0	192.0	163.0	252.0	188.0	224.0	189.0	253.0	231.0	249.0	0	173.0	182.0	202.0	195.0
saliva3	212.0	219.0	262.0	198.0	221.0	192.0	265.0	209.0	243.0	206.0	276.0	240.0	254.0	173.0	0	201.0	209.0	208.0
saliva4	197.0	206.0	247.0	183.0	204.0	177.0	268.0	202.0	236.0	201.0	267.0	245.0	243.0	182.0	201.0	0	202.0	207.0
saliva5	201.0	208.0	251.0	187.0	210.0	181.0	262.0	204.0	236.0	199.0	261.0	243.0	257.0	202.0	209.0	202.0	0	213.0
saliva6	200.0	207.0	250.0	186.0	209.0	180.0	265.0	201.0	235.0	198.0	256.0	250.0	266.0	195.0	208.0	207.0	213.0	0
