PathwayL2	KO	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
 sorting and degradation	K03076K03073K03075K03072K03074K12257K03210K03217K03070K03071K03106K03110K03116K03117K03118K03100K03101K13280K07151K13525K04079K13993K04487K01011K11996K04085K07237K07236K07235K11179K00566K03635K03639K03636K03637K03831K03638K03151K03154K03148K13527K03432K03433K12585K08311K08300K03732K01689K00962K11927K12573K05592K03654K03628K18682K12574K00850K04043K04077K03666K00937K00970	191177.91999999998	157083.18	263252.27999999997	176228.88	164112.41999999998	155160.69999999998	383000.63999999996	109153.4	232157.2	122017.81	274645.44	119892.22	200850.36	215422.8	223212.48	242993.18	270190.22	308267.63
Aging	K04564K03781K04564K03781K00799K00507K01358K04043K04077K04564K03781K04565K01768K03695K01440	28321.969999999998	23194.300000000003	40311.63	27757.75	26797.8	23350.12	74153.68	23721.96	45886.100000000006	26753.94	54349.91	25154.59	44728.22	63179.71	57090.89	63414.39	70430.35	68901.79000000001
Amino acid metabolism	K00812K00813K11358K00278K01779K01424K13051K05597K01914K01953K09758K14260K00830K00259K19244K01744K01940K01755K01939K01756K00609K00610K00608K01580K00823K07250K00135K08324K00265K00266K15371K00260K00261K00262K00294K13821K01915K01955K01956K01425K00820K00764K00928K12524K00133K00003K00872K02204K02203K01733K01620K00600K00830K00018K12972K00090K00050K00865K01834K15634K15633K15635K00058K00831K01079K16066K00639K00060K00274K00281K00282K00283K00605K00382K02437K00613K00998K17103K00499K00108K00130K00303K01697K01758K01752K01754K01753K01695K01696K06001K00836K13745K00640K01738K01758K01760K14155K01697K00547K00548K00549K00789K01611K00797K01243K18284K00899K00772K12960K08963K00832K08969K00558K17398K01251K17462K07173K01505K00928K12524K00133K00003K00651K00641K01739K01740K10764K00826K01919K01920K00812K00813K11358K01011K00016K09758K05396K16843K00024K00025K16844K16845K16846K17950K01752K12339K00058K00831K01761K00826K00263K00166K00167K11381K00382K00186K00248K00249K00253K01692K01782K00632K01965K01966K11263K05606K01847K01849K01848K00020K00140K00128K18661K00822K07250K01968K01969K13766K01640K01028K01029K01907K00626K01641K01754K09011K01703K01704K00052K01652K01653K11258K00053K01687K00826K00263K00835K14260K01649K00003K00928K12524K00133K01714K00215K00674K00821K14267K01439K01778K10206K01586K05822K00841K05823K03340K05825K00290K05826K05827K05828K05829K05830K05831K01928K01929K15792K16180K16181K16182K00290K00658K00382K00252K01692K01782K00626K01582K09251K07250K00135K01843K01844K18011K18012K18013K18014K01034K01035K00824K00128K00611K09065K01940K01755K01476K01428K01429K01430K14048K01478K01425K05597K01915K15371K00260K00261K00262K00926K00812K00813K11358K14260K00619K14682K00620K00930K00145K00818K00821K01438K05826K05828K05829K05830K05831K00613K01470K01485K01473K01474K01583K01584K01585K02626K01480K10536K12251K01581K00797K01611K13747K09251K03343K00128K00657K00274K01426K09471K09472K01476K00819K00286K00318K13821K01750K00294K00931K00147K01259K00472K00812K00813K11358K00824K18123K01777K10793K10794K18384K09123K00765K02502K01523K01496K11755K01814K02501K02500K01663K01693K01089K00817K05602K04486K00013K01745K01712K01468K01479K00603K13990K17363K01590K00128K00274K07008K00812K00813K11358K00817K00832K00457K00451K01800K01555K16171K00274K00121K04072K13953K13954K00001K00484K10219K01826K02509K02510K00135K01668K00055K00450K01801K16163K16164K16165K00274K01912K02614K02609K02610K02611K02612K02613K15866K02618K01692K00074K00812K00813K11358K00817K00832K03825K00055K00457K00285K00824K03782K01426K10775K01451K10797K05710K00529K05712K01666K00453K01432K07130K01556K03392K00658K00382K00252K01692K01782K00626K01667K00274K00128K01501K01426K03781K03782K01626K03856K13853K01735K13829K11646K03785K03786K13832K00014K00891K00800K01736K01657K01658K00766K13497K01817K01609K13498K01695K01696K06001K04092K14187K04093K14170K04516K06208K06209K04517K15226K01713K04518K05359K00812K00813K11358K00817K00832	872634.6599999999	700184.1	1168779.93	803112.92	767133.73	677280.63	1545309.1199999999	404212.36	929309.31	459173.87	1112750.79	495879.19	793093.61	801649.76	910342.41	952946.51	1122016.79	1275410.86
Biosynthesis of other secondary metabolites	K10775K00588K03782K05349K05350K03186K00588K00588K01195K00812K00813K11358K00832K00274K00812K00813K11358K00817K00832K13607K00808K01582K15777K01703K00826K01060K01434K17836K00931K00147K00956K00957K00958K00928K12524K00133K01714K00215K00844K00845K01835K15778K01858K01092K00010K00973K01710K01790K00067K00844K00845K00973K01710K04517K14187K00812K00813K11358K00817K00832K06998K01657K01658K00645K00059K00208K02078K19548K01841K09459	200312.25	157779.2	269807.98	177721.91999999998	170574.19	155534.99	357966.66000000003	90750.3	201309.75	114066.52	245803.39	111064.51000000001	174360.6	163570.39	204322.75	201704.18	225468.55000000002	281318.34
Cancer: overview	K08738K00510K00355K00799K01679K04079K17398K00510K00558K01425K10380K03685K00799K00121K00873K00873K00161K00162K01425K00036K00844K00850K01834K00016K00031K00968K00901	66636.22	52604.2	80524.17	57550.399999999994	58949.52	48808.229999999996	110019.82999999999	35377.84	62169.23	38654.6	71977.39	33815.78	56560.53	76216.8	73933.39	77016.76	89674.78	95833.65
Cancer: specific types	K08738K00510K00355K00799K01679K00758K04079K08738	5480.24	4534.43	8632.75	5325.8	4807	4207.18	15975.34	2973.7200000000003	9158.5	3375.1099999999997	10534.51	4237.42	9059.96	9990.05	9176.65	11275.18	11142.119999999999	12100.98
Carbohydrate metabolism	K00844K00845K01810K06859K13810K15916K00850K16370K00918K00895K03841K02446K04041K01623K11645K01624K01803K00134K00150K00927K01834K15634K15633K15635K01689K00873K01006K01007K00163K00161K00162K00627K00382K00169K00170K00172K00171K03737K00174K00175K00016K00121K04072K13953K13954K00001K00002K13979K00128K00138K01895K01905K01785K01085K01835K15778K00886K01792K00131K01596K01610K01222K01223K02777K02779K02791K02753K01647K01681K01682K00031K00030K00164K00658K00382K00174K00175K00177K00176K01902K01903K18118K00239K00240K00241K00242K00244K00245K00246K00247K01676K01677K01678K01679K00025K00024K00116K01958K01959K01960K01610K01596K00163K00161K00162K00627K00169K00170K00172K00171K03737K01810K06859K13810K15916K00036K01057K07404K00033K01783K00615K00616K01807K01808K08093K08094K01621K01619K00852K01839K01835K15778K05774K00948K01690K01625K00131K00034K01053K06151K06152K00090K00851K00874K03738K17464K17465K17466K17467K01623K11645K01624K03841K02446K04041K00850K16370K00918K00895K01051K01728K01730K01815K00065K01812K00041K01685K16849K16850K01686K08323K08322K00040K01195K00012K00963K00002K08092K00880K03078K03079K03077K01783K01804K00853K00854K01805K01820K00848K01629K17818K09988K05351K00008K05352K01218K19355K00847K01809K15916K16011K01840K15778K16881K00971K00966K01711K02377K05305K01818K00879K01628K18333K07046K18334K01813K01820K00848K01629K00844K00850K16370K00895K03841K02446K04041K00009K00068K00882K00008K01805K17742K00045K00066K01729K01623K11645K01624K01803K00863K03332K15856K01808K17195K02768K02769K02770K02771K02793K02794K02795K02796K02798K02800K19270K02781K02783K02813K02814K02815K01785K00849K00965K01784K17716K00963K01835K15778K00844K00845K01190K12111K12112K12308K01854K07406K07407K02773K02774K02775K00917K00850K16370K01635K08302K16371K01684K00883K01819K01220K02786K02788K01193K01187K01182K02744K02745K02746K02747K02080K00012K01195K00002K01053K08679K02821K02822K03475K03476K03078K03079K03077K08092K00880K00128K01706K01630K01707K01708K18983K02810K01193K07024K01187K00692K18775K01212K05341K00689K00690K00963K01210K05349K05350K00694K01179K19668K00702K02759K02760K02761K01222K01223K00978K00975K00703K16153K00700K16149K00688K02438K01200K01176K07405K05343K05992K01182K05988K00705K16146K16147K16148K00691K01838K02777K02791K02750K06896K01232K06044K01236K13057K00697K01087K16055K01194K05342K02819K01226K01835K15778K00844K00845K01810K06859K13810K15916K00847K01183K01207K12373K15855K18675K02777K07102K00992K07106K02804K00884K00972K04042K11528K00885K01787K01788K05304K01654K01639K00983K01791K02472K13015K13016K13020K13017K13018K13019K02473K02474K00790K00075K15894K15895K15896K15897K15898K15899K15912K15910K15913K18429K18430K18431K02765K00844K03431K01443K00847K02564K00820K01209K15921K01198K10012K08678K02779K02791K00845K00886K01810K06859K13810K15916K01835K15778K00963K00012K06118K00849K00965K01784K01854K17716K08679K18677K02793K02794K02795K02796K01840K16881K00966K00971K16011K01711K15856K13010K01809K00066K05305K02377K00978K01709K12452K00523K12453K12454K15858K00975K01895K00169K00170K00172K00171K03737K00174K00175K00163K00161K00162K00627K00382K00656K04072K04021K00925K00625K13788K15024K04020K00873K01962K02160K01961K01963K11263K01512K00128K00138K01067K18118K01026K01905K00158K00101K00016K00156K03778K03777K00102K18930K07248K01759K01069K12972K00090K00027K00029K01571K01573K01958K01959K01960K00025K00024K00116K01676K01677K01678K01679K00244K00245K00246K00247K01595K01596K01610K01006K01007K01638K00626K01649K02594K01637K01895K01638K00025K00024K01647K01681K01682K00626K00023K17865K05606K08691K01965K01966K11263K01847K01849K01848K19268K01846K04835K00104K11472K11473K03781K00015K18121K12972K00090K00018K01091K01601K01602K00830K00284K01915K00600K00281K00282K00283K00605K00382K02437K01608K01816K00042K00865K00050K07248K00048K03779K03780K07246K01625K18123K00126K00123K00124K00127K01432K07130K01433K01455K01577K01895K01908K01026K01905K00925K00625K13788K15024K13923K00166K00167K11381K00382K00169K00170K00172K00171K00656K00248K19745K01692K01782K01962K02160K01961K01963K11263K01578K03416K17489K17490K00823K07250K00822K01965K01966K05606K01847K01849K01848K01903K01902K00140K01659K09788K01682K03417K00016K00626K01034K01035K18369K01734K08325K18471K00005K00048K01699K13919K13920K00086K13921K13922K00626K00074K07516K01782K01692K01715K00248K00209K01034K01035K00929K00634K04072K00100K17865K03821K05973K00023K01615K01039K01040K07246K00239K00240K00241K00242K00244K00245K00246K00247K01580K00823K07250K00135K08324K18118K18119K18120K08318K18121K18122K14534K00656K00169K00170K00172K00171K03737K00174K00175K01641K01640K01028K01029K01907K00019K01652K01653K11258K01575K00004K03366K18009K01652K01653K11258K01575K01903K01902K04835K19268K01846K08691K10218K09011K01703K01704K00052K01114K01771K01092K01858K01083K01093K00010K06606K16043K03335K03336K03337K03338K03339K00140K01803	1257313.96	971345.79	1613470.8399999999	1093330.3699999999	1086965.39	974811.16	2230119.01	725890.2	1367544.21	879764.71	1595079.64	727771.74	1133752.61	1277128.45	1406125.37	1428211.95	1640805.06	1893939.18
Cardiovascular disease	K04079K00510K00799K00355K03671K01940K04962K04962K04962K08738	22376.78	17459.99	28589.75	20958.86	18287.04	16502.39	32383.619999999995	7874.73	17853.870000000003	8595.960000000001	23009.89	10629.630000000001	17566.72	16653.59	17948	20034.34	22581.03	26940.72
Cell growth and death	K06639K06639K02313K02314K13581K01338K03531K03589K03590K03588K02563K06985K11749K03544K01358K02488K13590K02651K01768K06639K08738K01173K08738K03386K08738K01897K00657K00510K00261K01915K00688K04079K03767K08738	99008.81	85886.63	145426.12	92732.98999999999	90816.16	75438.18	229267.9	65025.69	142230.48	75118.59999999999	165705.51	73937.44	117051.07	116786.5	130796.64	132231.01	139018.25	180156.44
Cell motility	K03406K03776K10108K10439K10540K12368K03407K03408K03413K03410K03414K03409K03412K13924K03415K03411K00575K02410K02416K02417K02556K02557K02408K02409K02410K02411K02412K02413K02414K02415K02416K02417K02418K02419K02420K02421K02400K02401K13820K02386K02387K02388K02389K02390K02391K02392K02393K02394K02395K02396K02397K09860K02406K02407K02422K02423K02556K02557K02398K02424K03086K10941K02403K02402K03092K02405	99384.03	54060.89	190073.65	67213.81	54529.91	127774.81	316394.25	30750.39	181315.74	42265.59	200634.39	70974.18	129160.37	21509.89	42500.93	31567.690000000002	42530.93	66214.09999999999
