Samples	Salinity	Temperature	TDS	TP	Polynucleobacter	Limnohabitans	OM43 clade	Litorivicinus	Saccharedens	NS3a marine group	Roseicyclus	Sulfurimonas	Arcobacter	Lentibacter
E1	10.1	22.3	9.51	0.273	0	0	0	0.013071895	0.006535948	0.009803922	0.006535948	0	0	0
E2	10.8	26.8	11.7	0.229	0	0.004761905	0	0.128571429	0.047619048	0.033333333	0	0.001587302	0	0
E3	17.3	24.4	17.9	0.188	0	0	0.022222222	0.105050505	0.028282828	0.088888889	0	0.012121212	0.004040404	0
E4	11.1	24.3	12.4	0.109	0	0	0.010638298	0.006382979	0.00106383	0.00212766	0	0.006382979	0.006382979	0
E5	13.1	23.1	14.1	0.095	0	0	0.057553957	0.136690647	0.007194245	0.021582734	0	0.007194245	0.014388489	0
E6	27.1	21.3	27.2	0.096	0	0	0	0.17976032	0.079893475	0.005326232	0.003994674	0.005326232	0.003994674	0
E7	6.3	27.5	6.29	0.371	0.006802721	0	0	0	0	0	0	0.006802721	0.020408163	0
N1	7.4	23.7	6.8	0.179	0.011627907	0	0.075581395	0.069767442	0	0	0	0.058139535	0.093023256	0
N2	2.1	23.7	2.34	0.121	0.121387283	0.040462428	0	0	0.01734104	0	0	0	0	0
O1	20.4	29.7	21.1	0.024	0	0	0	0.007861635	0.009433962	0.004716981	0.075471698	0.059748428	0.012578616	0.047169811
O2	21	28.4	21.6	0.131	0	0	0	0.004192872	0.006289308	0	0.008385744	0.052410901	0.203354298	0.073375262
S1	3.1	22.1	3.08	0.408	0.028469751	0.014234875	0	0	0.010676157	0	0	0.003558719	0	0
