Class	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	All
Gammaproteobacteria	8.63	49.6	28.1	2.88	47.5	42.4	29.5	28.1	26.6	18	14.4	15.8	26.0
Alphaproteobacteria	40.3	7.91	15.1	6.47	14.4	7.19	18	8.63	16.5	46.8	23	18.7	20.9
Cyanobacteriia	25.9	5.76	6.47	83.5	2.16	15.8	11.5	7.91	41.7	0.719	1.44	36	17.1
Bacteroidia	3.6	23	33.1	2.88	16.5	24.5	10.8	15.8	2.88	7.91	9.35	7.19	13.1
Campylobacteria	0.719	1.44	1.44	0.719	2.88	0.719	4.32	12.9	0.719	7.91	30.2	2.16	4.4
Actinobacteria	2.88	2.16	7.19	0.719	3.6	2.16	2.16	0.719	1.44	0.719	0.719	4.32	3.2
Clostridia	0	2.16	0	0.719	1.44	0	2.16	0.719	0	7.91	7.91	4.32	2.8
Unassigned	0	0	0.719	0	1.44	3.6	0	2.16	3.6	0	0.719	1.44	2.0
Oligoflexia	15.1	1.44	0	0	0	0	2.88	2.16	1.44	0	0	0	1.2
Bacilli	0	1.44	2.88	0.719	2.88	2.88	0.719	4.32	0.719	0	1.44	0	1.1
Verrucomicrobiia	0	0.719	0	0.719	2.16	0	2.16	4.32	0.719	0.719	0	0	0.9
Gracilibacteria	0.719	0	0	0	0	0	0	0	0	1.44	0.719	0.719	0.8
Desulfobacteria	0.719	1.44	1.44	0	0.719	0	0.719	0	0	0.719	0	0.719	0.6
Planctomycetes	0.719	0.719	0	0	0.719	0	4.32	0	0.719	0	0	0	0.5
Kiritimatiellia	0	0	0	0	0	0	0	0	0	1.44	1.44	0	0.4
Kapabacteria	0	0	0	0	0	0	0	3.6	0	0.719	1.44	0	0.4
Incertae Sedis	0	0	0	0	0.719	0	2.16	0	0	0.719	0	2.16	0.4
Acidimicrobiia	0.719	0.719	0	0	0	0	1.44	0.719	1.44	0	0	0	0.3
Microgenomatia	0	0	0	0	0	0	2.16	0	0	0	0.719	0.719	0.3
Dojkabacteria	0	0	0	0	0	0	0	0	0	0.719	0.719	0	0.3
Phycisphaerae	0	0	0	0	0	0	0.719	0.719	0	0	0	0.719	0.3
Vampirivibrionia	0	0	0	0	0	0	0	2.16	0	0.719	0.719	0	0.2
Bacteriovoracia	0	0	0	0	0.719	0	0	0.719	0	0	0	0	0.2
Spirochaetia	0	0	0	0	0	0	0	0	0	0	2.16	0	0.2
Desulfuromonadia	0	0	0	0	0	0	0.719	0.719	0	0	0	0.719	0.2
Balneolia	0	0.719	0	0	0	0.719	0	1.44	0	0	0	0	0.2
Anaerolineae	0	0.719	0	0	0	0	0	0	0	0	0	0.719	0.1
Desulfobulbia	0	0	0	0	0	0	0	0	0	0.719	0	0.719	0.1
Fermentibacteria	0	0	0.719	0	0.719	0	0	0	0	0	0	0	0.1
Lentisphaeria	0	0	0	0	0.719	0	1.44	0	0	0	0	0	0.1
Cloacimonadia	0	0	0	0	0	0	0	0	0	0	0.719	0	0.1
Sericytochromatia	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
Fusobacteriia	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Desulfovibrionia	0	0	0	0	0	0	0	0	0	0.719	0	0	0.1
Polyangiia	0	0	0	0	0.719	0	0	0	0	0	0	0	0.1
Leptospirae	0	0	0	0	0	0	0	0	0	0	0	0.719	0.1
OM190	0	0	0	0	0	0	0	2.16	0	0	0	0	0.1
Parcubacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.1
Subgroup 21	0	0	0.719	0	0	0	0	0	0	0	0	0	0.1
WWE3	0	0	0	0	0	0	0	0	0	0	0	0	0.1
