Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
feces1	0.0936	0.0097	345.2	0.977	0.783	60.2	97.0	10000.0	344.0	0.142	0.0234	4.58	6.60	1.99
feces2	0.0624	0.0131	421.5	0.984	0.807	86.8	131.0	10000.0	420.0	0.204	0.0156	4.88	7.03	2.12
feces3	0.0777	0.00922	336.5	0.979	0.778	61.8	92.2	10000.0	335.0	0.229	0.0214	4.52	6.53	1.96
feces4	0.0589	0.00805	261.8	0.978	0.789	57.3	80.5	10000.0	261.0	0.156	0.0218	4.39	6.33	1.91
feces5	0.106	0.00646	303.1	0.965	0.730	39.0	64.6	10000.0	302.0	0.182	0.0353	4.17	6.01	1.81
feces6	0.154	0.00643	302.8	0.959	0.729	36.4	64.3	10000.0	302.0	0.152	0.0406	4.16	6.01	1.81
plaque1	0.0386	0.0225	556.6	0.991	0.857	155.7	224.6	10000.0	555.0	0.165	0.00863	5.41	7.81	2.35
plaque2	0.0716	0.0185	462.5	0.987	0.851	117.4	184.6	10000.0	461.0	0.143	0.0129	5.22	7.53	2.27
plaque3	0.0993	0.00816	317.0	0.974	0.765	52.8	81.6	10000.0	315.0	0.203	0.0256	4.40	6.35	1.91
plaque4	0.0617	0.0102	320.0	0.983	0.804	72.6	102.4	10000.0	316.0	0.215	0.0175	4.63	6.68	2.01
plaque5	0.0756	0.0074	250.2	0.976	0.782	52.2	74.0	10000.0	246.0	0.211	0.0245	4.30	6.21	1.87
plaque6	0.0592	0.014	400.3	0.985	0.825	91.5	139.9	10000.0	399.0	0.165	0.0153	4.94	7.13	2.15
saliva1	0.0429	0.017	468.7	0.989	0.835	117.8	170.2	10000.0	468.0	0.130	0.0111	5.14	7.41	2.23
saliva2	0.0569	0.0129	357.7	0.984	0.827	86.1	128.8	10000.0	357.0	0.112	0.0158	4.86	7.01	2.11
saliva3	0.0387	0.0174	411.8	0.990	0.857	130.0	173.5	10000.0	411.0	0.131	0.00958	5.16	7.44	2.24
saliva4	0.0487	0.0209	465.1	0.991	0.870	146.8	208.6	10000.0	464.0	0.116	0.00931	5.34	7.70	2.32
saliva5	0.0898	0.0112	403.5	0.978	0.788	67.9	112.2	10000.0	400.0	0.232	0.0217	4.72	6.81	2.05
saliva6	0.0502	0.0182	519.1	0.988	0.833	116.7	181.9	10000.0	518.0	0.146	0.012	5.20	7.51	2.26
