Family	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3	All
Enterobacteriaceae	20.9	21.1	21.9	61.7	56.3	56.3	34.2	31.4	34.9	62.2
Yersiniaceae	21.7	22.2	22.3	0.273	0.355	0.423	0	0	0	10.9
Alcaligenaceae	28.6	26.9	26.7	2.52	2.28	3.18	0	0	0	9.4
Erwiniaceae	24.3	25.6	23.9	0.736	0.818	0.968	0	0	0	3.3
Lactobacillaceae	0	0	0	0	0	0	9.37	9.37	7.51	3.3
Bacillaceae	0	0	0.0273	0	0	0	16.7	17.9	19	2.4
Pseudomonadaceae	0.191	0.218	0.273	24.1	27	25.6	5.03	5.05	3.23	2.1
Unassigned	0.0955	0.245	0.273	0.382	0.205	0.218	0.327	0.191	0.286	1.8
Staphylococcaceae	0	0	0.0273	0	0	0	18.6	18.9	19	1.2
Streptomycetaceae	2.21	2.41	1.9	0.218	0.532	0.709	0	0	0	1.2
Listeriaceae	0	0	0	0	0	0	9.67	10.5	9.83	0.9
Rhizobiaceae	1.84	1.1	2.39	5.39	6.64	7.3	0	0	0	0.3
Enterococcaceae	0	0	0.0136	0	0	0	6.08	6.63	6.15	0.3
Bradyrhizobiaceae	0.0682	0.0682	0.0273	0.559	0.927	0.805	0	0	0	0.3
Phyllobacteriaceae	0.136	0.136	0.232	4.09	4.92	4.49	0	0	0	0.3
