bray_curtis	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
HY1_1	0	0.0597	0.0709	0.922	0.921	0.906	1.000	1.000	1.000
HY1_2	0.0597	0	0.0713	0.929	0.928	0.913	1.000	1.000	0.999
HY1_3	0.0709	0.0713	0	0.915	0.914	0.899	0.999	0.999	0.998
HY2_1	0.922	0.929	0.915	0	0.0905	0.0925	0.996	0.996	0.995
HY2_2	0.921	0.928	0.914	0.0905	0	0.0678	0.997	0.997	0.996
HY2_3	0.906	0.913	0.899	0.0925	0.0678	0	0.997	0.996	0.995
HY3_1	1.000	1.000	0.999	0.996	0.997	0.997	0	0.0619	0.0858
HY3_2	1.000	1.000	0.999	0.996	0.997	0.996	0.0619	0	0.101
HY3_3	1.000	0.999	0.998	0.995	0.996	0.995	0.0858	0.101	0
