manhatten	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
HY1_1	0	18.0	26.0	130.0	131.0	133.0	240.0	243.0	244.0
HY1_2	18.0	0	24.0	128.0	129.0	131.0	242.0	245.0	244.0
HY1_3	26.0	24.0	0	132.0	133.0	135.0	236.0	237.0	236.0
HY2_1	130.0	128.0	132.0	0	33.0	31.0	286.0	285.0	280.0
HY2_2	131.0	129.0	133.0	33.0	0	26.0	285.0	284.0	279.0
HY2_3	133.0	131.0	135.0	31.0	26.0	0	281.0	280.0	275.0
HY3_1	240.0	242.0	236.0	286.0	285.0	281.0	0	7.00	12.0
HY3_2	243.0	245.0	237.0	285.0	284.0	280.0	7.00	0	5.00
HY3_3	244.0	244.0	236.0	280.0	279.0	275.0	12.0	5.00	0
