bray_curtis_binary	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
HY1_1	0	0.0687	0.097	0.399	0.411	0.420	0.992	0.984	0.976
HY1_2	0.0687	0	0.0889	0.390	0.402	0.411	0.992	0.984	0.968
HY1_3	0.097	0.0889	0	0.395	0.407	0.415	0.944	0.929	0.915
HY2_1	0.399	0.390	0.395	0	0.0857	0.0809	0.929	0.911	0.886
HY2_2	0.411	0.402	0.407	0.0857	0	0.0691	0.947	0.928	0.903
HY2_3	0.420	0.411	0.415	0.0809	0.0691	0	0.940	0.921	0.896
HY3_1	0.992	0.992	0.944	0.929	0.947	0.940	0	0.0306	0.0517
HY3_2	0.984	0.984	0.929	0.911	0.928	0.921	0.0306	0	0.0211
HY3_3	0.976	0.968	0.915	0.886	0.903	0.896	0.0517	0.0211	0
