jaccard_binary	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
HY1_1	0	0.129	0.177	0.570	0.582	0.591	0.996	0.992	0.988
HY1_2	0.129	0	0.163	0.561	0.573	0.582	0.996	0.992	0.984
HY1_3	0.177	0.163	0	0.567	0.578	0.587	0.971	0.963	0.955
HY2_1	0.570	0.561	0.567	0	0.158	0.150	0.963	0.953	0.940
HY2_2	0.582	0.573	0.578	0.158	0	0.129	0.973	0.963	0.949
HY2_3	0.591	0.582	0.587	0.150	0.129	0	0.969	0.959	0.945
HY3_1	0.996	0.996	0.971	0.963	0.973	0.969	0	0.0593	0.0984
HY3_2	0.992	0.992	0.963	0.953	0.963	0.959	0.0593	0	0.0413
HY3_3	0.988	0.984	0.955	0.940	0.949	0.945	0.0984	0.0413	0
