unifrac	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
HY1_1	0	0.0254	0.0225	0.345	0.396	0.383	0.671	0.699	0.665
HY1_2	0.0254	0	0.0151	0.352	0.403	0.390	0.671	0.699	0.665
HY1_3	0.0225	0.0151	0	0.338	0.389	0.376	0.670	0.697	0.663
HY2_1	0.345	0.352	0.338	0	0.0569	0.0522	0.615	0.642	0.626
HY2_2	0.396	0.403	0.389	0.0569	0	0.0148	0.615	0.643	0.626
HY2_3	0.383	0.390	0.376	0.0522	0.0148	0	0.615	0.643	0.626
HY3_1	0.671	0.671	0.670	0.615	0.615	0.615	0	0.0293	0.0371
HY3_2	0.699	0.699	0.697	0.642	0.643	0.643	0.0293	0	0.0385
HY3_3	0.665	0.665	0.663	0.626	0.626	0.626	0.0371	0.0385	0
