unifrac_binary	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
HY1_1	0	0.00663	0.038	0.139	0.132	0.145	0.355	0.355	0.347
HY1_2	0.00663	0	0.0368	0.133	0.126	0.139	0.349	0.349	0.341
HY1_3	0.038	0.0368	0	0.154	0.147	0.160	0.333	0.334	0.325
HY2_1	0.139	0.133	0.154	0	0.00863	0.0106	0.271	0.260	0.254
HY2_2	0.132	0.126	0.147	0.00863	0	0.015	0.271	0.261	0.255
HY2_3	0.145	0.139	0.160	0.0106	0.015	0	0.271	0.261	0.254
HY3_1	0.355	0.349	0.333	0.271	0.271	0.271	0	0.0115	0.0176
HY3_2	0.355	0.349	0.334	0.260	0.261	0.261	0.0115	0	0.00888
HY3_3	0.347	0.341	0.325	0.254	0.255	0.254	0.0176	0.00888	0
