OTUID	All	East	North	Outside	South
OTU_19	0.054466	0.09337068	0.00000000	0.00000000	0.00000000
OTU_1904	0.022222	0.03809524	0.00000000	0.00000000	0.00000000
OTU_1991	0.022222	0.03809524	0.00000000	0.00000000	0.00000000
OTU_2061	0.022222	0.03809524	0.00000000	0.00000000	0.00000000
OTU_2072	0.022222	0.03809524	0.00000000	0.00000000	0.00000000
OTU_2132	0.022222	0.03809524	0.00000000	0.00000000	0.00000000
OTU_2164	0.022222	0.03809524	0.00000000	0.00000000	0.00000000
OTU_22	0.044102	0.07560379	0.00000000	0.00000000	0.00000000
OTU_2219	0.022222	0.03809524	0.00000000	0.00000000	0.00000000
OTU_2316	0.022222	0.03809524	0.00000000	0.00000000	0.00000000
OTU_2440	0.028581	0.01904762	0.00000000	0.10482180	0.00000000
OTU_2446	0.024214	0.01904762	0.00000000	0.07861635	0.00000000
OTU_25	0.075403	0.04668534	0.28901734	0.00000000	0.00000000
OTU_2516	0.02436	0.04175941	0.00000000	0.00000000	0.00000000
OTU_2536	0.113379	0.1943635	0.0000000	0.0000000	0.0000000
OTU_2571	0.105139	0.09718173	0.29069767	0.00000000	0.00000000
OTU_2578	0.113379	0.1943635	0.0000000	0.0000000	0.0000000
OTU_2602	0.105139	0.09718173	0.29069767	0.00000000	0.00000000
OTU_2695	0.078	0.0000000	0.2906977	0.0000000	0.3546099
OTU_2702	0.096899	0.0000000	0.5813953	0.0000000	0.0000000
OTU_2734	0.096899	0.0000000	0.5813953	0.0000000	0.0000000
OTU_2738	0.096899	0.0000000	0.5813953	0.0000000	0.0000000
OTU_2777	0.096899	0.0000000	0.5813953	0.0000000	0.0000000
OTU_282	0.054466	0.09337068	0.00000000	0.00000000	0.00000000
OTU_2844	0.096339	0.0000000	0.5780347	0.0000000	0.0000000
OTU_2856	0.096339	0.0000000	0.5780347	0.0000000	0.0000000
OTU_2925	0.096339	0.0000000	0.5780347	0.0000000	0.0000000
OTU_3016	0.026205	0.0000000	0.0000000	0.1572327	0.0000000
OTU_3122	0.030573	0.0000000	0.0000000	0.1834382	0.0000000
OTU_3124	0.026205	0.0000000	0.0000000	0.1572327	0.0000000
OTU_3151	0.042654	0.00000000	0.00000000	0.07861635	0.35460993
OTU_3170	0.030573	0.0000000	0.0000000	0.1834382	0.0000000
OTU_3255	0.026205	0.0000000	0.0000000	0.1572327	0.0000000
OTU_3299	0.026205	0.0000000	0.0000000	0.1572327	0.0000000
OTU_3381	0.026205	0.0000000	0.0000000	0.1572327	0.0000000
OTU_3536	0.026205	0.0000000	0.0000000	0.1572327	0.0000000
OTU_3638	0.026205	0.0000000	0.0000000	0.1572327	0.0000000
OTU_3663	0.030573	0.0000000	0.0000000	0.1834382	0.0000000
OTU_3667	0.026205	0.0000000	0.0000000	0.1572327	0.0000000
OTU_368	0.026497	0.04542357	0.00000000	0.00000000	0.00000000
OTU_376	0.026497	0.04542357	0.00000000	0.00000000	0.00000000
OTU_3818	0.034941	0.0000000	0.0000000	0.2096436	0.0000000
OTU_4160	0.059102	0.0000000	0.0000000	0.0000000	0.7092199
OTU_4166	0.059102	0.0000000	0.0000000	0.0000000	0.7092199
OTU_4202	0.059102	0.0000000	0.0000000	0.0000000	0.7092199
OTU_432	0.02436	0.04175941	0.00000000	0.00000000	0.00000000
OTU_4349	0.059102	0.0000000	0.0000000	0.0000000	0.7092199
OTU_4379	0.059102	0.0000000	0.0000000	0.0000000	0.7092199
OTU_446	0.026497	0.04542357	0.00000000	0.00000000	0.00000000
OTU_45	0.054466	0.09337068	0.00000000	0.00000000	0.00000000
OTU_468	0.026497	0.04542357	0.00000000	0.00000000	0.00000000
OTU_491	0.026497	0.04542357	0.00000000	0.00000000	0.00000000
OTU_519	0.030118	0.05163024	0.00000000	0.00000000	0.00000000
OTU_525	0.026497	0.04542357	0.00000000	0.00000000	0.00000000
OTU_552	0.026497	0.04542357	0.00000000	0.00000000	0.00000000
OTU_562	0.026497	0.04542357	0.00000000	0.00000000	0.00000000
OTU_576	0.022114	0.03790936	0.00000000	0.00000000	0.00000000
OTU_598	0.026497	0.04542357	0.00000000	0.00000000	0.00000000
OTU_831	0.02436	0.04175941	0.00000000	0.00000000	0.00000000
OTU_956	0.025734	0.04411602	0.00000000	0.00000000	0.00000000
OTU_96	0.054466	0.09337068	0.00000000	0.00000000	0.00000000
OTU_976	0.033738	0.0578369	0.0000000	0.0000000	0.0000000
OTU_1000	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1004	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1005	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1006	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1007	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1009	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_101	0.027233	0.04668534	0.00000000	0.00000000	0.00000000
OTU_1010	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1011	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1012	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1013	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1014	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
OTU_1016	0.016869	0.02891845	0.00000000	0.00000000	0.00000000
