#OTUID	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_2	HY3_3
ASV_36	0	0	1	0	0	0	1347	1020	1632
ASV_3	0	4	4	1170	1328	1299	0	0	0
ASV_1	0	0	0	2	5	5	1290	1057	1374
ASV_8	731	765	870	7	15	22	0	0	0
ASV_10	702	730	863	26	32	43	0	0	0
ASV_4	149	93	242	414	668	729	0	0	0
ASV_6	5	3	4	561	857	806	0	0	1
ASV_12	1	5	15	521	785	714	0	0	0
ASV_13	0	0	0	0	0	0	564	477	809
ASV_18	558	609	652	10	9	7	0	0	0
ASV_9	6	2	8	455	639	584	0	0	0
ASV_7	0	0	0	0	0	0	559	460	672
ASV_14	12	10	24	321	476	468	0	0	0
ASV_15	0	0	1	382	457	464	0	0	0
ASV_17	405	381	428	21	27	32	0	0	0
ASV_11	0	0	0	0	0	1	498	370	390
ASV_133	353	305	369	40	47	53	0	0	0
ASV_20	1	0	0	321	362	354	0	0	0
ASV_16	301	302	347	16	24	20	0	0	0
ASV_19	286	275	321	12	14	25	0	0	0
ASV_24	0	0	0	0	0	0	310	219	335
ASV_25	0	0	0	0	0	0	267	198	383
ASV_50	0	0	1	0	0	0	255	203	361
ASV_22	260	231	306	1	6	4	0	0	0
ASV_23	0	0	0	0	0	0	256	202	339
ASV_68	240	203	288	9	9	13	0	0	0
ASV_21	2	2	3	194	283	274	0	0	0
ASV_48	0	0	0	0	0	0	259	163	330
ASV_29	0	0	1	0	0	0	232	183	334
ASV_26	212	243	273	4	6	3	0	0	0
ASV_54	0	0	0	218	267	248	0	0	0
ASV_61	209	195	292	8	7	18	0	0	0
ASV_32	185	222	239	6	9	11	0	0	0
ASV_243	188	166	230	17	24	34	0	0	0
ASV_28	0	0	1	0	0	1	198	148	307
ASV_34	203	194	237	1	6	3	0	0	0
ASV_31	170	186	238	9	14	13	0	0	0
ASV_49	171	186	213	9	15	12	0	0	0
ASV_39	0	0	0	0	0	0	216	156	211
ASV_44	1	0	1	154	199	195	0	1	7
ASV_187	163	144	171	24	15	33	0	0	0
ASV_30	126	162	139	14	39	65	0	0	0
ASV_43	170	151	198	0	1	2	0	0	0
ASV_62	0	0	0	160	191	167	0	0	0
ASV_40	0	4	2	147	183	173	0	0	0
ASV_52	0	0	0	0	0	0	189	152	163
ASV_46	146	154	192	1	2	5	0	0	0
ASV_33	0	0	1	0	0	0	147	128	214
ASV_283	1	2	2	139	151	189	0	0	0
ASV_81	129	130	164	1	3	9	0	0	0
ASV_237	106	111	165	10	13	24	0	0	0
ASV_51	0	0	0	0	0	0	116	87	210
ASV_57	0	0	0	0	0	0	155	98	148
ASV_27	0	0	0	0	0	0	124	110	165
ASV_139	111	116	132	12	8	14	0	0	0
ASV_47	0	1	0	118	141	125	1	0	1
ASV_37	0	0	0	0	0	0	134	87	164
ASV_71	0	0	0	0	0	0	118	83	162
ASV_63	100	118	138	0	1	2	0	0	0
ASV_60	0	0	1	97	123	134	0	0	0
ASV_55	0	0	0	0	0	0	136	80	124
ASV_58	112	115	111	1	1	0	0	0	0
ASV_252	98	90	147	2	0	1	0	0	0
ASV_42	0	0	0	0	0	0	104	81	151
ASV_64	0	0	0	0	0	0	115	88	121
ASV_186	89	84	111	12	11	16	0	0	0
ASV_70	1	0	0	95	114	109	0	0	0
ASV_162	0	0	0	97	90	127	0	0	0
ASV_227	81	68	104	22	20	19	0	0	0
ASV_158	0	0	1	82	103	124	0	0	0
ASV_104	0	0	0	0	0	0	122	71	110
ASV_59	2	2	4	89	90	109	0	1	0
ASV_107	86	70	93	7	13	14	0	0	0
ASV_66	69	76	118	1	1	1	0	0	0
ASV_69	77	59	99	11	9	11	0	0	0
ASV_88	73	57	83	10	6	14	0	0	0
ASV_77	66	69	88	3	7	5	0	0	0
ASV_242	63	68	99	2	0	5	0	0	0
ASV_203	0	0	1	1	1	8	64	21	136
ASV_248	51	48	75	18	19	18	0	0	0
ASV_246	59	60	91	5	7	5	0	0	0
ASV_45	5	6	2	42	87	76	0	0	0
ASV_85	49	49	93	9	5	13	0	0	0
ASV_72	1	0	1	60	68	82	0	0	0
ASV_73	0	0	0	64	78	66	0	0	0
ASV_304	0	0	0	0	0	0	76	47	76
ASV_151	73	51	61	1	3	3	0	0	0
ASV_124	0	0	0	52	64	74	0	0	0
ASV_215	42	53	66	3	5	11	0	0	0
ASV_102	0	0	0	44	71	59	0	0	0
ASV_153	58	42	59	7	4	4	0	0	0
ASV_118	0	0	0	44	73	53	0	0	0
ASV_105	0	0	0	0	0	0	53	37	74
ASV_201	0	0	0	0	0	0	65	42	54
ASV_319	0	0	0	0	0	0	47	26	85
ASV_146	0	0	0	0	0	0	54	31	72
ASV_86	0	1	2	39	45	63	0	2	5
ASV_202	0	0	0	0	0	0	45	16	87
ASV_89	0	1	0	41	38	53	2	4	9
ASV_150	0	0	0	0	1	0	46	34	66
