#OTUID	HY1_1	HY1_2	HY1_3	HY2_1	HY2_2	HY2_3	HY3_1	HY3_3
ASV_36	0	0	1	0	0	0	1083	1033
ASV_3	0	4	3	1103	974	965	0	0
ASV_1	0	0	0	2	3	2	1033	865
ASV_8	653	670	602	7	7	17	0	0
ASV_10	624	663	623	23	25	27	0	0
ASV_4	135	80	167	389	483	542	0	0
ASV_6	4	3	3	524	627	590	0	1
ASV_12	1	5	11	489	554	532	0	0
ASV_13	0	0	0	0	0	0	447	521
ASV_18	504	539	480	9	7	7	0	0
ASV_9	4	2	7	436	468	428	0	0
ASV_7	0	0	0	0	0	0	421	442
ASV_14	11	10	15	296	351	336	0	0
ASV_15	0	0	1	364	326	329	0	0
ASV_17	364	341	327	21	22	25	0	0
ASV_11	0	0	0	0	0	1	391	258
ASV_133	312	271	254	36	41	38	0	0
ASV_20	1	0	0	305	265	245	0	0
ASV_16	263	271	248	15	19	13	0	0
ASV_19	256	245	223	11	12	22	0	0
ASV_24	0	0	0	0	0	0	239	205
ASV_25	0	0	0	0	0	0	218	234
ASV_50	0	0	1	0	0	0	206	234
ASV_22	237	215	219	1	6	2	0	0
ASV_23	0	0	0	0	0	0	202	210
ASV_68	215	185	210	7	7	9	0	0
ASV_21	2	2	3	186	197	202	0	0
ASV_48	0	0	0	0	0	0	201	223
ASV_29	0	0	1	0	0	0	188	218
ASV_26	191	224	190	4	4	3	0	0
ASV_54	0	0	0	201	207	167	0	0
ASV_61	184	177	204	8	6	10	0	0
ASV_32	164	204	167	6	9	7	0	0
ASV_243	165	152	162	16	14	25	0	0
ASV_28	0	0	1	0	0	0	151	182
ASV_34	183	172	170	1	4	2	0	0
ASV_31	148	164	182	9	9	9	0	0
ASV_49	157	178	154	9	9	9	0	0
ASV_39	0	0	0	0	0	0	173	132
ASV_44	0	0	1	144	140	142	0	2
ASV_187	143	124	125	21	11	17	0	0
ASV_30	106	144	94	12	26	50	0	0
ASV_43	147	135	137	0	1	1	0	0
ASV_62	0	0	0	146	142	122	0	0
ASV_40	0	4	1	134	127	118	0	0
ASV_52	0	0	0	0	0	0	140	94
ASV_46	131	143	139	0	2	3	0	0
ASV_33	0	0	1	0	0	0	115	138
ASV_283	1	2	2	129	105	121	0	0
ASV_81	113	117	126	1	2	7	0	0
ASV_237	90	101	109	10	9	16	0	0
ASV_51	0	0	0	0	0	0	90	131
ASV_57	0	0	0	0	0	0	115	94
ASV_27	0	0	0	0	0	0	91	111
ASV_139	97	98	97	12	5	10	0	0
ASV_47	0	1	0	107	107	86	1	0
ASV_37	0	0	0	0	0	0	112	109
ASV_71	0	0	0	0	0	0	91	111
ASV_63	94	101	91	0	1	2	0	0
ASV_60	0	0	1	90	96	104	0	0
ASV_55	0	0	0	0	0	0	103	79
ASV_58	100	108	73	1	1	0	0	0
ASV_252	90	79	110	2	0	0	0	0
ASV_42	0	0	0	0	0	0	90	98
ASV_64	0	0	0	0	0	0	85	73
ASV_186	72	73	81	10	8	12	0	0
ASV_70	1	0	0	88	79	73	0	0
ASV_162	0	0	0	93	67	91	0	0
ASV_227	71	56	74	20	15	16	0	0
ASV_158	0	0	1	75	83	89	0	0
ASV_104	0	0	0	0	0	0	98	71
ASV_59	2	2	3	86	69	76	0	0
ASV_107	77	61	64	7	11	10	0	0
ASV_66	56	70	79	1	1	0	0	0
ASV_69	69	49	71	11	8	7	0	0
ASV_88	61	54	62	9	4	8	0	0
ASV_77	61	62	62	2	4	3	0	0
ASV_242	53	62	70	2	0	4	0	0
ASV_203	0	0	1	1	1	2	53	81
ASV_248	42	44	50	18	11	13	0	0
ASV_246	52	52	61	5	6	4	0	0
ASV_45	4	5	2	42	59	56	0	0
ASV_85	46	46	65	9	4	12	0	0
ASV_72	1	0	0	60	51	62	0	0
ASV_73	0	0	0	63	57	40	0	0
ASV_304	0	0	0	0	0	0	58	50
ASV_151	55	45	45	1	3	2	0	0
ASV_124	0	0	0	49	49	49	0	0
ASV_215	37	44	53	3	3	9	0	0
