OTUID	All	HY1	HY2	HY3
ASV_36	4.83106	 0.003240021	 0.000000000	14.489940712
ASV_3	4.574199	 0.02927596	13.69332241	 0.00000000
ASV_1	4.588474	 0.00000000	 0.04162326	13.72379893
ASV_8	3.013447	8.8881178	0.1522219	0.0000000
ASV_10	2.988274	8.6056864	0.3591358	0.0000000
ASV_4	2.718223	1.764502	6.390166	0.000000
ASV_6	2.649389	0.045367226	7.899922627	0.002875794
ASV_12	2.419908	0.0730292	7.1866950	0.0000000
ASV_13	2.223846	0.000000	0.000000	6.671539
ASV_18	2.314434	6.84758397	0.09571875	0.00000000
ASV_9	2.016597	0.05828239	5.99150859	0.00000000
ASV_7	2.058948	0.000000	0.000000	6.176843
ASV_14	1.554011	0.1669588	4.4950740	0.0000000
ASV_15	1.561054	0.003240021	4.679923278	0.000000000
ASV_17	1.619834	4.5746052	0.2848974	0.0000000
ASV_11	1.570727	0.000000000	0.003296088	4.708883844
ASV_133	1.455144	3.8636719	0.5017615	0.0000000
ASV_20	1.248415	0.004034047	3.741210527	0.000000000
ASV_16	1.26146	3.5703840	0.2139964	0.0000000
ASV_19	1.165231	3.3155006	0.1801912	0.0000000
ASV_24	1.047111	0.000000	0.000000	3.141333
ASV_25	1.007645	0.000000	0.000000	3.022935
ASV_50	0.98141	0.003240021	0.000000000	2.940991337
ASV_22	1.006635	2.98254046	0.03736439	0.00000000
ASV_23	0.958813	0.00000	0.00000	2.87644
ASV_68	0.946848	2.7293280	0.1112157	0.0000000
ASV_21	0.899315	0.02594609	2.67199879	0.00000000
ASV_48	0.890465	0.000000	0.000000	2.671394
ASV_29	0.895575	0.003240021	0.000000000	2.683486318
ASV_26	0.925947	2.73093313	0.04690692	0.00000000
ASV_54	0.878647	0.000000	2.635941	0.000000
ASV_61	0.900461	2.5846009	0.1167831	0.0000000
ASV_32	0.839327	2.42619480	0.09178495	0.00000000
ASV_243	0.815045	2.1807145	0.2644211	0.0000000
ASV_28	0.773344	0.003240021	0.003296088	2.313496035
ASV_34	0.804062	2.3781165	0.0340683	0.0000000
ASV_31	0.781134	2.2156012	0.1277995	0.0000000
ASV_49	0.755485	2.1386347	0.1278202	0.0000000
ASV_39	0.713638	0.000000	0.000000	2.140915
ASV_44	0.664698	0.007274068	1.961819325	0.025000296
ASV_187	0.686732	1.7989648	0.2612311	0.0000000
ASV_30	0.674319	1.6194458	0.4035125	0.0000000
ASV_43	0.651048	1.943236451	0.009908925	0.000000000
ASV_62	0.622891	0.000000	1.868672	0.000000
ASV_40	0.609692	0.02279592	1.80628063	0.00000000
ASV_52	0.628864	0.000000	0.000000	1.886592
ASV_46	0.622203	1.83921610	0.02739348	0.00000000
ASV_33	0.589679	0.003240021	0.000000000	1.765797776
ASV_283	0.579106	0.01867203	1.71864573	0.00000000
ASV_81	0.541972	1.58202146	0.04389458	0.00000000
ASV_237	0.526666	1.4149780	0.1650192	0.0000000
ASV_51	0.481163	0.000000	0.000000	1.443489
ASV_57	0.486195	0.000000	0.000000	1.458586
ASV_27	0.484922	0.000000	0.000000	1.454765
ASV_139	0.490885	1.3486224	0.1240337	0.0000000
ASV_47	0.465066	0.004078969	1.384658298	0.006461180
ASV_37	0.45858	0.000000	0.000000	1.375739
ASV_71	0.431047	0.000000	0.000000	1.293142
ASV_63	0.447252	1.331845920	0.009908925	0.000000000
ASV_60	0.422664	0.003240021	1.264751264	0.000000000
ASV_55	0.411263	0.00000	0.00000	1.23379
ASV_58	0.429378	1.280537022	0.007596289	0.000000000
ASV_252	0.416861	1.23872688	0.01185517	0.00000000
ASV_42	0.400525	0.000000	0.000000	1.201574
ASV_64	0.396276	0.000000	0.000000	1.188827
ASV_186	0.400627	1.0613059	0.1405761	0.0000000
ASV_70	0.382658	0.004034047	1.143939250	0.000000000
ASV_162	0.377409	0.000000	1.132226	0.000000
ASV_227	0.388067	0.9410899	0.2231105	0.0000000
ASV_158	0.368167	0.003240021	1.101262304	0.000000000
ASV_104	0.366502	0.000000	0.000000	1.099506
ASV_59	0.357572	0.029186115	1.038660022	0.004869735
ASV_107	0.350999	0.9337778	0.1192197	0.0000000
ASV_66	0.327189	0.97067335	0.01089238	0.00000000
ASV_69	0.328409	0.8720429	0.1131826	0.0000000
ASV_88	0.301583	0.7959084	0.1088411	0.0000000
ASV_77	0.295118	0.8328178	0.0525363	0.0000000
ASV_242	0.292439	0.85227692	0.02503952	0.00000000
ASV_203	0.253347	0.003240021	0.033964989	0.722837172
ASV_248	0.281303	0.6445285	0.1993795	0.0000000
ASV_246	0.279561	0.77758881	0.06109538	0.00000000
ASV_45	0.256642	0.05112409	0.71880053	0.00000000
ASV_85	0.265603	0.69885972	0.09794874	0.00000000
ASV_72	0.253288	0.007274068	0.752590522	0.000000000
ASV_73	0.250046	0.0000000	0.7501388	0.0000000
ASV_304	0.239976	0.0000000	0.0000000	0.7199272
ASV_151	0.241424	0.70015413	0.02411805	0.00000000
ASV_124	0.22624	0.0000000	0.6787185	0.0000000
ASV_215	0.221712	0.59945671	0.06567933	0.00000000
ASV_102	0.206086	0.0000000	0.6182581	0.0000000
ASV_153	0.21762	0.59645266	0.05640813	0.00000000
ASV_118	0.201705	0.0000000	0.6051151	0.0000000
ASV_105	0.194338	0.0000000	0.0000000	0.5830144
ASV_201	0.197624	0.0000000	0.0000000	0.5928718
ASV_319	0.179856	0.0000000	0.0000000	0.5395688
ASV_146	0.183877	0.0000000	0.0000000	0.5516298
ASV_86	0.186162	0.01055901	0.52380929	0.02411844
ASV_202	0.163151	0.0000000	0.0000000	0.4894522
ASV_89	0.1776	0.004078969	0.476190244	0.052531860
ASV_150	0.174539	0.00000000	0.00331675	0.52030116
ASV_172	0.167464	0.0000000	0.0000000	0.5023931
ASV_317	0.158958	0.000000000	0.009929587	0.466943774
ASV_74	0.161541	0.0000000	0.0000000	0.4846216
ASV_87	0.163937	0.0000000	0.4918112	0.0000000
ASV_95	0.166218	0.000000	0.498654	0.000000
ASV_321	0.152036	0.000000000	0.006612837	0.449496204
ASV_117	0.159435	0.000000000	0.470558139	0.007745529
ASV_136	0.159692	0.0000000	0.4790759	0.0000000
ASV_115	0.157721	0.0000000	0.4731628	0.0000000
ASV_232	0.158186	0.42347514	0.05108315	0.00000000
ASV_316	0.141857	0.0000000	0.0000000	0.4255706
ASV_122	0.148179	0.0000000	0.4445379	0.0000000
ASV_121	0.145037	0.37366957	0.06144111	0.00000000
ASV_299	0.13142	0.0000000	0.0000000	0.3942608
ASV_171	0.134661	0.0000000	0.0000000	0.4039834
ASV_286	0.124314	0.0000000	0.0000000	0.3729433
ASV_214	0.121879	0.0000000	0.0000000	0.3656377
ASV_80	0.130723	0.007274068	0.379142307	0.005751589
ASV_101	0.128602	0.0000000	0.0000000	0.3858073
ASV_208	0.122569	0.00000000	0.01750521	0.35020260
ASV_99	0.129227	0.38436335	0.00331675	0.00000000
ASV_183	0.126941	0.32834727	0.05247432	0.00000000
ASV_302	0.120026	0.0000000	0.0000000	0.3600769
ASV_164	0.121619	0.009720062	0.352259858	0.002875794
ASV_134	0.121277	0.0000000	0.3638313	0.0000000
ASV_148	0.116339	0.0000000	0.0000000	0.3490157
ASV_269	0.117618	0.004034047	0.348819136	0.000000000
ASV_90	0.114261	0.008113016	0.334669276	0.000000000
ASV_119	0.116827	0.0000000	0.3504816	0.0000000
ASV_314	0.110134	0.00000000	0.00427954	0.32612159
ASV_82	0.122665	0.0000000	0.0000000	0.3679963
ASV_285	0.105332	0.000000000	0.003296088	0.312701339
ASV_83	0.116065	0.3207587	0.0274348	0.0000000
ASV_93	0.11381	0.0000000	0.3414295	0.0000000
ASV_120	0.116755	0.3502662	0.0000000	0.0000000
ASV_235	0.114958	0.34155788	0.00331675	0.00000000
ASV_257	0.10951	0.0000000	0.3285289	0.0000000
ASV_130	0.107494	0.01055901	0.31192445	0.00000000
ASV_98	0.107327	0.000000	0.000000	0.321982
ASV_113	0.110322	0.327669011	0.003296088	0.000000000
ASV_230	0.110016	0.323455277	0.006592175	0.000000000
ASV_195	0.103866	0.0000000	0.3115967	0.0000000
ASV_111	0.106621	0.00000000	0.02606429	0.29379880
ASV_196	0.10128	0.004034047	0.299806203	0.000000000
ASV_129	0.099894	0.0000000	0.2996822	0.0000000
ASV_91	0.103263	0.0000000	0.0000000	0.3097878
ASV_267	0.095656	0.0000000	0.2869676	0.0000000
ASV_307	0.096412	0.0000000	0.0000000	0.2892362
ASV_140	0.096518	0.26115783	0.02839759	0.00000000
ASV_276	0.090925	0.004034047	0.268742002	0.000000000
ASV_192	0.092148	0.0000000	0.2764443	0.0000000
ASV_100	0.093057	0.22772000	0.05144954	0.00000000
ASV_198	0.087794	0.003240021	0.260141599	0.000000000
ASV_206	0.082416	0.0000000	0.0000000	0.2472471
ASV_127	0.090332	0.23598677	0.03501043	0.00000000
ASV_173	0.090622	0.264289020	0.007575627	0.000000000
ASV_259	0.089528	0.0000000	0.2685849	0.0000000
ASV_106	0.088171	0.257898821	0.006612837	0.000000000
