Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10	27	29	19	16	17	21	40	25	40	18	35	36	13	14	69	31	6	23
Bacteria|Acidobacteria|Acidobacteria_Gp17	1	5	3	0	3	5	20	6	3	2	14	11	9	9	11	2	3	5
Bacteria|Acidobacteria|Acidobacteria_Gp3	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Acidobacteria_Gp6	1	5	0	1	0	0	12	2	5	3	10	11	3	1	6	7	0	2
Bacteria|Acidobacteria|Vicinamibacteria	1	2	1	0	1	2	14	7	5	3	12	17	12	4	9	3	4	4
Bacteria|Actinobacteria|Acidimicrobiia	45	89	81	63	59	61	137	109	83	90	107	111	89	94	111	67	85	78
Bacteria|Actinobacteria|Actinobacteria	2363	3871	3173	2979	1786	2259	2360	2934	3084	2601	2855	2364	3330	2667	2914	3323	3483	3045
Bacteria|Actinobacteria|Rubrobacteria	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia	144	213	121	168	114	193	247	247	153	174	204	258	186	128	169	133	188	162
Bacteria|Actinobacteria|Unassigned	18	22	9	9	7	17	23	19	20	27	9	23	19	9	30	20	17	25
Bacteria|Armatimonadetes|Unassigned	0	1	2	1	0	3	6	5	4	1	2	3	3	1	5	3	2	1
Bacteria|Bacteroidetes|Chitinophagia	18	9	8	10	6	9	61	36	57	48	35	28	44	64	41	45	31	21
Bacteria|Bacteroidetes|Cytophagia	113	77	33	38	51	19	165	95	149	249	118	86	138	132	164	170	79	107
Bacteria|Bacteroidetes|Flavobacteriia	177	215	923	314	581	226	169	762	743	542	240	224	455	534	327	229	453	526
Bacteria|Bacteroidetes|Sphingobacteriia	14	7	8	14	22	3	6	7	13	11	11	12	13	31	10	8	17	18
Bacteria|Bacteroidetes|Unassigned	2	0	1	2	0	1	3	2	4	3	1	1	4	2	1	1	0	2
Bacteria|Campilobacterota|Campylobacteria	7	1	1	1	4	3	11	13	7	10	4	2	2	8	10	5	8	5
Bacteria|Candidatus_Saccharibacteria|Unassigned	0	0	2	2	17	1	0	10	0	2	2	0	0	0	4	1	0	6
Bacteria|Chlamydiae|Chlamydiia	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi|Chloroflexia	199	294	82	242	227	128	169	335	192	203	248	214	542	137	243	232	217	242
Bacteria|Chloroflexi|Ktedonobacteria	0	0	1	0	5	4	2	3	1	1	11	1	1	5	5	0	18	0
Bacteria|Chloroflexi|Thermomicrobia	4	5	0	3	1	5	5	2	1	7	1	2	7	2	3	5	3	5
Bacteria|Chloroflexi|Unassigned	6	9	2	3	2	3	5	13	4	5	7	2	5	4	3	5	6	8
Bacteria|Firmicutes|Bacilli	263	219	266	508	113	247	618	339	374	403	260	561	134	130	178	174	118	189
Bacteria|Firmicutes|Clostridia	0	52	4	2	2	1	6	1	10	1	2	8	0	2	0	1	1	22
Bacteria|Firmicutes|Unassigned	1	1	1	3	0	2	1	3	1	3	2	2	0	0	1	0	3	1
Bacteria|Gemmatimonadetes|Gemmatimonadetes	16	21	13	14	7	13	22	21	17	14	17	16	9	15	13	17	12	20
Bacteria|Ignavibacteriae|Ignavibacteria	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Nitrospirae|Nitrospira	5	6	3	7	3	6	10	6	9	7	11	15	9	9	9	38	13	19
Bacteria|Planctomycetes|Phycisphaerae	4	5	0	2	0	1	4	1	0	0	2	5	2	1	1	4	1	3
Bacteria|Planctomycetes|Planctomycetacia	3	21	13	3	1	6	53	66	30	16	26	40	22	19	25	16	11	9
Bacteria|Proteobacteria|Alphaproteobacteria	1843	1924	2770	2357	2787	2410	2002	1676	1293	1572	1962	1855	1464	1705	1649	1840	1810	1816
Bacteria|Proteobacteria|Betaproteobacteria	3865	2778	3870	4230	5793	4419	2445	2054	3023	3101	3029	2463	3444	4449	3143	3374	3615	3251
Bacteria|Proteobacteria|Deltaproteobacteria	526	571	396	411	416	689	653	444	402	566	551	575	527	450	606	433	474	527
Bacteria|Proteobacteria|Gammaproteobacteria	857	775	836	846	892	892	1169	984	936	1020	1193	1182	780	900	1095	1036	977	1215
Bacteria|Proteobacteria|Oligoflexia	9	16	38	22	73	28	18	21	15	36	26	8	28	71	16	21	37	11
Bacteria|Proteobacteria|Unassigned	40	50	10	27	40	50	43	31	29	25	18	26	81	29	32	22	42	41
Bacteria|Spirochaetes|Spirochaetia	7	3	12	13	16	10	12	13	14	23	18	10	11	21	15	19	7	24
Bacteria|Unassigned|Unassigned	50	76	68	62	65	59	58	59	62	41	48	51	57	62	64	53	73	50
Bacteria|Verrucomicrobia|Opitutae	1	1	2	2	3	3	3	3	11	9	17	24	15	10	16	9	7	6
Bacteria|Verrucomicrobia|Spartobacteria	3	1	3	0	2	2	13	3	7	1	5	8	4	2	3	8	2	3
Bacteria|Verrucomicrobia|Subdivision3	7	3	5	1	2	5	4	4	7	6	8	4	3	2	8	4	1	4
Bacteria|Verrucomicrobia|Verrucomicrobiae	0	0	3	0	1	1	2	2	7	1	8	7	3	6	1	3	3	1
