Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned|Unassigned|Gp10	27	29	19	16	17	21	40	25	40	18	35	36	13	14	69	31	6	23
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned|Unassigned|Gp17	1	5	3	0	3	5	20	6	3	2	14	11	9	9	11	2	3	5
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned|Unassigned|Gp3	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned|Unassigned|Gp6	1	5	0	1	0	0	12	2	5	3	10	11	3	1	6	7	0	2
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae|Vicinamibacter	1	2	1	0	1	2	14	7	5	3	12	17	12	4	9	3	4	4
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae|Acidiferrimicrobium	1	3	5	2	0	0	1	5	3	3	2	1	3	1	4	1	1	2
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiales_incertae_sedis|Aciditerrimonas	0	1	2	0	1	0	4	4	4	0	7	5	2	0	8	0	3	5
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Actinomarinicola	14	31	18	24	23	32	60	43	37	25	46	43	36	47	41	19	28	31
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Aquihabitans	5	18	8	6	3	2	9	17	9	18	12	14	17	8	15	6	13	16
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Iamia	4	9	22	4	7	6	3	8	7	7	3	4	4	7	7	7	6	4
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Unassigned	1	5	2	7	7	5	11	4	3	10	4	4	3	10	8	10	9	3
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Desertimonas	9	8	6	4	6	6	22	9	7	10	12	18	9	10	6	8	8	9
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae|Ilumatobacter	7	8	7	8	6	6	15	2	7	8	13	14	7	7	7	8	4	4
