ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_111	-2.046	11.133	2.41429640291155e-06	0.000441816241732814	Depleted	0.053	0.226	0.093	0.061	0.054	0.048	0.023	0.042	0.258	0.337	0.251	0.277	0.159	0.077
ASV_6	0.926	14.931	0.000110617439922038	0.0101214957528665	Enriched	2.766	1.494	2.828	2.022	2.386	2.472	3.785	3.103	1.54	1.618	1.397	1.628	1.354	1.425
ASV_72	1.198	12.169	0.000446138964531306	0.0272144768364097	Enriched	0.417	0.184	0.372	0.217	0.341	0.664	0.303	0.604	0.155	0.194	0.134	0.242	0.209	0.172
ASV_146	-1.332	11.038	0.000996389033795046	0.0295711725268583	Depleted	0.072	0.188	0.112	0.017	0.101	0.08	0.03	0.092	0.112	0.219	0.215	0.268	0.159	0.155
ASV_38	0.992	13.089	0.00100317532067176	0.0295711725268583	Enriched	0.774	0.394	0.8	0.486	0.465	0.84	0.863	1.191	0.396	0.43	0.296	0.45	0.434	0.361
ASV_154	-3.575	11	0.00108704787140149	0.0295711725268583	Depleted	0.018	0.242	0.028	0.052	0.008	0.008	0.015	0	0.017	0.017	0.143	1.048	0.217	0.009
ASV_147	1.182	11.173	0.00113113774692901	0.0295711725268583	Enriched	0.197	0.087	0.26	0.191	0.17	0.176	0.189	0.193	0.086	0.16	0.054	0.061	0.042	0.12
ASV_37	-0.95	12.787	0.00134614079062126	0.0307929705854613	Depleted	0.317	0.633	0.428	0.278	0.325	0.184	0.379	0.31	0.378	0.615	0.887	0.554	0.635	0.73
ASV_151	-1.736	10.519	0.00196509352030729	0.038749354386125	Depleted	0.039	0.134	0.121	0.017	0.023	0.048	0.023	0	0.077	0.143	0.179	0.199	0.067	0.137
ASV_56	-1.15	12.217	0.00233886125566682	0.038749354386125	Depleted	0.189	0.437	0.056	0.156	0.256	0.248	0.242	0.176	0.301	0.674	0.573	0.372	0.401	0.301
ASV_168	5.769	11.21	0.00239821014603443	0.038749354386125	Enriched	0.284	0.004	0.009	0.009	0	1.68	0	0.008	0	0.008	0	0.009	0.008	0
ASV_347	1.157	10.899	0.00275130365031856	0.038749354386125	Enriched	0.158	0.072	0.149	0.104	0.155	0.088	0.151	0.302	0.06	0.093	0.081	0.043	0.067	0.086
ASV_969	1.693	10.99	0.00275268637715642	0.038749354386125	Enriched	0.184	0.059	0.13	0.174	0.519	0.072	0.098	0.109	0.034	0.084	0.063	0.078	0.017	0.077
ASV_185	-1.288	10.712	0.00447820330699461	0.0585365146557153	Depleted	0.057	0.141	0.056	0.104	0.054	0.064	0.023	0.042	0.224	0.093	0.107	0.061	0.226	0.137
ASV_82	0.818	12.019	0.00582714289933745	0.0673762502989055	Enriched	0.341	0.197	0.27	0.417	0.271	0.248	0.424	0.419	0.163	0.202	0.143	0.268	0.242	0.163
ASV_213	0.91	10.821	0.00589081969826496	0.0673762502989055	Enriched	0.141	0.076	0.13	0.174	0.077	0.192	0.136	0.134	0.077	0.051	0.081	0.095	0.075	0.077
ASV_114	2.199	10.689	0.00655046213363409	0.0705137982620611	Enriched	0.162	0.034	0.093	0.304	0.031	0.304	0.023	0.218	0	0.076	0.054	0	0.017	0.06
ASV_95	0.956	11.618	0.00776126612057522	0.0745734827575165	Enriched	0.259	0.137	0.214	0.182	0.356	0.256	0.326	0.218	0.077	0.118	0.081	0.165	0.201	0.18
ASV_2	0.752	16.11	0.00797982722266287	0.0745734827575165	Enriched	5.994	3.638	6.242	3.576	6.694	6.345	7.813	5.292	3.785	4.516	2.391	3.342	4.153	3.641
ASV_49	1.945	12.251	0.00815010740519307	0.0745734827575165	Enriched	0.491	0.134	0.53	0.321	1.728	0.024	0.114	0.226	0.12	0.152	0.224	0.069	0.159	0.077
ASV_43	-2.658	12.539	0.00872518802279245	0.0760337813414771	Depleted	0.103	0.672	0.009	0.095	0.008	0.12	0.371	0.017	2.58	0.135	0.063	0.13	0.752	0.369
ASV_41	0.827	13.022	0.00920081002076264	0.0765340106272529	Enriched	0.701	0.406	0.642	0.512	0.55	0.672	1.151	0.679	0.258	0.531	0.313	0.502	0.351	0.481
ASV_22	1.006	13.369	0.00989540617093934	0.0787330143166043	Enriched	0.929	0.479	0.558	0.477	1.402	1.344	1.12	0.671	0.344	0.784	0.349	0.658	0.359	0.378
ASV_161	0.972	10.9	0.0115885063540736	0.0883623609498115	Enriched	0.151	0.079	0.14	0.191	0.194	0.064	0.174	0.143	0.043	0.076	0.081	0.121	0.042	0.112
ASV_170	0.854	10.857	0.0122754928983856	0.0898566080161828	Enriched	0.142	0.08	0.093	0.148	0.108	0.192	0.174	0.134	0.086	0.076	0.072	0.113	0.092	0.043
ASV_58	0.667	12.317	0.0132268380171752	0.0930965906593486	Enriched	0.406	0.262	0.419	0.304	0.364	0.512	0.492	0.344	0.284	0.27	0.287	0.19	0.251	0.292
ASV_55	1.058	12.351	0.014493913487363	0.0982365247476822	Enriched	0.464	0.225	0.437	0.894	0.302	0.248	0.469	0.436	0.301	0.076	0.242	0.095	0.359	0.275
ASV_179	1.694	11.368	0.0161190469460879	0.104319245435546	Enriched	0.248	0.079	0.047	0.069	0.17	0.992	0.144	0.067	0.043	0.067	0.063	0.113	0.1	0.086
ASV_456	-0.853	12.071	0.0165314651236657	0.104319245435546	Depleted	0.198	0.363	0.205	0.269	0.263	0.192	0.083	0.176	0.421	0.261	0.296	0.216	0.501	0.481
ASV_116	0.737	11.394	0.0192973985437523	0.114661156546538	Enriched	0.209	0.129	0.13	0.269	0.232	0.256	0.182	0.185	0.103	0.084	0.152	0.19	0.125	0.12
ASV_86	-1.18	11.739	0.0194234746062441	0.114661156546538	Depleted	0.136	0.307	0.223	0.286	0.031	0.104	0.03	0.143	0.31	0.32	0.376	0.182	0.468	0.189
ASV_35	-1.056	12.972	0.0213968982898135	0.122363512094871	Depleted	0.349	0.734	0.279	0.677	0.279	0.608	0.076	0.176	0.895	1.028	0.716	0.736	0.652	0.378
