Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned	27	29	19	16	17	21	40	25	40	18	35	36	13	14	69	31	6	23
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned	1	5	3	0	3	5	20	6	3	2	14	11	9	9	11	2	3	5
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned	1	5	0	1	0	0	12	2	5	3	10	11	3	1	6	7	0	2
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales	1	2	1	0	1	2	14	7	5	3	12	17	12	4	9	3	4	4
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	45	89	81	63	59	61	137	109	83	90	107	111	89	94	111	67	85	78
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales	1	0	1	0	0	5	0	1	0	1	1	4	1	0	0	3	5	1
Bacteria|Actinobacteria|Actinobacteria|Frankiales	4	5	1	5	1	2	5	6	3	6	6	8	6	1	4	3	6	3
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales	5	28	12	9	4	10	16	25	13	9	11	36	7	5	12	17	22	8
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales	8	19	9	4	5	8	2	3	9	3	2	4	9	5	3	7	8	4
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales	49	116	51	101	23	34	96	66	69	91	77	62	144	142	107	99	118	74
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	154	220	149	160	96	152	169	189	145	149	227	185	157	122	184	176	133	186
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales	561	882	594	531	310	538	567	765	795	558	650	555	659	545	637	556	661	696
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	64	75	82	30	25	28	49	46	36	47	38	40	57	24	81	47	38	30
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales	324	535	536	382	361	415	326	470	346	301	437	337	350	329	411	424	424	379
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales	638	1366	1165	1180	718	671	686	723	550	687	822	634	1150	777	893	1000	1182	1018
Bacteria|Actinobacteria|Actinobacteria|Sporichthyales	42	51	60	42	20	45	28	33	57	34	39	21	70	43	43	39	82	76
Bacteria|Actinobacteria|Actinobacteria|Streptomycetales	360	364	437	300	163	237	290	414	983	574	375	357	531	463	406	794	575	423
Bacteria|Actinobacteria|Actinobacteria|Streptosporangiales	117	164	54	219	51	91	93	145	62	106	132	77	155	183	104	123	210	124
Bacteria|Actinobacteria|Actinobacteria|Unassigned	36	46	22	16	9	23	33	48	16	35	38	44	34	28	29	35	19	23
Bacteria|Actinobacteria|Rubrobacteria|Rubrobacterales	2	15	6	6	1	6	13	9	4	6	4	15	10	5	7	8	14	6
Bacteria|Actinobacteria|Thermoleophilia|Gaiellales	46	83	52	66	41	68	69	96	56	70	80	87	87	65	77	62	58	64
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales	90	128	67	92	69	121	171	136	90	96	115	167	93	62	84	67	126	91
Bacteria|Actinobacteria|Thermoleophilia|Unassigned	8	2	2	10	4	4	7	15	7	8	9	4	6	1	8	4	4	7
Bacteria|Actinobacteria|Unassigned|Unassigned	18	22	9	9	7	17	23	19	20	27	9	23	19	9	30	20	17	25
Bacteria|Armatimonadetes|Unassigned|Unassigned	0	1	2	1	0	3	6	5	4	1	2	3	3	1	5	3	2	1
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales	18	9	8	10	6	9	61	36	57	48	35	28	44	64	41	45	31	21
Bacteria|Bacteroidetes|Cytophagia|Cytophagales	113	77	33	38	51	19	165	95	149	249	118	86	138	132	164	170	79	107
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales	177	215	923	314	581	226	169	762	743	542	240	224	455	534	327	229	453	526
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales	14	7	8	14	22	3	6	7	13	11	11	12	13	31	10	8	17	18
Bacteria|Bacteroidetes|Unassigned|Unassigned	2	0	1	2	0	1	3	2	4	3	1	1	4	2	1	1	0	2
Bacteria|Campilobacterota|Campylobacteria|Campylobacterales	7	1	1	1	4	3	11	13	7	10	4	2	2	8	10	5	8	5
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	0	0	2	2	17	1	0	10	0	2	2	0	0	0	4	1	0	6
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales	114	174	41	100	103	59	90	137	132	90	101	103	143	82	124	101	64	108
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales	78	101	38	135	102	63	69	192	57	97	140	101	385	46	115	92	149	130
Bacteria|Chloroflexi|Chloroflexia|Kallotenuales	2	4	0	0	13	1	1	0	0	1	1	1	0	0	0	1	0	1
Bacteria|Chloroflexi|Chloroflexia|Unassigned	5	15	3	7	9	5	9	6	3	15	6	9	14	9	4	38	4	3
Bacteria|Chloroflexi|Ktedonobacteria|Ktedonobacterales	0	0	1	0	5	4	2	3	1	1	11	1	1	5	5	0	18	0
Bacteria|Chloroflexi|Thermomicrobia|Thermomicrobiales	4	5	0	3	1	5	5	2	1	7	1	2	7	2	3	5	3	5
Bacteria|Chloroflexi|Unassigned|Unassigned	6	9	2	3	2	3	5	13	4	5	7	2	5	4	3	5	6	8
Bacteria|Firmicutes|Bacilli|Bacillales	159	167	158	423	71	189	545	286	261	309	189	506	85	64	114	101	65	111
Bacteria|Firmicutes|Bacilli|Lactobacillales	14	7	47	12	7	11	20	5	7	14	16	14	18	18	18	9	10	28
Bacteria|Firmicutes|Bacilli|Unassigned	90	45	61	73	35	47	53	48	106	80	55	41	31	48	46	64	43	50
Bacteria|Firmicutes|Clostridia|Clostridiales	0	52	4	2	2	1	6	1	10	1	2	8	0	2	0	1	1	22
Bacteria|Firmicutes|Unassigned|Unassigned	1	1	1	3	0	2	1	3	1	3	2	2	0	0	1	0	3	1
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales	16	21	13	14	7	13	22	21	17	14	17	16	9	15	13	17	12	20
Bacteria|Ignavibacteriae|Ignavibacteria|Ignavibacteriales	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Nitrospirae|Nitrospira|Nitrospirales	5	6	3	7	3	6	10	6	9	7	11	15	9	9	9	38	13	19
Bacteria|Planctomycetes|Phycisphaerae|Phycisphaerales	4	5	0	2	0	1	4	1	0	0	2	5	2	1	1	4	1	3
Bacteria|Planctomycetes|Planctomycetacia|Pirellulales	3	21	13	3	1	6	53	66	30	16	26	40	22	19	25	16	11	9
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	166	140	161	147	200	184	135	132	72	100	161	127	127	143	107	131	127	154
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	1326	1377	2002	1725	2030	1740	1432	1209	919	1159	1424	1317	1047	1194	1216	1230	1335	1321
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	98	120	84	74	40	83	189	114	128	100	115	134	107	91	111	141	63	92
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales	15	14	21	7	12	11	16	12	9	9	16	20	21	21	19	36	20	24
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	220	247	458	391	496	360	206	186	142	174	228	220	140	214	167	261	252	201
Bacteria|Proteobacteria|Alphaproteobacteria|Unassigned	18	26	44	13	9	32	24	23	23	30	18	37	22	42	29	41	13	24
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	3793	2683	3797	4174	5713	4306	2350	1983	2950	3021	2936	2379	3379	4369	3022	3301	3551	3169
Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales	24	14	16	13	9	15	30	11	7	29	27	25	9	12	28	17	13	20
Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	35	64	49	32	61	76	39	51	45	38	51	38	44	53	78	43	45	47
Bacteria|Proteobacteria|Betaproteobacteria|Rhodocyclales	12	13	4	8	6	17	19	7	15	9	12	15	8	15	13	9	4	8
Bacteria|Proteobacteria|Betaproteobacteria|Unassigned	1	4	4	3	4	5	7	2	6	4	3	6	4	0	2	4	2	7
Bacteria|Proteobacteria|Deltaproteobacteria|Bdellovibrionales	14	17	13	14	27	17	9	11	13	11	13	7	10	18	9	9	4	10
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfobacterales	0	0	2	1	2	1	7	1	1	0	0	1	0	2	1	1	2	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	1	1	1	0	4	1	2	2	1	3	2	0	2	1	3	2	2	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfuromonadales	60	92	75	72	78	159	119	64	63	112	93	76	149	98	100	88	73	89
Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	383	391	265	279	270	431	448	320	284	381	384	416	324	285	416	301	349	342
Bacteria|Proteobacteria|Deltaproteobacteria|Syntrophobacterales	2	0	2	1	0	0	1	2	0	3	1	2	0	1	3	1	1	1
