Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Desertimonas	0.14	0.09	0.11	0.07	0.08	0.06	0.33	0.1	0.08	0.15	0.13	0.24	0.1	0.12	0.07	0.1	0.08	0.1	0.2
Shinella	0.45	0.35	0.96	0.6	1.07	0.64	0.52	0.85	0.24	0.56	0.69	0.32	0.5	0.67	0.26	0.59	0.98	0.67	0.2
Nitrospira	0.05	0.06	0.02	0.04	0.03	0.05	0.08	0.06	0.09	0.07	0.1	0.15	0.06	0.07	0.09	0.3	0.1	0.16	0.2
Niastella	0.12	0.07	0.07	0.05	0.02	0.07	0.51	0.29	0.44	0.43	0.31	0.2	0.36	0.48	0.36	0.38	0.27	0.15	0.2
Nitratireductor	0.06	0.04	0.04	0.02	0.04	0.1	0.1	0.06	0.09	0.03	0.06	0.06	0.03	0.02	0.05	0.05	0.04	0.04	0.2
Vicinamibacter	0.02	0.06	0.01	0.01	0.01	0.02	0.25	0.09	0.09	0.06	0.21	0.27	0.1	0.04	0.14	0.09	0.04	0.05	0.2
Pseudomethylobacillus	0.03	0.13	0.01	0.04	0.17	0.32	0.05	0.22	0.04	0.03	0.06	0.04	0.02	0.16	0.16	0.1	0.03	0.04	0.2
Microbacterium	0.25	0.03	0.02	0.07	0.03	0.04	0.11	0.02	0.03	0.07	0.07	0.17	0.04	0.03	0.06	0.08	0.06	0.08	0.2
Amycolatopsis	0.97	3.05	1.47	1.18	1.1	1.49	0.64	0.96	0.41	1.08	0.94	0.64	1.41	1.48	0.86	1.9	5.23	0.83	0.2
Cellvibrio	0.12	0.03	0.05	0.06	0.04	0.03	0.11	0.26	0.63	0.39	0.05	0.04	0.29	0.07	0.08	0.04	0.03	0.1	0.2
Chryseobacterium	0.01	0.03	0.02	0.01	0.03	0.03	0.02	0.12	0.06	0.08	0.06	0.02	0.02	0.01	0.05	0.31	0.03	0.02	0.2
Luteolibacter	0	0.01	0.03	0.01	0.01	0	0.04	0.02	0.09	0.03	0.08	0.07	0.04	0.05	0.02	0.04	0.04	0.02	0.1
Pleomorphochaeta	0.05	0	0.05	0.03	0.05	0.06	0.06	0.04	0.08	0.06	0.06	0.05	0.02	0.08	0.09	0.09	0.05	0.12	0.1
Pseudoxanthomonas	0.29	0.13	0.21	0.23	0.37	0.2	0.16	0.34	0.15	0.31	0.79	0.33	0.15	0.07	0.41	0.22	0.16	0.21	0.1
Parviterribacter	0.02	0.1	0.01	0.06	0.06	0.04	0.05	0.04	0.02	0.07	0.04	0.06	0.05	0	0.05	0.02	0.06	0.03	0.1
Mangrovihabitans	0.04	0.06	0.01	0	0	0.05	0.07	0.04	0	0.03	0	0.08	0.05	0.03	0.03	0.03	0.08	0	0.1
Marmoricola	0.07	0.09	0.11	0.12	0.05	0.04	0.06	0.15	0.03	0.06	0.07	0.03	0.04	0.01	0.05	0.09	0.04	0.08	0.1
Pseudarthrobacter	0.09	0.06	0.02	0.04	0.02	0.07	0.05	0.19	0.09	0.11	0.12	0.15	0.1	0.01	0.07	0.16	0.04	0.1	0.1
Pedobacter	0.06	0.02	0	0.08	0.08	0.02	0.01	0.03	0.03	0.04	0.04	0.04	0.02	0.05	0.02	0.02	0.06	0.04	0.1
Oleiharenicola	0	0	0	0	0	0.01	0.03	0.03	0.03	0.03	0.01	0.1	0.02	0.02	0.05	0.04	0.02	0.02	0.1
Blastococcus	0.26	0.52	0.3	0.28	0.1	0.25	0.3	0.41	0.4	0.29	0.29	0.45	0.51	0.31	0.4	0.33	0.62	0.56	0.1
Bartonella	0.06	0.09	0.09	0.03	0.09	0.11	0.11	0.05	0.03	0.04	0.08	0.03	0.03	0.06	0.06	0.09	0.02	0.03	0.1
Asprobacter	0.07	0.05	0.01	0.01	0	0.03	0.07	0.09	0.03	0.05	0	0.07	0.05	0.01	0.05	0.03	0.09	0.04	0.1
Sphingopyxis	0.29	0.31	0.87	0.45	1.07	0.52	0.3	0.45	0.11	0.44	0.63	0.32	0.3	0.16	0.27	0.37	0.82	0.35	0.1
Coralloluteibacterium	0.04	0.04	0	0.02	0.11	0.06	0.08	0.05	0	0.06	0.04	0.03	0	0.03	0.08	0.18	0.01	0.07	0.1
Sphingobacterium	0.08	0.03	0.05	0.05	0.12	0.01	0.05	0.03	0.07	0.07	0.05	0.08	0.07	0.19	0.08	0.05	0.08	0.13	0.1
Sphingobium	0.03	0.06	0.16	0.01	0.02	0.03	0.05	0.03	0.04	0.03	0.06	0.01	0	0.04	0.03	0.1	0.02	0.07	0.1
Agrobacterium	0.1	0.01	0.08	0.01	0.08	0.01	0	0.1	0.07	0.26	0.21	0.1	0.01	0.12	0.08	0.16	0.03	0.05	0.1
Vitiosangium	0.04	0.03	0.01	0.01	0.01	0.02	0.05	0.09	0.03	0.03	0.02	0.04	0.06	0.01	0.06	0.07	0.01	0.04	0.1
Acidihalobacter	0.04	0.03	0.03	0.03	0.01	0.03	0.07	0.07	0.03	0.06	0.02	0.05	0.02	0.01	0.06	0.02	0.02	0.04	0.1
Verrucosispora	0.13	0.2	0.11	0.01	0.03	0.05	0.08	0.14	0.06	0.12	0.08	0.05	0.17	0.04	0.07	0.04	0.04	0.12	0.1
Arthrobacter	0.03	0.08	0.08	0.03	0.02	0	0.09	0.15	0.06	0.07	0.11	0.05	0.05	0.05	0.08	0.09	0.09	0.08	0.1
Thermostilla	0.01	0	0.01	0	0	0	0	0.04	0.03	0.01	0.02	0.04	0.04	0.01	0	0.01	0	0.02	0.1
Undibacterium	0.04	0.02	0	0.05	0.06	0.04	0	0.01	0.01	0.02	0.02	0.06	0.05	0.04	0	0.01	0.02	0.02	0.1
