Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Bordetella	0.03	0	0	0.01	0	0	0.04	0.12	0	0.02	0	0.05	0	0	0	0	0	0	0.1
Actinocrispum	0.4	0.36	3.08	0.19	0.05	0.18	1.03	0.61	0.29	0.62	0.62	0.5	0.48	0.1	0.86	0.78	0.63	1.18	0.1
Algisphaera	0.04	0.04	0	0.02	0	0.01	0.03	0.01	0	0	0.01	0.05	0.02	0.01	0.01	0.04	0	0.02	0.1
Alkalispirochaeta	0.01	0.01	0.01	0.02	0.01	0	0.02	0.03	0.03	0.03	0.01	0.02	0	0.05	0.02	0.03	0	0.04	0.1
Achromobacter	0.01	0	0.05	0	0.01	0	0	0.05	0	0.27	0.03	0.07	0.01	0.01	0.01	0.02	0	0	0.1
Acidovorax	0.02	0	0.12	0.01	0.03	0.11	0	0.03	0.06	0.06	0.04	0	0.05	0.05	0	0	0.05	0.01	0.1
Actinocorallia	0.98	1.01	0.24	1.43	0.37	0.66	0.58	1.06	0.4	0.81	0.86	0.66	1.19	1.3	0.71	0.98	1.39	0.69	0.1
Anaerohalosphaera	0.01	0.01	0	0	0	0	0.01	0	0.01	0.03	0	0	0.01	0	0.03	0.04	0.03	0.02	0.1
Asanoa	0.01	0.01	0	0	0	0	0.01	0.07	0	0	0	0.01	0.01	0.01	0.01	0.06	0	0.05	0.1
Aureimonas	0.07	0.07	0.02	0.07	0.05	0.08	0.02	0.04	0.06	0.04	0.07	0.11	0.06	0.07	0.07	0.03	0.06	0.02	0.1
Blastomonas	0.01	0	0	0	0.02	0	0	0	0.02	0.01	0.02	0.01	0	0	0.01	0	0	0.02	0.1
Ancylobacter	0	0.03	0	0	0.01	0.03	0	0.02	0	0.01	0.02	0	0	0	0	0.01	0	0.01	0.1
Arboricoccus	0.08	0.08	0.06	0.04	0.03	0.06	0.12	0.05	0.09	0.04	0.1	0.19	0.06	0.1	0.03	0.04	0.05	0.08	0.1
Archangium	0.03	0	0.04	0.01	0.02	0.01	0.02	0.01	0.03	0	0.04	0.03	0.01	0	0.02	0.02	0.02	0.03	0.1
Methyloversatilis	0	0	0	0.01	0	0.01	0	0	0	0.02	0.01	0	0	0.01	0.01	0.03	0.02	0.02	0.1
Mongoliimonas	0.01	0	0.02	0	0.02	0	0.02	0.01	0.01	0	0	0.01	0	0	0.12	0	0.02	0.03	0.1
Moorella	0	0	0	0	0	0	0.05	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0.1
Marinibaculum	0.05	0.01	0	0.03	0.03	0.03	0.07	0.02	0.06	0.02	0.02	0.02	0.05	0.02	0.03	0.09	0.01	0.01	0.1
Marinicella	0	0.01	0.02	0.01	0.01	0	0	0.04	0	0	0.01	0.01	0	0	0.01	0.03	0	0.03	0.1
Methylocapsa	0.14	0.04	0.08	0.06	0.03	0.13	0.08	0.1	0.05	0.06	0.06	0.06	0.05	0	0.07	0.11	0.02	0.04	0.1
Niveibacterium	0.03	0.06	0	0.01	0.02	0.05	0.05	0.02	0.03	0.01	0.03	0.03	0.02	0.03	0.03	0.02	0.01	0	0.1
Pararhizobium	1	1.09	1.87	2.17	2.78	2.02	0.63	0.63	0.79	0.98	1.25	0.96	1.21	1.75	0.71	0.82	1.67	0.86	0.1
Paucibacter	0.03	0.09	0.56	0.18	0.04	0.14	0.16	0.05	0.1	0.07	0.06	0.01	0.04	0.1	0.11	0.03	0.07	0.1	0.1
Phaeocystidibacter	0.01	0.02	0	0.01	0	0	0.01	0	0.02	0	0	0.02	0.02	0	0.03	0.01	0.01	0	0.1
Nocardia	0.1	0.1	0.19	0	0.07	0.05	0.06	0.1	0.05	0.13	0.11	0.07	0.17	0.03	0.22	0.11	0.02	0.08	0.1
Oryzisolibacter	0.02	0	0	0	0.01	0.01	0.02	0.01	0.01	0.01	0	0	0.13	0	0	0.02	0.01	0.02	0.1
Oryzomicrobium	0.01	0.02	0.02	0.03	0.03	0.04	0.04	0.02	0.02	0.03	0.03	0.04	0.02	0	0	0.04	0	0.02	0.1
Magnetospirillum	0.03	0.01	0.01	0	0.01	0	0.03	0	0.02	0.02	0.02	0.02	0.03	0.01	0	0.02	0.02	0	0.1
Geodermatophilus	0	0.02	0	0	0	0.01	0.02	0.04	0.04	0	0.02	0.04	0	0.01	0.02	0.03	0.04	0.02	0.1
Gordonia	0	0	0.04	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0.03	0.01	0	0.1
Hoeflea	0.06	0	0	0	0.03	0.04	0.06	0.05	0	0.02	0.05	0.01	0	0	0.01	0.03	0.02	0.02	0.1
Fluviicoccus	0	0.01	0.01	0.01	0.03	0	0	0	0.01	0.01	0	0.01	0.02	0.03	0.01	0	0	0	0.1
Friedmanniella	0.05	0.02	0	0.03	0	0.04	0.06	0.02	0.01	0.02	0	0.01	0.01	0.02	0.03	0	0	0.02	0.1
Geminisphaera	0	0	0.01	0.02	0.01	0.03	0.02	0	0.06	0.03	0.08	0.08	0.09	0.05	0.07	0.02	0.04	0.03	0.1
Intrasporangium	0	0.08	0.05	0.02	0.02	0.02	0	0.02	0.02	0.01	0	0.03	0.01	0.02	0.02	0.05	0	0.01	0.1
Longivirga	0.03	0.02	0	0.02	0	0	0.03	0.02	0	0.02	0.01	0.02	0.02	0	0.03	0.01	0.03	0.01	0.1
Luteitalea	0.01	0.03	0.03	0	0.03	0.05	0.18	0.05	0.03	0.02	0.12	0.11	0.05	0.07	0.1	0.02	0.03	0.05	0.1
Lysinibacillus	0.02	0.02	0	0	0	0.01	0.05	0.02	0.02	0	0.01	0.21	0	0	0	0	0.01	0.01	0.1
Janthinobacterium	0.85	0.5	0.5	0.83	0.87	1.16	0.16	0.13	0.37	0.19	0.42	0.32	0.4	0.45	0.3	0.4	0.46	0.38	0.1
Kibdelosporangium	0.24	0.26	0.05	3.37	1.44	0.08	0.36	0.59	0.22	0.57	0.27	0.32	0.92	0.13	0.36	0.36	0.23	0.61	0.1
Lacunisphaera	0	0.01	0.01	0	0.02	0	0	0.01	0.02	0.05	0.05	0.06	0.04	0.02	0.05	0.03	0.02	0.01	0.1
