Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Egibacterales	0.07	0.05	0.05	0	0.04	0.06	0.09	0.2	0.06	0.06	0.11	0.13	0.03	0.09	0.07	0.09	0.04	0.06	0.1
Thermoanaerobacterales	0	0	0	0	0	0	0.05	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0.1
Acidiferrobacterales	0.02	0.02	0.01	0	0	0	0.02	0.06	0.01	0.04	0.04	0.02	0	0.01	0.05	0.07	0	0.02	0.1
Thermoanaerobaculales	0.01	0	0	0	0	0.01	0	0.02	0.03	0	0.03	0.05	0	0	0.01	0.02	0	0.01	0.1
Eggerthellales	0	0.04	0.01	0.02	0	0	0	0.04	0	0	0	0.01	0.01	0.01	0.01	0.02	0.01	0.03	0.1
Bacteroidales	0.01	0.01	0	0	0.02	0	0	0.03	0.04	0.01	0.02	0.02	0.02	0.05	0.04	0	0	0.03	0.1
Sedimentisphaerales	0.01	0.01	0	0	0	0	0.01	0	0.01	0.03	0	0	0.01	0	0.03	0.04	0.03	0.02	0.1
Chlamydiales	0.01	0.01	0	0	0.01	0.03	0.04	0.02	0.03	0.08	0.01	0	0	0.01	0.09	0.01	0	0.05	0.1
Chlorobiales	0	0.01	0	0	0.04	0	0.02	0.02	0.01	0.03	0.02	0	0.02	0	0.03	0.02	0.02	0	0.1
Phycisphaerales	0.04	0.04	0	0.02	0	0.01	0.03	0.01	0	0	0.01	0.05	0.02	0.01	0.01	0.04	0	0.02	0.1
Sporichthyales	0.03	0.02	0	0.02	0	0	0.03	0.02	0	0.02	0.01	0.02	0.02	0	0.03	0.01	0.03	0.01	0.1
Neisseriales	0.01	0.01	0	0	0.01	0.04	0.03	0.02	0.02	0	0.03	0.02	0.02	0.02	0.02	0	0.01	0.01	0.1
Oceanospirillales	0.03	0.03	0.02	0.02	0.12	0.01	0.02	0.05	0.03	0.07	0.03	0.07	0.07	0.03	0.02	0.04	0.01	0.08	0.1
