#OTUID	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_14	0	0	0	1	1	26024	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2	861	220	340	3412	14030	1899	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4	1524	1	565	1	16547	0	113	528	355	154	2	162	113	78	128	233	10	230
ASV_3	2956	1382	985	10077	4340	61	0	1	0	0	0	0	0	0	0	0	0	1
ASV_5	0	718	7	8418	3777	5940	0	0	0	0	0	0	2	0	0	0	0	0
ASV_12	0	0	0	0	0	0	1912	2164	3100	1	2215	1740	585	0	534	528	0	1146
ASV_9	2645	1108	1163	8246	334	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	1184	35	84	929	8888	2329	0	0	0	0	0	0	0	0	0	0	0	1
ASV_7	1	0	1	0	6	2	1	33	12292	33	23	40	418	37	17	46	3	14
ASV_6	1520	547	780	2	9411	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_70	8971	201	1	1	1419	1048	0	1	0	0	0	0	0	0	1	0	0	0
ASV_13	113	256	237	1167	1207	8139	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10	2368	8	360	5649	2595	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8	0	1	0	0	2	0	36	360	4266	2781	1288	206	480	861	278	200	2	19
ASV_19	118	11	11	122	24	191	1226	101	617	371	46	425	1454	785	416	1216	2349	965
ASV_11	337	540	227	8061	483	106	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	0	0	0	0	0	0	21	3670	47	13	2461	567	4	11	1051	60	0	1573
ASV_15	1377	109	324	6427	1230	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_22	1254	943	39	2227	584	4419	0	0	0	0	0	0	0	0	1	0	0	0
ASV_20	0	0	0	0	0	0	228	1026	377	643	781	1229	508	1575	468	892	12	1193
