richness	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1
64	111.0	113.0	89.0	49.0	99.0	109.0	122.0	97.0	120.0	114.0	109.0	117.0
65	114.0	112.0	91.0	53.0	102.0	109.0	114.0	103.0	122.0	116.0	108.0	118.0
66	114.0	111.0	88.0	43.0	102.0	108.0	115.0	102.0	119.0	122.0	107.0	122.0
67	113.0	114.0	91.0	50.0	105.0	109.0	122.0	105.0	121.0	123.0	110.0	117.0
68	115.0	120.0	91.0	49.0	111.0	113.0	129.0	107.0	119.0	127.0	115.0	121.0
69	116.0	122.0	97.0	50.0	114.0	115.0	131.0	106.0	126.0	126.0	116.0	123.0
70	120.0	116.0	95.0	48.0	110.0	114.0	129.0	109.0	122.0	125.0	113.0	124.0
71	117.0	118.0	96.0	48.0	113.0	114.0	131.0	105.0	128.0	128.0	117.0	128.0
72	121.0	123.0	99.0	51.0	112.0	118.0	131.0	108.0	129.0	132.0	114.0	126.0
73	121.0	119.0	98.0	54.0	111.0	120.0	133.0	106.0	124.0	131.0	119.0	129.0
74	122.0	124.0	99.0	51.0	111.0	117.0	132.0	111.0	128.0	130.0	113.0	129.0
75	119.0	126.0	99.0	52.0	112.0	121.0	136.0	111.0	131.0	131.0	119.0	126.0
76	125.0	126.0	98.0	54.0	116.0	116.0	130.0	109.0	130.0	131.0	119.0	127.0
77	121.0	125.0	99.0	53.0	117.0	123.0	135.0	112.0	127.0	132.0	117.0	130.0
78	121.0	127.0	99.0	54.0	116.0	120.0	134.0	111.0	128.0	130.0	121.0	129.0
79	123.0	124.0	100.0	53.0	115.0	118.0	132.0	110.0	131.0	132.0	121.0	131.0
80	120.0	124.0	99.0	53.0	114.0	119.0	135.0	110.0	131.0	133.0	120.0	131.0
81	125.0	126.0	99.0	54.0	117.0	119.0	137.0	111.0	132.0	134.0	120.0	131.0
82	125.0	126.0	98.0	52.0	116.0	121.0	134.0	110.0	133.0	135.0	119.0	129.0
83	125.0	126.0	101.0	54.0	118.0	123.0	134.0	112.0	133.0	133.0	122.0	132.0
84	125.0	127.0	101.0	53.0	117.0	122.0	137.0	113.0	130.0	132.0	122.0	133.0
85	125.0	125.0	100.0	54.0	118.0	123.0	136.0	113.0	132.0	133.0	122.0	133.0
86	125.0	127.0	100.0	53.0	118.0	123.0	137.0	113.0	132.0	133.0	120.0	132.0
87	124.0	125.0	101.0	54.0	118.0	122.0	137.0	111.0	132.0	134.0	122.0	131.0
88	124.0	127.0	101.0	54.0	117.0	123.0	137.0	113.0	131.0	134.0	121.0	132.0
89	125.0	127.0	101.0	54.0	118.0	123.0	137.0	113.0	133.0	135.0	121.0	133.0
90	125.0	126.0	99.0	54.0	117.0	122.0	137.0	112.0	131.0	135.0	122.0	133.0
91	125.0	126.0	101.0	54.0	118.0	123.0	136.0	112.0	132.0	132.0	122.0	132.0
92	125.0	126.0	101.0	54.0	118.0	123.0	137.0	113.0	133.0	135.0	122.0	132.0
93	124.0	127.0	101.0	54.0	118.0	123.0	136.0	113.0	133.0	135.0	122.0	133.0
94	125.0	126.0	101.0	54.0	118.0	123.0	136.0	113.0	133.0	135.0	122.0	133.0
95	125.0	126.0	101.0	53.0	118.0	123.0	137.0	113.0	133.0	135.0	122.0	132.0
96	124.0	127.0	101.0	54.0	118.0	123.0	134.0	113.0	132.0	134.0	122.0	133.0
97	125.0	127.0	101.0	54.0	118.0	123.0	137.0	113.0	133.0	135.0	122.0	133.0
98	125.0	126.0	101.0	54.0	118.0	123.0	137.0	113.0	133.0	135.0	121.0	133.0
99	125.0	127.0	101.0	54.0	118.0	123.0	137.0	113.0	133.0	135.0	122.0	133.0
100	125.0	127.0	100.0	54.0	118.0	123.0	137.0	113.0	133.0	135.0	122.0	133.0
