Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Actinobacteria	25.4	40.2	27.8	28.1	17.2	23.7	28	34.5	32.5	27.2	29.8	28.7	34.7	29.3	31.5	33.6	33.4	30.7	26.4
Alphaproteobacteria	17.3	15.8	21.1	18	20.1	19.7	17.9	15	12.1	13.8	17.6	16.8	11.4	13.4	14.5	15.3	14.6	15.3	18.6
Unassigned	5.88	5.78	3.23	4.55	4.47	5.21	6.95	6.55	4.5	6.11	5.2	5.73	5.73	3.87	6.43	4.67	4.56	5.39	11.6
Betaproteobacteria	28.1	19.8	25.1	27.8	34.9	31.4	17.2	14.7	21.3	21.9	20.8	18.6	21.8	25.5	21.3	21.9	22.7	21.5	9.8
Gammaproteobacteria	13.5	8.5	10.2	10.8	13.1	10.7	13.6	11.9	12.2	14	14.1	14.3	12.1	15.7	13.4	13.5	14.2	14.1	9.3
Deltaproteobacteria	3.26	2.85	2.51	2.92	2.86	3.77	3.85	2.62	3.33	3.43	3.48	3.54	3.08	3.66	3.34	3.13	2.93	3.2	7.9
Bacilli	1.55	1.4	1.41	3.12	0.753	1.58	4.91	2.67	2.21	3.18	1.72	4.74	0.863	0.406	0.994	0.991	0.594	0.972	4.1
Cytophagia	1.13	0.659	0.35	0.456	0.481	0.231	1.65	1.13	1.69	2.35	1.32	1.07	1.18	1.25	1.76	1.68	0.875	1.18	2.4
Chloroflexia	1.14	1.45	0.484	1.06	1.05	0.688	1.03	2.09	0.978	1.39	1.54	1.37	3.5	0.753	1.25	1.14	1.62	1.49	1.5
Flavobacteriia	1.5	1.73	6.78	2.37	4.45	1.96	1.56	6.4	6.4	4.49	2.06	1.88	3.73	4.27	2.67	1.93	3.41	4.31	1.3
Planctomycetia	0.0344	0.225	0.134	0.0219	0.0562	0.0625	0.447	0.828	0.406	0.184	0.291	0.575	0.231	0.159	0.313	0.191	0.128	0.156	1.1
Sphingobacteriia	0.287	0.2	0.15	0.234	0.203	0.166	0.709	0.403	0.722	0.694	0.472	0.4	0.506	0.734	0.497	0.659	0.375	0.403	1.0
Acidobacteria_Gp10	0.244	0.178	0.178	0.163	0.172	0.247	0.366	0.219	0.375	0.166	0.291	0.363	0.156	0.166	0.637	0.234	0.0813	0.213	1.0
Subdivision3	0.153	0.112	0.0562	0.0594	0.0406	0.0938	0.237	0.125	0.188	0.188	0.147	0.228	0.122	0.131	0.234	0.122	0.0906	0.163	0.8
Clostridia	0.075	0.606	0.0844	0.0344	0.0187	0.0187	0.147	0.0406	0.2	0.0438	0.0625	0.137	0.0469	0.0344	0.05	0.0375	0.0313	0.206	0.4
Spirochaetia	0.0625	0.0469	0.109	0.0875	0.156	0.0656	0.131	0.112	0.159	0.206	0.156	0.128	0.119	0.216	0.203	0.206	0.0687	0.181	0.3
Acidobacteria_Gp17	0.0219	0.05	0.025	0.00625	0.0219	0.0313	0.231	0.109	0.0781	0.0281	0.137	0.2	0.106	0.0813	0.125	0.0969	0.0313	0.0375	0.3
Nitrospira	0.0906	0.0844	0.0375	0.05	0.0375	0.0719	0.128	0.0594	0.0969	0.0781	0.106	0.103	0.0719	0.05	0.0781	0.294	0.0781	0.103	0.3
Opitutae	0.0125	0.0219	0.0281	0.0187	0.025	0.0375	0.103	0.0719	0.103	0.0781	0.153	0.225	0.109	0.0687	0.169	0.0906	0.0656	0.0562	0.3
Acidobacteria_Gp6	0.0469	0.0656	0.0219	0.0125	0.00937	0.0375	0.294	0.15	0.119	0.0531	0.181	0.388	0.188	0.0594	0.178	0.1	0.0531	0.05	0.2
Chlamydiia	0.0375	0.0187	0.0469	0.0187	0.00937	0.0406	0.0687	0.0594	0.0687	0.0906	0.025	0.0438	0.0313	0.0375	0.125	0.0438	0.00625	0.0875	0.2
Spartobacteria	0.0187	0.0406	0.0219	0.0125	0.00937	0.05	0.153	0.0438	0.0719	0.0313	0.0719	0.166	0.05	0.0562	0.075	0.0562	0.0187	0.0313	0.2
Acidobacteria_Gp3	0.0281	0.0281	0.0187	0.0187	0.00313	0.0281	0.0469	0.0125	0.025	0.0469	0.05	0.0156	0.0125	0.0156	0.025	0.00937	0.0219	0.0313	0.1
Verrucomicrobiae	0.00313	0.0187	0.0406	0.00313	0.0156	0.0187	0.0531	0.0719	0.0562	0.0281	0.0781	0.106	0.05	0.0594	0.0406	0.0375	0.0375	0.0125	0.1
Acidobacteria_Gp25	0.0156	0.00625	0	0.00937	0.00313	0.00313	0.0125	0.00937	0.0125	0.0156	0.025	0.0219	0.0125	0.00625	0.00937	0.00313	0.00313	0.0156	0.1
Acidobacteria_Gp4	0.00313	0.00625	0.00625	0	0.00313	0.00625	0.0281	0.0219	0.0219	0.0187	0.00937	0.0562	0.0344	0.00313	0.0156	0.0313	0.00625	0.0125	0.1
Ignavibacteria	0.00937	0.0219	0	0.0125	0	0.0406	0.00313	0.00937	0.00625	0.0938	0.00625	0.0125	0.00313	0	0.0219	0.00625	0.00625	0.025	0.1
Oligoflexia	0.00625	0.00625	0	0	0	0	0.0219	0.0281	0.00313	0	0.0156	0.0156	0.00937	0.00937	0.00313	0.00937	0.00937	0	0.0
Acidobacteria_Gp5	0.0125	0.00937	0	0.00313	0.00313	0.00625	0.0187	0.00313	0.0156	0.0219	0.0125	0.0156	0.00313	0.00937	0.0156	0.0156	0.00313	0.00937	0.0
Acidobacteria_Gp11	0	0	0	0	0	0	0.0125	0	0.00937	0	0.0125	0.0125	0	0.00313	0.0125	0.00313	0.00625	0.00313	0.0
Bacteroidia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0469	0	0	0	0.0
Acidobacteria_Gp7	0.00625	0.00313	0	0.00937	0.00313	0.00937	0.00625	0.00937	0.00625	0.00937	0.00313	0.00313	0.0156	0	0	0.00937	0	0.00313	0.0
Erysipelotrichia	0.00313	0.0125	0.0125	0.00313	0	0.00313	0.0156	0.00937	0.0125	0.00625	0.0125	0.0313	0.0125	0.00625	0.0156	0.00313	0.00313	0.00625	0.0
Caldilineae	0.00313	0.0219	0.00313	0	0	0.0125	0.0187	0.0469	0.0219	0.00313	0.025	0.0187	0.0125	0.0156	0.0313	0.0125	0.00625	0.00625	0.0
Armatimonadia	0	0.00313	0.00313	0	0.00625	0	0.0125	0.00937	0.00937	0.00937	0.00313	0.00625	0.0156	0.00313	0	0	0.00625	0.00937	0.0
