Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	24.3	22.7	19.3	19.8	19.3	23.2	27.2	21.8	21.3	23.7	22.2	24.5	21.1	19.3	26.1	22	18.4	22.4	41.2
Micromonosporaceae	4.58	7.15	4.5	3.96	2.3	4.35	4.73	6.24	6.6	4.56	5.13	4.77	5.11	3.88	5.22	4.44	5.19	5.59	4.5
Nocardioidaceae	2.61	4.11	3.96	2.84	2.44	3.13	2.35	3.85	2.57	2.39	3.31	2.83	2.36	2.5	3.03	3.28	2.96	2.61	3.7
Xanthomonadaceae	2.15	1.59	2.22	2.54	2.66	2.8	1.75	1.76	2.07	1.8	3	2.41	1.6	2.05	2.23	2.59	2.38	2.68	2.9
Sinobacteraceae	3.67	3.07	2.69	2.65	1.68	2.84	5.35	3.5	3.59	3.48	4.36	4.8	3.17	3.9	4.92	4.43	3.63	4.81	2.4
Comamonadaceae	11.7	8.01	11.4	11.4	15.3	11.7	6.22	5.87	9.15	9.14	9.09	6.72	8.57	9.47	7.93	9.06	10.1	8.9	2.3
Hyphomicrobiaceae	2.5	2.24	2.95	2.26	3.36	2.91	2.33	2.33	1.39	1.68	2.04	1.99	1.3	1.46	1.71	1.52	1.53	2.01	2.3
Oxalobacteraceae	7.03	4.32	4.63	7.55	8.23	9.54	4.41	3.28	5.33	4.89	4.23	4.96	6.24	7.42	4.79	4.49	5.47	4.89	2.2
Paenibacillaceae_1	0.378	0.347	0.75	2.39	0.234	0.637	1.66	1.06	0.413	1.19	0.294	0.75	0.309	0.122	0.309	0.231	0.203	0.178	2.1
Pseudonocardiaceae	5.24	11	8.5	8.42	5.19	5.05	5.75	5.82	4.38	5.35	6.46	5.5	8.46	5.66	6.94	7.49	8.79	7.58	2.0
Sphingomonadaceae	1.74	1.72	3.06	2.61	2.75	2.34	1.43	1.34	1.18	1.43	1.68	1.76	1	1.47	1.25	1.93	1.71	1.38	1.9
Gaiellaceae	0.356	0.531	0.297	0.384	0.237	0.403	0.459	0.625	0.378	0.369	0.444	0.6	0.494	0.344	0.469	0.372	0.403	0.366	1.4
Rhizobiaceae	3.13	2.1	4.83	4.03	5.59	3.86	2.13	2.73	2.25	2.79	3.57	3.03	2.08	3.22	2.03	2.67	3.78	2.67	1.4
Bacillaceae_1	1	0.85	0.513	0.506	0.447	0.822	2.91	1.34	1.6	1.85	0.963	3.56	0.475	0.231	0.566	0.469	0.328	0.606	1.4
Streptomycetaceae	3.01	2.81	3.25	2.27	1.06	2.05	2.3	3.63	8.21	4.63	3.02	3.16	4.06	3.35	3.12	6.01	4.28	3.19	1.2
Flavobacteriaceae	1.44	1.68	6.73	2.34	4.43	1.95	1.45	6.32	6.26	4.4	2	1.76	3.64	4.08	2.54	1.8	3.27	4.21	1.2
Caulobacteraceae	1.31	1.07	1.1	1.09	1.35	1.34	0.953	0.863	0.625	0.747	1.16	0.866	0.744	0.997	0.775	0.9	0.897	0.903	1.2
Phyllobacteriaceae	0.684	0.684	0.588	0.819	0.806	1.04	0.603	0.531	0.556	0.581	0.775	0.575	0.572	0.7	0.634	0.822	0.762	0.634	1.2
Solirubrobacteraceae	0.403	0.384	0.184	0.241	0.153	0.466	0.834	0.419	0.369	0.341	0.409	0.709	0.259	0.206	0.275	0.209	0.388	0.281	1.1
Planctomycetaceae	0.0344	0.225	0.134	0.0219	0.0562	0.0625	0.447	0.828	0.406	0.184	0.291	0.575	0.231	0.159	0.313	0.191	0.128	0.156	1.1
Bradyrhizobiaceae	2.65	2.87	3.21	2.85	2.8	2.77	3.05	2.58	1.86	2.09	3.45	2.68	2.28	2.16	2.45	2.54	2.58	2.67	1.1
Burkholderiales_incertae_sedis	1.74	1.35	2.15	2.03	2.48	2.02	1.55	1.29	1.51	1.67	1.78	1.38	1.41	1.98	1.85	1.86	1.65	1.59	1.0
Pseudomonadaceae	6.65	2.73	4.17	4.83	7.93	4.19	4.37	5.58	5.47	7.68	5.67	5.54	6.45	8.88	5.01	5.28	7.38	5.36	0.9
Microbacteriaceae	0.787	1.23	0.878	0.844	0.531	0.656	0.869	1.18	0.853	0.778	0.925	0.887	0.709	0.697	0.975	0.869	0.706	0.994	0.8
Polyangiaceae	0.356	0.153	0.219	0.344	0.191	0.275	0.534	0.206	0.363	0.294	0.369	0.497	0.2	0.272	0.328	0.303	0.244	0.253	0.8
Mycobacteriaceae	0.419	0.484	0.434	0.272	0.137	0.172	0.353	0.359	0.291	0.263	0.216	0.328	0.269	0.156	0.525	0.25	0.237	0.259	0.7
Rhodospirillaceae	0.475	0.584	0.388	0.269	0.197	0.366	1.05	0.606	0.531	0.534	0.531	0.672	0.494	0.409	0.631	0.559	0.322	0.541	0.7
Chitinophagaceae	0.156	0.112	0.075	0.0813	0.0375	0.0875	0.575	0.328	0.609	0.559	0.356	0.281	0.375	0.497	0.394	0.425	0.259	0.241	0.6
Hyphomonadaceae	0.266	0.234	0.175	0.169	0.137	0.231	0.416	0.287	0.247	0.287	0.278	0.341	0.225	0.225	0.325	0.331	0.209	0.403	0.6
Bdellovibrionaceae	0.153	0.122	0.106	0.213	0.309	0.141	0.156	0.125	0.166	0.169	0.153	0.0844	0.125	0.181	0.156	0.156	0.103	0.15	0.6
Methylobacteriaceae	0.194	0.188	0.0375	0.0594	0.1	0.103	0.194	0.144	0.122	0.125	0.106	0.281	0.0844	0.1	0.0813	0.0781	0.075	0.125	0.5
Geodermatophilaceae	0.0719	0.159	0.106	0.0687	0.0281	0.0813	0.112	0.197	0.0844	0.0781	0.134	0.284	0.0625	0.0719	0.0969	0.1	0.122	0.0781	0.5
Erythrobacteraceae	0.216	0.216	0.331	0.247	0.353	0.388	0.197	0.253	0.144	0.172	0.284	0.203	0.109	0.206	0.2	0.216	0.244	0.253	0.5
Sneathiellaceae	0.116	0.116	0.0781	0.0594	0.112	0.0969	0.116	0.0844	0.0813	0.0844	0.1	0.131	0.137	0.125	0.169	0.206	0.0875	0.103	0.5
Micrococcaceae	0.106	0.147	0.103	0.0906	0.05	0.0687	0.128	0.309	0.172	0.166	0.244	0.2	0.122	0.0813	0.147	0.228	0.15	0.172	0.4
Burkholderiaceae	0.0969	0.122	0.206	0.25	0.141	0.237	0.194	0.15	0.103	0.15	0.153	0.188	0.116	0.209	0.128	0.112	0.194	0.122	0.4
Streptosporangiaceae	0.172	0.666	0.197	0.525	0.0562	0.363	0.428	0.547	0.306	0.363	0.441	0.3	0.375	0.384	0.434	0.188	0.422	0.462	0.4
Methylophilaceae	0.219	0.322	0.153	0.166	0.45	0.487	0.156	0.384	0.2	0.222	0.263	0.172	0.303	0.381	0.537	0.294	0.25	0.275	0.4
Nannocystaceae	0.0875	0.075	0.0344	0.0406	0.0469	0.05	0.103	0.075	0.0781	0.075	0.0687	0.112	0.0875	0.075	0.109	0.0469	0.103	0.128	0.4
Bacteriovoracaceae	0.106	0.0969	0.234	0.184	0.6	0.194	0.172	0.184	0.163	0.247	0.166	0.134	0.234	0.522	0.159	0.109	0.244	0.125	0.4
Labilitrichaceae	0.0625	0.106	0.0719	0.0656	0.0281	0.0625	0.1	0.0406	0.0625	0.0656	0.103	0.0906	0.0438	0.0656	0.106	0.0875	0.0625	0.0906	0.4
Conexibacteraceae	0.0656	0.228	0.122	0.144	0.109	0.128	0.147	0.263	0.0938	0.0781	0.0938	0.166	0.172	0.0813	0.125	0.125	0.163	0.103	0.4
Cystobacteraceae	0.131	0.0875	0.0562	0.0313	0.0438	0.0625	0.131	0.109	0.0844	0.178	0.147	0.166	0.0781	0.0844	0.0844	0.0938	0.0438	0.0781	0.4
Thermomonosporaceae	4.17	6.38	2.18	4.9	3.16	3.53	4.5	5.94	4.44	3.81	4.63	3.86	7.42	7.99	5.57	6.5	5.44	5.03	0.3
Intrasporangiaceae	0.0781	0.141	0.106	0.0813	0.0562	0.0719	0.0938	0.1	0.0781	0.075	0.0781	0.103	0.0719	0.0656	0.1	0.1	0.0594	0.119	0.3
Leptospiraceae	0.0469	0.0344	0.0969	0.0781	0.15	0.0656	0.112	0.0781	0.125	0.184	0.134	0.0969	0.109	0.163	0.166	0.181	0.0656	0.15	0.3
