Phylum	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Proteobacteria	65.2	49.4	60.7	61.6	72.9	67.9	55.8	47.1	50.8	56	58.4	55.8	50.2	59.8	55.3	55.6	56.6	56.8	48.8
Actinobacteria	25.4	40.4	27.9	28.2	17.2	23.8	28.2	34.7	32.7	27.3	30	28.9	34.8	29.4	31.6	33.7	33.5	30.9	26.5
Unassigned	2.15	2.49	1.13	2.1	1.79	2.44	2.87	2.49	1.78	2.58	2.12	2.36	2.72	1.72	2.88	1.97	1.59	1.92	6.3
Bacteroidetes	3.05	2.66	7.37	3.14	5.18	2.42	4.07	8.07	8.98	7.67	3.94	3.47	5.53	6.36	5.11	4.39	4.78	6.05	5.3
Firmicutes	1.63	2.02	1.51	3.15	0.772	1.61	5.08	2.72	2.42	3.23	1.79	4.91	0.922	0.447	1.06	1.03	0.628	1.18	4.6
Chloroflexi	1.57	1.98	0.575	1.27	1.43	0.972	1.41	2.83	1.39	1.77	1.91	1.73	4.37	1.02	1.66	1.56	2.06	1.87	2.3
Acidobacteria	0.378	0.347	0.25	0.222	0.219	0.369	1.02	0.534	0.662	0.359	0.722	1.08	0.528	0.344	1.02	0.503	0.206	0.375	2.0
Verrucomicrobia	0.2	0.2	0.15	0.0969	0.0969	0.206	0.563	0.319	0.425	0.325	0.453	0.731	0.338	0.325	0.522	0.322	0.216	0.272	1.5
Planctomycetes	0.0687	0.234	0.15	0.0344	0.0781	0.0781	0.553	0.863	0.438	0.228	0.322	0.644	0.272	0.178	0.369	0.216	0.144	0.197	1.3
Spirochaetes	0.0625	0.0469	0.109	0.0875	0.156	0.0656	0.131	0.112	0.159	0.206	0.156	0.128	0.119	0.216	0.203	0.206	0.0687	0.181	0.3
Nitrospirae	0.0906	0.0844	0.0375	0.05	0.0375	0.0719	0.128	0.0594	0.0969	0.0781	0.106	0.103	0.0719	0.05	0.0781	0.294	0.0781	0.103	0.3
Candidatus_Saccharibacteria	0.0406	0.0469	0.0344	0.0125	0.109	0.0125	0.0281	0.1	0.025	0.0375	0.0469	0.0219	0.0187	0.00313	0.0625	0.0156	0.0125	0.0531	0.2
Chlamydiae	0.0375	0.0187	0.0469	0.0187	0.00937	0.0406	0.0687	0.0594	0.0687	0.0906	0.025	0.0438	0.0313	0.0375	0.125	0.0438	0.00625	0.0875	0.2
Armatimonadetes	0.00937	0.0125	0.0125	0.00937	0.0125	0.0156	0.0438	0.0531	0.0375	0.0375	0.0156	0.0313	0.0313	0.0281	0.0406	0.0344	0.0406	0.0281	0.1
Ignavibacteriae	0.00937	0.0219	0	0.0125	0	0.0406	0.00313	0.00937	0.00625	0.0938	0.00625	0.0125	0.00313	0	0.0219	0.00625	0.00625	0.025	0.1
Thaumarchaeota	0.00313	0.00937	0	0	0	0	0.00937	0.00937	0.00313	0	0.00313	0.0187	0.00937	0	0.00313	0.00937	0.00313	0.00937	0.0
