Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	11.3	11.1	7.56	8.63	7.71	10.5	14.4	12.4	10.3	11.7	11.2	13.3	10.9	8.79	13.1	10.3	8.55	11	25.9
Actinomycetales	23	37.1	25.8	25.9	15.7	21.2	23.7	30.5	29.9	24.5	26.7	24.4	31.9	27.1	28.5	31.4	30.6	28.2	17.5
Rhizobiales	12.4	11.2	15.2	13	14.8	14.3	12.7	10.9	8.6	9.85	12.9	12	8.27	9.53	10.4	10.4	10.7	11	11.0
Burkholderiales	26.8	18.6	24	26.8	33.7	30.1	16	13.6	20.1	20.6	19.4	17.2	20.6	24.1	19.6	20.6	21.6	20	7.7
Xanthomonadales	5.98	4.88	5.02	5.28	4.4	5.77	7.36	5.41	5.82	5.44	7.52	7.41	4.88	6.05	7.31	7.12	6.12	7.68	5.7
Bacillales	1.55	1.4	1.41	3.12	0.753	1.58	4.91	2.67	2.21	3.18	1.72	4.74	0.863	0.406	0.994	0.991	0.594	0.972	4.1
Myxococcales	1.65	1.38	1.26	1.6	1.27	1.38	2.08	1.17	1.74	1.59	1.85	1.84	1.54	1.57	1.8	1.51	1.61	1.67	4.1
Solirubrobacterales	0.8	0.978	0.55	0.703	0.472	0.978	1.53	1.11	0.7	0.706	0.841	1.35	0.672	0.544	0.691	0.525	1.01	0.716	2.8
Cytophagales	1.13	0.659	0.35	0.456	0.481	0.231	1.65	1.13	1.69	2.35	1.32	1.07	1.18	1.25	1.76	1.68	0.875	1.18	2.4
Sphingomonadales	2.02	1.95	3.44	2.86	3.11	2.74	1.65	1.61	1.34	1.61	1.98	1.97	1.12	1.69	1.47	2.17	1.96	1.67	2.4
Caulobacterales	1.57	1.31	1.28	1.26	1.49	1.57	1.37	1.15	0.872	1.03	1.44	1.21	0.969	1.22	1.1	1.23	1.11	1.31	1.8
Gaiellales	0.356	0.531	0.297	0.384	0.237	0.403	0.459	0.625	0.378	0.369	0.444	0.6	0.494	0.344	0.469	0.372	0.403	0.366	1.4
Acidimicrobiales	0.347	0.484	0.4	0.303	0.256	0.372	0.769	0.553	0.416	0.55	0.591	0.681	0.478	0.453	0.566	0.397	0.462	0.441	1.4
Flavobacteriales	1.5	1.73	6.78	2.37	4.45	1.96	1.56	6.4	6.4	4.49	2.06	1.88	3.73	4.27	2.67	1.93	3.41	4.31	1.3
Rhodospirillales	0.734	0.841	0.613	0.466	0.275	0.662	1.39	0.766	0.747	0.741	0.713	0.991	0.659	0.509	0.975	0.863	0.438	0.75	1.3
Planctomycetales	0.0344	0.225	0.134	0.0219	0.0562	0.0625	0.447	0.828	0.406	0.184	0.291	0.575	0.231	0.159	0.313	0.191	0.128	0.156	1.1
Sphingobacteriales	0.287	0.2	0.15	0.234	0.203	0.166	0.709	0.403	0.722	0.694	0.472	0.4	0.506	0.734	0.497	0.659	0.375	0.403	1.0
Bdellovibrionales	0.259	0.219	0.341	0.397	0.909	0.334	0.328	0.309	0.328	0.416	0.319	0.219	0.359	0.703	0.316	0.266	0.347	0.275	1.0
Pseudomonadales	6.65	2.73	4.17	4.83	7.93	4.19	4.37	5.58	5.47	7.68	5.67	5.54	6.45	8.88	5.01	5.28	7.38	5.36	0.9
Desulfuromonadales	0.125	0.0781	0.0813	0.109	0.0313	0.0656	0.216	0.159	0.169	0.128	0.169	0.153	0.128	0.153	0.122	0.0875	0.0781	0.2	0.5
Chloroflexales	0.294	0.45	0.166	0.278	0.303	0.222	0.244	0.394	0.319	0.441	0.291	0.297	0.487	0.3	0.369	0.338	0.209	0.344	0.5
Sneathiellales	0.116	0.116	0.0781	0.0594	0.112	0.0969	0.116	0.0844	0.0813	0.0844	0.1	0.131	0.137	0.125	0.169	0.206	0.0875	0.103	0.5
Methylophilales	0.219	0.322	0.153	0.166	0.45	0.487	0.156	0.384	0.2	0.222	0.263	0.172	0.303	0.381	0.537	0.294	0.25	0.275	0.4
Clostridiales	0.0625	0.606	0.0781	0.0344	0.0156	0.0187	0.131	0.0406	0.194	0.0406	0.0562	0.122	0.0375	0.0344	0.0438	0.0344	0.0281	0.206	0.4
Spirochaetales	0.0625	0.0469	0.109	0.0875	0.156	0.0656	0.131	0.112	0.159	0.206	0.156	0.128	0.119	0.216	0.203	0.206	0.0687	0.181	0.3
Herpetosiphonales	0.378	0.428	0.178	0.413	0.525	0.203	0.281	1.1	0.128	0.556	0.953	0.631	2.5	0.191	0.381	0.422	1.23	0.822	0.3
Opitutales	0.0125	0.0219	0.0281	0.0187	0.025	0.0375	0.103	0.0719	0.103	0.0781	0.153	0.225	0.109	0.0687	0.169	0.0906	0.0656	0.0562	0.3
Nitrospirales	0.0906	0.0844	0.0375	0.05	0.0375	0.0719	0.128	0.0594	0.0969	0.0781	0.106	0.103	0.0719	0.05	0.0781	0.294	0.0781	0.103	0.3
Rhodobacterales	0.0781	0.0438	0.0406	0.0594	0.0187	0.0594	0.0656	0.0687	0.0625	0.05	0.0625	0.0781	0.0406	0.0219	0.0406	0.0375	0.0594	0.0344	0.2
