Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	40.4	40.7	33.8	36.6	35.5	41.5	41.3	38.5	37.4	36.9	37.7	39.5	39.3	38.4	42.3	38.8	35.1	40.5	51.1
Nocardioides	1.67	2.38	2.38	1.98	1.67	2.2	1.63	2.77	1.82	1.55	2.29	1.93	1.49	1.34	2	1.95	1.66	1.63	2.9
Paenibacillus	0.322	0.309	0.197	2.27	0.2	0.616	1.6	0.981	0.378	1.17	0.237	0.675	0.294	0.0906	0.253	0.206	0.169	0.166	1.7
Steroidobacter	2.6	2.18	1.95	1.87	1.26	1.97	3.74	2.43	2.56	2.53	3.14	3.24	2.23	3.03	3.51	3.44	2.61	3.38	1.6
Gaiella	0.356	0.531	0.297	0.384	0.237	0.403	0.459	0.625	0.378	0.369	0.444	0.6	0.494	0.344	0.469	0.372	0.403	0.366	1.4
Bacillus	0.938	0.794	0.478	0.478	0.419	0.781	2.84	1.28	1.53	1.78	0.912	3.46	0.447	0.203	0.522	0.403	0.294	0.569	1.3
Streptomyces	3.01	2.81	3.25	2.27	1.06	2.05	2.3	3.63	8.21	4.63	3.02	3.16	4.06	3.35	3.12	6.01	4.28	3.19	1.2
Ohtaekwangia	0.656	0.413	0.169	0.172	0.347	0.0813	0.825	0.544	0.762	1.53	0.675	0.469	0.641	0.566	0.841	0.922	0.366	0.494	1.1
Solirubrobacter	0.403	0.384	0.184	0.241	0.153	0.466	0.834	0.419	0.369	0.341	0.409	0.709	0.259	0.206	0.275	0.209	0.388	0.281	1.1
Flavobacterium	1.42	1.66	6.67	2.33	4.4	1.93	1.42	6.24	6.22	4.3	1.94	1.75	3.63	4.06	2.49	1.46	3.26	4.17	1.0
Gp10	0.244	0.178	0.178	0.163	0.172	0.247	0.366	0.219	0.375	0.166	0.291	0.363	0.156	0.166	0.637	0.234	0.0813	0.213	1.0
Sphingomonas	1.18	1.06	1.94	2.05	1.61	1.51	0.903	0.578	0.9	0.75	0.869	1.19	0.556	1.06	0.713	1.15	0.775	0.766	1.0
Mesorhizobium	0.466	0.434	0.481	0.581	0.509	0.613	0.513	0.413	0.384	0.434	0.572	0.375	0.359	0.381	0.441	0.637	0.594	0.494	1.0
Lysobacter	0.828	0.775	1.08	1.29	0.991	0.978	0.731	0.816	1.06	0.691	1.27	1.13	0.756	1.17	0.819	1.42	1.23	1.41	0.9
Devosia	1.4	1.07	1.66	1.44	2.73	1.77	0.816	1.42	0.644	0.956	1.09	0.863	0.681	0.813	0.922	0.863	1	1.1	0.8
Subdivision3_genera_incertae_sedis	0.15	0.112	0.0562	0.0594	0.0406	0.0938	0.231	0.125	0.181	0.184	0.141	0.222	0.116	0.131	0.231	0.122	0.0875	0.159	0.8
Rhizobium	1.65	1.18	2.39	2.46	3.08	2.21	0.934	0.919	1.07	1.35	1.77	1.4	1.11	1.83	1.06	1.23	1.76	1.17	0.7
Pedomicrobium	0.413	0.475	0.378	0.322	0.147	0.225	0.609	0.303	0.291	0.309	0.378	0.45	0.303	0.278	0.319	0.206	0.0969	0.372	0.7
Mycobacterium	0.419	0.484	0.434	0.272	0.137	0.172	0.353	0.359	0.291	0.263	0.216	0.328	0.269	0.156	0.525	0.25	0.237	0.259	0.7
Actinoplanes	1.9	3.02	1.74	2.06	0.969	2.43	1.82	2.43	3.3	2.05	2.57	1.93	2.49	1.39	1.93	1.91	2.9	2.16	0.7
Hyphomicrobium	0.553	0.544	0.756	0.384	0.431	0.797	0.613	0.456	0.247	0.294	0.438	0.544	0.234	0.281	0.334	0.325	0.306	0.372	0.6
Bdellovibrio	0.153	0.122	0.106	0.213	0.309	0.141	0.156	0.125	0.166	0.169	0.153	0.0844	0.125	0.181	0.156	0.156	0.103	0.15	0.6
Arenimonas	0.169	0.112	0.231	0.209	0.334	0.169	0.172	0.122	0.119	0.172	0.431	0.213	0.134	0.128	0.209	0.184	0.259	0.284	0.6
Pseudonocardia	0.256	0.444	0.544	0.359	0.153	0.253	0.384	0.406	0.278	0.291	0.334	0.347	0.331	0.334	0.284	0.472	0.256	0.434	0.5
Bradyrhizobium	2.2	2.5	2.23	1.8	2.08	2.31	2.69	2.02	1.65	1.8	2.92	2.35	1.85	1.85	2.12	2.04	1.86	2.19	0.5
Microvirga	0.194	0.188	0.0375	0.0594	0.1	0.103	0.194	0.144	0.122	0.125	0.106	0.281	0.0844	0.1	0.0813	0.0781	0.075	0.125	0.5
Blastococcus	0.0562	0.141	0.103	0.0562	0.0187	0.075	0.1	0.166	0.075	0.0687	0.122	0.259	0.0594	0.0687	0.0875	0.0813	0.1	0.0719	0.5
Aquabacterium	0.509	0.384	0.391	0.487	0.737	0.563	0.375	0.45	0.378	0.406	0.6	0.363	0.328	0.372	0.456	0.462	0.406	0.409	0.5
Agromyces	0.6	1.18	0.803	0.791	0.456	0.563	0.744	1.06	0.741	0.684	0.762	0.703	0.65	0.656	0.869	0.766	0.581	0.85	0.4
Massilia	1.39	0.866	0.953	0.972	1.33	1.73	0.478	0.344	0.713	0.506	0.634	0.459	0.541	0.588	0.672	0.456	1.06	0.684	0.4
Arthrobacter	0.106	0.147	0.103	0.0906	0.05	0.0687	0.128	0.309	0.172	0.166	0.244	0.2	0.122	0.0813	0.147	0.228	0.15	0.172	0.4
Dongia	0.428	0.55	0.331	0.244	0.181	0.322	0.947	0.588	0.475	0.475	0.497	0.628	0.453	0.384	0.6	0.487	0.278	0.491	0.4
Phenylobacterium	0.762	0.713	0.681	0.534	0.703	0.775	0.537	0.328	0.338	0.384	0.572	0.472	0.438	0.55	0.409	0.466	0.466	0.5	0.4
Pseudomonas	0.316	0.213	0.294	0.3	1.13	0.284	0.713	2.02	0.356	2.06	1.01	1.93	0.109	0.144	0.456	0.222	0.944	0.578	0.4
Labilithrix	0.0625	0.106	0.0719	0.0656	0.0281	0.0625	0.1	0.0406	0.0625	0.0656	0.103	0.0906	0.0438	0.0656	0.106	0.0875	0.0625	0.0906	0.4
Ramlibacter	0.147	0.125	0.156	0.103	0.128	0.137	0.172	0.15	0.106	0.0969	0.109	0.175	0.075	0.0781	0.128	0.116	0.075	0.119	0.4
Dactylosporangium	0.122	0.237	0.0969	0.109	0.00937	0.0875	0.237	0.272	0.181	0.156	0.125	0.191	0.134	0.125	0.266	0.184	0.122	0.466	0.4
Ferrovibrio	0.1	0.0938	0.0781	0.0531	0.106	0.0875	0.0875	0.0781	0.075	0.075	0.0938	0.112	0.119	0.112	0.153	0.184	0.075	0.0875	0.4
Conexibacter	0.0656	0.228	0.122	0.144	0.109	0.128	0.147	0.263	0.0938	0.0781	0.0938	0.166	0.172	0.0813	0.125	0.125	0.163	0.103	0.4
Peredibacter	0.103	0.0938	0.225	0.175	0.581	0.175	0.153	0.175	0.147	0.237	0.163	0.122	0.206	0.506	0.144	0.0938	0.228	0.116	0.3
Blastopirellula	0.00313	0.0906	0.0719	0.00313	0.00937	0.0219	0.184	0.316	0.194	0.0594	0.109	0.269	0.0875	0.05	0.116	0.0781	0.0438	0.0625	0.3
Lentzea	2.38	5.34	2.7	2.02	2.21	2.35	2.34	2.32	1.8	2.29	3.27	2.58	3.87	2.73	3.38	3.2	2.7	2.34	0.3
Aeromicrobium	0.356	0.547	0.822	0.444	0.419	0.475	0.163	0.303	0.247	0.266	0.313	0.341	0.228	0.222	0.353	0.353	0.219	0.278	0.3
Brevundimonas	0.166	0.122	0.194	0.237	0.35	0.15	0.112	0.203	0.0375	0.128	0.1	0.0844	0.0438	0.0656	0.141	0.116	0.137	0.0969	0.3
Hyphomonas	0.178	0.178	0.147	0.125	0.122	0.178	0.313	0.163	0.159	0.184	0.197	0.237	0.15	0.169	0.241	0.188	0.109	0.272	0.3
Gp17	0.0219	0.05	0.025	0.00625	0.0219	0.0313	0.231	0.109	0.0781	0.0281	0.137	0.2	0.106	0.0813	0.125	0.0969	0.0313	0.0375	0.3
Herpetosiphon	0.378	0.428	0.178	0.413	0.525	0.203	0.281	1.1	0.128	0.556	0.953	0.631	2.5	0.191	0.381	0.422	1.23	0.822	0.3
Bosea	0.347	0.306	0.769	1	0.656	0.434	0.272	0.516	0.172	0.225	0.456	0.253	0.391	0.275	0.263	0.419	0.659	0.428	0.3
