SampleID	richness	chao1	ACE	shannon	simpson	invsimpson
KO1	1207	1462.81818181818	1473.9744389248	5.84487051975654	0.9895151	95.3752539366136
KO2	1201	1473.5023923445	1477.96658825793	5.90358186414179	0.99124972	114.282057259882
KO3	1038	1381.05681818182	1383.31620032925	5.5595696245365	0.98816432	84.4902869966069
KO4	1027	1266.28333333333	1261.21665588034	5.57613135354118	0.98877856	89.1151224798243
KO5	958	1240.06976744186	1262.81491119271	5.37435129109931	0.9852613	67.8485890885899
KO6	1119	1399.33673469388	1399.391804063	5.76005136649733	0.99082294	108.96735991701
OE1	1302	1507.57627118644	1512.17489866844	6.10660369147797	0.99297678	142.384832028614
OE2	1258	1439.70786516854	1493.99922503559	5.94739675972815	0.9914459	116.903005576273
OE3	1203	1458.83898305085	1495.90520608637	5.75565348318426	0.9895358	95.5639227078993
OE4	1216	1460.59915611814	1484.90750207076	5.87433106858976	0.99184998	122.699085401017
OE5	1235	1440.20746887967	1464.32399408571	5.95654108389824	0.99239686	131.524606938712
OE6	1308	1531.88381742739	1537.83476810711	6.0940872349902	0.99298106	142.471655264185
WT1	1178	1489.7316017316	1528.80429416182	5.61840486149633	0.98773184	81.5118159528405
WT2	1076	1365.73300970874	1373.06807561057	5.4247441017915	0.98495766	66.4790185569532
WT3	1235	1450.79352226721	1477.92502490149	5.9313979985127	0.99175338	121.261801804861
WT4	1206	1436.9561752988	1492.23588715124	5.83215046056681	0.9908037	108.739384317606
WT5	1115	1438.31428571429	1457.70756405233	5.51814852119713	0.9873308	78.9315821046317
WT6	1217	1473.54273504274	1494.04207775161	5.86787892398087	0.99182968	122.394226909105
