OTUID	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	OTUID2	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1055	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1055	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Incertae Sedis	uncultured bacterium
OTU_1056	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1056	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43 clade	uncultured bacterium
OTU_1057	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1057	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	uncultured bacterium
OTU_106	1	0	3	0	0	0	0	0	0	2	0	0	OTU_106	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Aestuariicoccus	Unassigned
OTU_1060	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1060	Bacteria	Bacillota	Bacilli	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	uncultured bacterium
OTU_1061	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1061	Bacteria	Patescibacteria	Gracilibacteria	Incertae Sedis	Incertae Sedis	Incertae Sedis	uncultured bacterium
OTU_1062	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1062	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	uncultured bacterium
OTU_1063	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1063	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	uncultured bacterium
OTU_1064	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1064	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Incertae Sedis	uncultured bacterium
OTU_1065	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1065	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Unassigned
OTU_1068	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1068	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus	marine metagenome
OTU_1069	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1069	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Saccharedens	uncultured bacterium
OTU_107	1	0	0	0	0	0	0	0	0	0	0	0	OTU_107	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Incertae Sedis	Picochlorum sp. SENEW3
OTU_1070	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1070	Bacteria	Actinomycetota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Incertae Sedis	uncultured actinobacterium
OTU_1071	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1071	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus	marine metagenome
OTU_1072	0	0	1	1	0	0	0	0	0	0	0	0	OTU_1072	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas	uncultured bacterium
OTU_1073	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1073	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Polaribacter	Polaribacter gangjinensis
OTU_1074	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1074	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga	Fulvivirga lutimaris
OTU_1075	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1075	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Unassigned
OTU_1076	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1076	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	uncultured organism
OTU_1077	0	0	1	0	0	1	0	0	0	0	0	0	OTU_1077	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Litorivicinaceae	Litorivicinus	Unassigned
OTU_1078	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1078	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	uncultured bacterium
OTU_1079	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1079	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	uncultured bacterium
OTU_108	1	0	0	0	0	0	0	0	0	0	0	0	OTU_108	Bacteria	Sva0485	Incertae Sedis	Incertae Sedis	Incertae Sedis	Incertae Sedis	uncultured prokaryote
OTU_1080	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1080	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Incertae Sedis	uncultured Flavobacteriia bacterium
OTU_1082	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1082	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Pseudotenacibaculum	Unassigned
OTU_1087	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1087	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade III	Incertae Sedis	uncultured bacterium
