	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_145	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	20	8	8
ASV_56	0	0	0	0	0	0	58	0	1	0	0	0	0	0	0	0	0	0
ASV_61	58	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_139	0	0	0	0	0	0	0	0	0	0	0	0	2	1	6	34	8	7
ASV_263	0	0	0	0	0	0	3	0	0	0	0	0	4	5	4	31	10	1
ASV_57	0	0	0	0	0	0	32	5	3	12	5	0	0	0	0	0	0	1
ASV_39	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	25	29	0
ASV_59	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	56	0	0
ASV_67	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	40
ASV_1082	0	0	0	0	0	0	9	1	1	1	0	0	2	2	38	1	0	1
ASV_31	0	0	0	0	0	0	47	0	3	0	2	0	4	0	0	0	0	0
ASV_33	0	0	0	0	0	0	21	0	3	26	4	0	0	0	0	1	1	0
ASV_47	0	0	0	0	0	0	1	0	55	0	0	0	0	0	0	0	0	0
ASV_489	0	0	0	0	0	0	0	0	1	0	2	0	0	0	9	3	6	35
ASV_496	36	16	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	0	0	0	0	0	0	0	0	18	30	0	1	6	0	0	0	0	0
ASV_103	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0
ASV_64	0	0	0	0	0	0	29	11	2	2	4	2	3	0	0	0	0	1
ASV_744	0	32	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_114	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	3	39
ASV_371	1	43	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	0	0	0	0	0	0	0	41	4	0	5	0	0	0	0	1	1	0
ASV_117	0	0	0	0	0	0	19	0	0	0	0	2	5	10	4	6	3	2
ASV_124	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	16	5	12
ASV_161	0	0	0	0	0	0	16	0	17	1	10	0	4	0	1	0	0	2
ASV_68	46	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_756	2	25	11	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_236	0	8	7	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_209	0	0	0	0	0	0	0	0	1	0	0	0	0	14	10	6	11	7
ASV_37	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0
ASV_50	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0
ASV_533	1	11	14	17	5	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_90	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_130	47	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_148	0	0	0	0	0	0	0	0	0	0	0	1	0	2	10	35	0	0
ASV_173	0	0	0	0	0	0	1	0	0	0	0	0	0	18	5	19	4	1
ASV_219	0	0	0	0	0	0	0	0	0	0	0	0	5	1	10	12	3	17
ASV_43	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	42	0	0
ASV_800	2	9	5	19	10	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_85	0	0	0	0	0	0	2	38	0	2	0	3	0	0	1	0	0	2
ASV_1206	0	0	0	0	0	0	4	2	0	0	0	0	7	4	8	9	6	7
ASV_140	0	0	0	0	0	0	0	0	0	0	0	0	13	32	0	0	2	0
