function	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	1029.51	796.24	1892.1700000000005	897.8000000000002	1073.7099999999996	413.85	2284.96	617.26	1038.11	585.4200000000002	1514.41	472.45	1197.6899999999996	1655.9	1705.31	2031.04	1499.0500000000004	1588.9599999999994
1.1.1.136-RXN	0.0	0.0	0.0	1.0	0.0	3.0	64.0	7.5	38.0	3.0	33.5	7.7	67.1	105.1	152.7	149.2	54.9	40.6
1.1.1.220-RXN	0.0	0.0	0.0	0.0	0.0	0.0	38.0	1.0	23.0	3.0	37.0	1.0	44.0	1.0	6.0	16.0	5.0	7.0
1.1.1.253-RXN	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.5	2.5	0.5	7.5	3.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.261-RXN	26.0	28.5	224.0	82.0	40.5	109.0	0.0	0.0	0.0	0.0	0.0	8.0	3.0	0.0	0.0	0.0	0.0	0.0
1.1.1.264-RXN	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33
1.1.1.271-RXN	526.38	96.98000000000002	365.62000000000006	41.8	166.75	1.0	1076.95	195.58	466.5	315.5	790.0	183.25	428.5	411.25	476.0	502.0	173.25	439.75
1.1.1.291-RXN	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.34-RXN	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	1.0	1.0	5.0	3.0	1.0	0.0	0.0	3.0
1.1.1.39-RXN	582.5	438.83	1039.84	533.0	519.25	270.3	1269.87	252.76	654.17	257.08	887.72	258.52	541.6800000000002	472.05	637.9400000000003	771.98	867.5499999999997	876.8200000000003
1.1.1.83-RXN	0.0	0.0	0.0	0.0	0.0	0.0	156.0	4.0	3.0	12.0	46.0	3.0	38.0	0.0	8.0	1.0	24.0	8.0
1.10.2.2-RXN	0.0	0.0	0.0	0.0	0.0	0.0	82.0	6.0	27.0	5.0	46.0	3.2	96.6	113.6	160.2	156.2	82.4	36.6
1.11.1.15-RXN	1488.0300000000002	565.42	1703.2600000000002	979.8	1197.3	247.05	4020.6699999999987	1110.5099999999998	2192.8100000000004	1016.33	3271.4	904.11	2136.24	2599.8299999999995	2525.33	3328.97	2197.2300000000005	2917.6499999999987
1.12.1.3-RXN	1234.9	815.14	904.22	1408.0	1283.29	266.0	389.83	122.84	385.33	47.34	343.9899999999999	78.83999999999997	118.33	15.0	42.66	74.66	49.0	244.33
1.12.5.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	86.0	2.0	14.0	0.0	90.0	2.0	72.0	2.0	12.0	32.0	14.0	16.0
1.13.11.49-RXN	0.0	0.0	0.0	0.0	0.0	0.0	54.67	9.0	7.0	20.0	9.0	16.33	31.5	152.67000000000004	117.33	231.67	242.33	250.66000000000003
1.14.19.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	16.0	2.0
1.14.19.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	2.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
1.15.1.2-RXN	430.0	237.0	651.5	446.5	393.0	115.0	1257.0	201.34	609.0099999999999	212.83	825.49	249.67	449.93	190.0	353.0	422.83	340.3300000000001	615.3300000000003
1.17.1.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	50.0	3.0	1.0	2.0	0.0	1.2	57.6	109.6	165.2	160.2	76.4	44.6
1.17.4.2-RXN	1321.51	768.38	1736.8800000000006	985.8	1140.0000000000002	355.85	2003.58	634.9999999999999	1112.1800000000003	652.1700000000002	1462.98	456.88999999999993	1150.2399999999998	1549.0100000000002	1559.7699999999998	2080.08	1495.0300000000007	1546.3299999999995
1.18.1.2-RXN	588.87	469.0	1013.92	647.0	646.0	250.05	971.67	160.92	544.75	177.0	782.25	268.4	605.7	370.62	483.98	438.57	319.88	388.44
1.2.1.2-RXN	1.0	11.0	90.0	136.0	21.0	59.0	765.65	110.34	236.83	100.34	575.4900000000001	107.66	397.51	210.36	94.86	382.3	166.52	233.33
1.2.1.27-RXN	0.0	0.0	0.0	9.0	1.0	3.0	7.66	0.0	3.0	17.5	8.0	10.0	10.34	5.18	10.85	37.81999999999999	44.51000000000001	27.5
1.2.1.66-RXN	0.0	0.0	0.0	0.0	0.0	0.0	20.67	0.0	0.0	0.0	0.0	2.33	17.0	103.67	55.33	40.67	48.33	72.66
1.2.1.9-RXN	0.0	0.5700000000000001	76.17	39.0	0.17	50.0	101.4	64.5	14.2	8.0	57.1	35.78	99.3	126.92	153.45	112.75	175.4	229.97
1.2.3.3-RXN	0.0	0.0	0.0	0.0	1.25	1.0	84.55	170.57999999999996	30.74	58.34	11.33	28.17	100.17	496.32	416.02	546.45	552.6899999999998	283.05999999999995
1.2.4.4-RXN	270.12	4.25	0.0	0.0	17.16	0.0	25.5	1.33	9.5	4.0	13.5	10.5	11.0	5.0	24.5	20.0	24.0	21.83
1.2.7.4-RXN	83.0	143.5	200.67	87.0	44.0	147.3	155.5	26.0	16.5	36.5	84.5	22.5	30.5	52.0	80.0	201.5	211.5	234.0
1.2.7.5-RXN	0.0	0.0	0.0	8.0	1.0	0.0	388.0	28.0	572.0	8.0	476.0	63.0	107.0	0.0	8.0	0.0	0.0	0.0
1.2.7.7-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0
1.2.7.8-RXN	1049.52	502.78	546.1	530.0	654.9200000000002	71.0	703.5	170.0	876.0	193.0	1113.0	268.34000000000003	409.5	6.0	66.0	41.0	55.0	142.5
1.2.99.7-RXN	1.0	11.0	14.0	33.0	7.0	1.0	128.0	6.0	34.5	3.0	59.5	13.5	2.0	0.0	0.0	0.0	0.0	0.0
1.21.4.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	117.9	263.0	85.65	154.3	131.0	129.3	249.95	283.7000000000001	242.6	215.7	429.05000000000007	130.6
1.21.4.4-RXN	13.0	17.0	24.0	62.0	39.0	16.0	581.9800000000001	49.25	603.3299999999998	78.66	529.25	106.66	302.24	65.58999999999999	77.07	71.84	120.76	212.07
1.3.1.54-RXN	244.0	209.83	462.34	222.0	179.25	104.1	737.49	140.41	315.67	155.07000000000005	453.9	146.66	360.59	125.58	196.33	486.91	454.33	560.83
1.3.1.9-RXN	1193.52	579.8799999999999	1231.63	677.3000000000002	777.1700000000002	251.3	2618.03	708.4999999999999	1121.94	700.33	1652.4	452.31	1216.3199999999995	1579.4399999999996	1506.75	2135.55	1575.4200000000005	1673.6899999999994
1.3.99.23-RXN	0.0	0.0	0.0	0.0	0.0	0.0	340.25	90.0	80.25	226.0	111.5	10.25	49.5	19.0	84.0	40.0	29.5	66.5
1.3.99.5-RXN	254.76	20.89	0.71	85.0	171.96	0.0	72.0	0.0	44.5	5.5	36.5	9.5	55.0	0.5	2.0	0.0	1.5	1.5
1.4.1.11-RXN	0.0	0.0	0.0	0.0	6.0	8.0	148.66	48.91	334.83	106.41	369.74	66.58	222.83	36.33	66.83	136.82999999999998	68.0	171.57999999999996
1.4.1.21-RXN	223.62	4.39	0.71	8.0	21.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.4.3.19-RXN	0.0	0.0	0.0	0.0	0.0	0.0	23.67	3.0	1.0	1.0	0.0	3.53	54.6	207.27	201.53	179.87	96.73	91.26
1.5.1.20-RXN	883.51	520.05	1043.71	564.8	729.0	246.05	967.14	149.57	212.52000000000004	100.0	483.17	244.06	466.74000000000007	882.27	880.9299999999997	1120.47	854.08	1064.6200000000003
1.5.1.28-RXN	0.0	0.0	0.0	8.0	1.0	0.0	97.0	7.0	143.0	2.0	119.0	16.0	26.0	0.0	3.0	0.0	0.0	0.0
1.5.1.34-RXN	23.0	0.0	0.0	0.0	10.66	0.0	47.25	4.33	2.25	2.0	2.5	2.25	36.5	247.0	155.0	239.0	54.5	86.5
1.5.1.7-RXN	587.76	407.58999999999986	982.08	394.8	523.2900000000002	191.3	1203.5	265.16	539.41	329.83	930.0	234.92	472.67	760.4000000000002	731.2700000000002	839.7	455.61	586.9799999999998
1.5.5.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	44.0	3.0	2.0	2.0	4.0	7.2	58.6	111.6	153.2	141.2	76.4	25.6
1.6.4.4-RXN	323.76	94.09	344.91	115.8	178.29000000000005	0.0	1112.86	193.83	543.0	303.0	833.0	186.79	481.94000000000005	571.7800000000002	636.55	733.5200000000002	258.91	481.85
1.7.2.2-RXN	74.14	0.0	203.0	8.0	17.67	0.0	898.66	164.5	480.5	308.0	759.5	152.75	285.33999999999986	218.18	351.85	379.32	148.51	404.75
1.7.2.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	129.0	6.0	75.0	14.0	135.0	3.0	138.0	4.0	22.0	49.0	22.0	25.0
1.8.1.15-RXN	0.0	0.0	0.0	0.0	0.0	0.0	25.67	4.0	2.0	0.0	0.0	14.33	18.5	103.67	56.33	40.67	52.33	72.66
1.8.1.4-RXN	786.13	148.36	483.63	346.5	337.71	118.75	1765.24	588.9300000000002	895.38	380.18	1227.76	398.56000000000006	972.89	1893.65	1816.67	2158.8699999999994	1542.12	1540.8399999999995
1.8.4.12-RXN	666.26	272.99	726.7500000000001	441.3	342.46	103.0	2344.140000000001	862.91	1213.59	808.99	1587.2199999999993	469.29	1243.06	1870.8500000000006	1786.5800000000006	2434.419999999999	1961.12	1953.1400000000006
1.8.4.8-RXN	40.62000000000001	186.95	230.2	218.8	176.32999999999996	10.0	193.45	14.33	6.75	1.0	15.5	18.12	122.1	156.6	179.2	215.2	88.9	62.1
1.8.5.2-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	2.0	1.0	0.0	2.0	1.0	1.0	7.0	13.0	20.0	21.33
1.8.98.1-RXN	48.0	70.5	111.0	338.0	161.5	3.0	703.0	33.0	192.0	46.5	356.0	104.01	88.5	0.0	3.0	1.5	4.5	3.0
1PFRUCTPHOSN-RXN	467.5	430.47	916.34	526.0	511.42	244.3	805.82	375.49	415.05	278.16	510.27	197.05	452.6	844.26	755.25	1094.11	1109.59	1005.1400000000003
1TRANSKETO-RXN	2357.07	1101.35	2923.9299999999994	1394.3	1659.8799999999994	777.95	3755.52	974.59	1843.94	867.06	2840.71	871.0300000000002	1739.57	1800.2700000000002	1989.65	2554.29	2030.18	2779.09
2-DEHYDROPANTOATE-REDUCT-RXN	618.76	262.96	747.55	262.5	486.71	154.5	1094.21	311.3300000000001	668.03	378.08	913.68	228.44000000000003	579.6199999999999	469.18	671.1000000000003	527.5100000000001	622.16	588.2900000000002
2-ENOATE-REDUCTASE-RXN	6.0	6.0	0.0	0.0	24.0	35.8	6.0	0.0	0.0	4.0	5.5	2.0	6.5	0.0	0.5	0.0	1.0	0.5
2-HALOACID-DEHALOGENASE-RXN	127.0	208.5	273.0	265.0	244.5	29.0	12.98	23.0	25.33	14.66	19.0	10.66	26.989999999999995	143.34000000000003	143.32000000000005	86.34	205.01	75.32
2-ISOPROPYLMALATESYN-RXN	933.51	518.91	1243.9999999999998	723.8000000000002	791.37	303.05	1621.2300000000002	189.91	502.44	154.34	1007.68	330.15	660.9100000000002	835.9399999999998	795.5999999999998	1217.14	1051.0800000000004	1173.62
2-METHYLCITRATE-SYNTHASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	1.0	0.0	1.2	37.6	88.6	145.2	135.2	59.4	20.6
2-NITROPROPANE-DIOXYGENASE-RXN	0.0	0.0	0.0	1.0	0.0	4.0	264.66	45.91	264.83000000000004	62.41	245.74	46.11	170.68	143.93	216.03	295.0300000000001	170.4	266.18000000000006
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	0.0	0.5	0.0	33.0	0.5	0.0	39.0	4.0	2.0	2.0	1.0	2.2	51.6	112.6	154.2	142.2	78.4	32.6
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	326.38	94.34	344.91	116.8	180.79	14.8	1228.53	207.41	619.58	381.41	909.24	243.86	558.6800000000002	698.6	776.3600000000001	923.2	543.23	835.4200000000003
