bray_curtis	feces1	feces5	feces3	feces4	feces2	feces6	plaque1	plaque2	saliva6	plaque6	saliva4	plaque4	saliva2	saliva3	plaque5	plaque3	saliva1	saliva5
feces1	0	0.710	0.711	0.717	0.807	0.878	0.992	0.983	0.982	0.989	0.977	0.991	0.989	0.983	0.996	0.994	0.991	0.989
feces5	0.710	0	0.718	0.739	0.810	0.817	0.993	0.984	0.985	0.989	0.982	0.992	0.991	0.988	0.997	0.994	0.991	0.994
feces3	0.711	0.718	0	0.688	0.727	0.892	0.996	0.985	0.987	0.991	0.986	0.994	0.995	0.992	0.999	0.995	0.994	0.998
feces4	0.717	0.739	0.688	0	0.842	0.825	0.994	0.997	0.993	0.997	0.984	0.995	0.989	0.981	0.994	0.997	0.993	0.984
feces2	0.807	0.810	0.727	0.842	0	0.892	0.998	0.998	0.998	0.998	0.998	0.998	0.998	0.998	0.998	0.999	0.997	0.998
feces6	0.878	0.817	0.892	0.825	0.892	0	0.992	0.996	0.991	0.995	0.988	0.994	0.991	0.990	0.995	0.996	0.990	0.988
plaque1	0.992	0.993	0.996	0.994	0.998	0.992	0	0.613	0.596	0.673	0.677	0.739	0.725	0.744	0.772	0.843	0.776	0.836
plaque2	0.983	0.984	0.985	0.997	0.998	0.996	0.613	0	0.562	0.592	0.674	0.755	0.758	0.674	0.594	0.774	0.752	0.940
saliva6	0.982	0.985	0.987	0.993	0.998	0.991	0.596	0.562	0	0.605	0.563	0.813	0.653	0.612	0.680	0.800	0.648	0.789
plaque6	0.989	0.989	0.991	0.997	0.998	0.995	0.673	0.592	0.605	0	0.471	0.767	0.662	0.702	0.638	0.770	0.733	0.874
saliva4	0.977	0.982	0.986	0.984	0.998	0.988	0.677	0.674	0.563	0.471	0	0.765	0.571	0.585	0.780	0.762	0.595	0.673
plaque4	0.991	0.992	0.994	0.995	0.998	0.994	0.739	0.755	0.813	0.767	0.765	0	0.491	0.817	0.684	0.787	0.790	0.926
saliva2	0.989	0.991	0.995	0.989	0.998	0.991	0.725	0.758	0.653	0.662	0.571	0.491	0	0.680	0.723	0.768	0.639	0.772
saliva3	0.983	0.988	0.992	0.981	0.998	0.990	0.744	0.674	0.612	0.702	0.585	0.817	0.680	0	0.612	0.805	0.640	0.718
plaque5	0.996	0.997	0.999	0.994	0.998	0.995	0.772	0.594	0.680	0.638	0.780	0.684	0.723	0.612	0	0.786	0.811	0.974
plaque3	0.994	0.994	0.995	0.997	0.999	0.996	0.843	0.774	0.800	0.770	0.762	0.787	0.768	0.805	0.786	0	0.564	0.926
saliva1	0.991	0.991	0.994	0.993	0.997	0.990	0.776	0.752	0.648	0.733	0.595	0.790	0.639	0.640	0.811	0.564	0	0.723
saliva5	0.989	0.994	0.998	0.984	0.998	0.988	0.836	0.940	0.789	0.874	0.673	0.926	0.772	0.718	0.974	0.926	0.723	0
