unifrac	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.539	0.469	0.451	0.444	0.618	0.967	0.963	0.966	0.965	0.980	0.964	0.963	0.966	0.963	0.962	0.966	0.962
feces2	0.539	0	0.490	0.709	0.585	0.736	0.914	0.897	0.911	0.965	0.976	0.975	0.933	0.944	0.911	0.952	0.924	0.947
feces3	0.469	0.490	0	0.535	0.455	0.769	0.926	0.894	0.870	0.958	0.983	0.966	0.918	0.933	0.881	0.940	0.901	0.942
feces4	0.451	0.709	0.535	0	0.579	0.562	0.956	0.977	0.957	0.953	0.984	0.967	0.955	0.953	0.964	0.954	0.968	0.953
feces5	0.444	0.585	0.455	0.579	0	0.730	0.973	0.960	0.963	0.962	0.988	0.967	0.955	0.951	0.935	0.938	0.944	0.966
feces6	0.618	0.736	0.769	0.562	0.730	0	0.933	0.973	0.935	0.931	0.975	0.944	0.932	0.935	0.928	0.931	0.936	0.928
plaque1	0.967	0.914	0.926	0.956	0.973	0.933	0	0.325	0.496	0.515	0.494	0.408	0.538	0.518	0.450	0.495	0.659	0.392
plaque2	0.963	0.897	0.894	0.977	0.960	0.973	0.325	0	0.411	0.508	0.411	0.334	0.509	0.480	0.419	0.488	0.728	0.381
plaque3	0.966	0.911	0.870	0.957	0.963	0.935	0.496	0.411	0	0.510	0.551	0.473	0.334	0.415	0.352	0.422	0.553	0.452
plaque4	0.965	0.965	0.958	0.953	0.962	0.931	0.515	0.508	0.510	0	0.435	0.553	0.562	0.402	0.523	0.561	0.681	0.535
plaque5	0.980	0.976	0.983	0.984	0.988	0.975	0.494	0.411	0.551	0.435	0	0.380	0.595	0.487	0.527	0.612	0.838	0.507
plaque6	0.964	0.975	0.966	0.967	0.967	0.944	0.408	0.334	0.473	0.553	0.380	0	0.493	0.372	0.422	0.366	0.677	0.341
saliva1	0.963	0.933	0.918	0.955	0.955	0.932	0.538	0.509	0.334	0.562	0.595	0.493	0	0.330	0.238	0.271	0.423	0.341
saliva2	0.966	0.944	0.933	0.953	0.951	0.935	0.518	0.480	0.415	0.402	0.487	0.372	0.330	0	0.308	0.282	0.509	0.322
saliva3	0.963	0.911	0.881	0.964	0.935	0.928	0.450	0.419	0.352	0.523	0.527	0.422	0.238	0.308	0	0.264	0.445	0.299
saliva4	0.962	0.952	0.940	0.954	0.938	0.931	0.495	0.488	0.422	0.561	0.612	0.366	0.271	0.282	0.264	0	0.461	0.301
saliva5	0.966	0.924	0.901	0.968	0.944	0.936	0.659	0.728	0.553	0.681	0.838	0.677	0.423	0.509	0.445	0.461	0	0.580
saliva6	0.962	0.947	0.942	0.953	0.966	0.928	0.392	0.381	0.452	0.535	0.507	0.341	0.341	0.322	0.299	0.301	0.580	0
