manhatten	feces1	feces5	feces4	feces6	feces2	feces3	plaque1	saliva6	plaque6	saliva4	plaque3	saliva1	saliva5	plaque4	saliva2	plaque5	saliva3	plaque2
feces1	0	279.0	308.0	380.0	363.0	320.0	918.0	885.0	793.0	824.0	718.0	832.0	768.0	671.0	717.0	636.0	769.0	841.0
feces5	279.0	0	311.0	341.0	344.0	323.0	877.0	834.0	724.0	771.0	663.0	771.0	719.0	630.0	664.0	589.0	720.0	788.0
feces4	308.0	311.0	0	310.0	421.0	358.0	834.0	797.0	703.0	734.0	622.0	742.0	676.0	593.0	621.0	532.0	661.0	763.0
feces6	380.0	341.0	310.0	0	359.0	340.0	844.0	803.0	717.0	746.0	644.0	748.0	690.0	609.0	637.0	574.0	701.0	779.0
feces2	363.0	344.0	421.0	359.0	0	245.0	1035.0	996.0	888.0	931.0	811.0	927.0	877.0	784.0	822.0	735.0	876.0	938.0
feces3	320.0	323.0	358.0	340.0	245.0	0	962.0	919.0	809.0	860.0	732.0	866.0	806.0	697.0	745.0	656.0	809.0	867.0
plaque1	918.0	877.0	834.0	844.0	1035.0	962.0	0	219.0	301.0	274.0	404.0	324.0	302.0	385.0	359.0	420.0	331.0	285.0
saliva6	885.0	834.0	797.0	803.0	996.0	919.0	219.0	0	274.0	235.0	359.0	279.0	275.0	354.0	318.0	387.0	278.0	282.0
plaque6	793.0	724.0	703.0	717.0	888.0	809.0	301.0	274.0	0	143.0	301.0	297.0	317.0	280.0	270.0	357.0	328.0	336.0
saliva4	824.0	771.0	734.0	746.0	931.0	860.0	274.0	235.0	143.0	0	322.0	248.0	250.0	311.0	271.0	402.0	291.0	349.0
plaque3	718.0	663.0	622.0	644.0	811.0	732.0	404.0	359.0	301.0	322.0	0	180.0	340.0	295.0	303.0	358.0	357.0	365.0
saliva1	832.0	771.0	742.0	748.0	927.0	866.0	324.0	279.0	297.0	248.0	180.0	0	274.0	355.0	317.0	420.0	321.0	375.0
saliva5	768.0	719.0	676.0	690.0	877.0	806.0	302.0	275.0	317.0	250.0	340.0	274.0	0	355.0	295.0	430.0	331.0	415.0
plaque4	671.0	630.0	593.0	609.0	784.0	697.0	385.0	354.0	280.0	311.0	295.0	355.0	355.0	0	96.0	321.0	356.0	374.0
saliva2	717.0	664.0	621.0	637.0	822.0	745.0	359.0	318.0	270.0	271.0	303.0	317.0	295.0	96.0	0	353.0	324.0	392.0
plaque5	636.0	589.0	532.0	574.0	735.0	656.0	420.0	387.0	357.0	402.0	358.0	420.0	430.0	321.0	353.0	0	209.0	347.0
saliva3	769.0	720.0	661.0	701.0	876.0	809.0	331.0	278.0	328.0	291.0	357.0	321.0	331.0	356.0	324.0	209.0	0	322.0
plaque2	841.0	788.0	763.0	779.0	938.0	867.0	285.0	282.0	336.0	349.0	365.0	375.0	415.0	374.0	392.0	347.0	322.0	0
