jaccard_binary	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
feces1	0	0.599	0.588	0.621	0.557	0.696	0.962	0.971	0.974	0.960	0.968	0.973	0.962	0.962	0.959	0.961	0.956	0.960
feces2	0.599	0	0.446	0.708	0.597	0.621	0.981	0.980	0.982	0.982	0.981	0.981	0.971	0.979	0.976	0.977	0.974	0.976
feces3	0.588	0.446	0	0.685	0.615	0.644	0.984	0.984	0.981	0.976	0.981	0.981	0.980	0.979	0.982	0.981	0.978	0.977
feces4	0.621	0.708	0.685	0	0.652	0.658	0.956	0.970	0.958	0.956	0.942	0.963	0.951	0.945	0.934	0.951	0.943	0.951
feces5	0.557	0.597	0.615	0.652	0	0.674	0.961	0.962	0.962	0.957	0.961	0.953	0.947	0.951	0.951	0.952	0.949	0.952
feces6	0.696	0.621	0.644	0.658	0.674	0	0.947	0.963	0.955	0.949	0.957	0.955	0.939	0.938	0.945	0.942	0.935	0.939
plaque1	0.962	0.981	0.984	0.956	0.961	0.947	0	0.407	0.583	0.575	0.634	0.441	0.448	0.529	0.476	0.394	0.442	0.312
plaque2	0.971	0.980	0.984	0.970	0.962	0.963	0.407	0	0.585	0.609	0.602	0.517	0.536	0.607	0.502	0.511	0.601	0.412
plaque3	0.974	0.982	0.981	0.958	0.962	0.955	0.583	0.585	0	0.582	0.696	0.533	0.336	0.567	0.603	0.535	0.581	0.548
plaque4	0.960	0.982	0.976	0.956	0.957	0.949	0.575	0.609	0.582	0	0.667	0.519	0.584	0.231	0.617	0.534	0.614	0.555
plaque5	0.968	0.981	0.981	0.942	0.961	0.957	0.634	0.602	0.696	0.667	0	0.644	0.682	0.679	0.436	0.667	0.728	0.614
plaque6	0.973	0.981	0.981	0.963	0.953	0.955	0.441	0.517	0.533	0.519	0.644	0	0.468	0.484	0.531	0.259	0.516	0.420
saliva1	0.962	0.971	0.980	0.951	0.947	0.939	0.448	0.536	0.336	0.584	0.682	0.468	0	0.518	0.498	0.390	0.440	0.407
saliva2	0.962	0.979	0.979	0.945	0.951	0.938	0.529	0.607	0.567	0.231	0.679	0.484	0.518	0	0.555	0.463	0.517	0.495
saliva3	0.959	0.976	0.982	0.934	0.951	0.945	0.476	0.502	0.603	0.617	0.436	0.531	0.498	0.555	0	0.465	0.534	0.425
saliva4	0.961	0.977	0.981	0.951	0.952	0.942	0.394	0.511	0.535	0.534	0.667	0.259	0.390	0.463	0.465	0	0.412	0.356
saliva5	0.956	0.974	0.978	0.943	0.949	0.935	0.442	0.601	0.581	0.614	0.728	0.516	0.440	0.517	0.534	0.412	0	0.420
saliva6	0.960	0.976	0.977	0.951	0.952	0.939	0.312	0.412	0.548	0.555	0.614	0.420	0.407	0.495	0.425	0.356	0.420	0
