OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Pathways
Amino Acid Metabolism	1874161.0	1910450.0	2166826.0	2054624.0	2333459.0	2046901.0	1862747.0	1739050.0	1786974.0	1835248.0	2008045.0	1804123.0	1980193.0	2158781.0	1971730.0	2021865.0	2152319.0	1989248.0	Metabolism; Amino Acid Metabolism
Biosynthesis of Other Secondary Metabolites	153276.0	169199.0	179001.0	170915.0	178383.0	167051.0	163724.0	153145.0	157095.0	155987.0	173250.0	159561.0	173045.0	177929.0	170218.0	174026.0	184933.0	169613.0	Metabolism; Biosynthesis of Other Secondary Metabolites
Cancers	23417.0	23463.0	28103.0	26048.0	30348.0	26523.0	24246.0	22007.0	21653.0	22643.0	25995.0	23378.0	23745.0	26340.0	24407.0	25247.0	26624.0	24594.0	Human Diseases; Cancers
Carbohydrate Metabolism	1765548.0	1802927.0	2036423.0	1937402.0	2200154.0	1914898.0	1750927.0	1629335.0	1684856.0	1723019.0	1890116.0	1695604.0	1875410.0	2047773.0	1852393.0	1908797.0	2041634.0	1868303.0	Metabolism; Carbohydrate Metabolism
Cardiovascular Diseases	2699.0	2726.0	3639.0	3147.0	3808.0	3480.0	2981.0	2482.0	2050.0	2406.0	3114.0	2756.0	2269.0	2426.0	2619.0	2696.0	2697.0	2780.0	Human Diseases; Cardiovascular Diseases
Cell Communication	122.0	127.0	79.0	74.0	79.0	102.0	192.0	117.0	125.0	119.0	147.0	172.0	135.0	93.0	154.0	102.0	116.0	134.0	Cellular Processes; Cell Communication
Cell Growth and Death	94296.0	90401.0	111656.0	103695.0	124876.0	105904.0	96289.0	85248.0	85416.0	90040.0	102364.0	91896.0	95003.0	108652.0	97318.0	99279.0	105278.0	98090.0	Cellular Processes; Cell Growth and Death
Cell Motility	628159.0	530408.0	666103.0	674096.0	851793.0	699778.0	566042.0	488405.0	547953.0	577317.0	624553.0	553299.0	603409.0	744136.0	610517.0	627584.0	660681.0	616478.0	Cellular Processes; Cell Motility
Cellular Processes and Signaling	644259.0	577311.0	699026.0	683789.0	832366.0	696910.0	617734.0	541804.0	595564.0	621245.0	665331.0	597822.0	653328.0	767360.0	654332.0	670526.0	710179.0	656807.0	Unclassified; Cellular Processes and Signaling
Circulatory System	10989.0	8357.0	11565.0	11361.0	15284.0	11711.0	8896.0	7476.0	8811.0	9535.0	10144.0	8491.0	9681.0	12776.0	10027.0	10519.0	10913.0	10294.0	Organismal Systems; Circulatory System
Digestive System	7978.0	7876.0	8874.0	8868.0	9741.0	8436.0	7964.0	7477.0	8901.0	8291.0	8789.0	7932.0	9761.0	10780.0	8759.0	9326.0	10532.0	8516.0	Organismal Systems; Digestive System
Endocrine System	84349.0	89835.0	97616.0	92830.0	101748.0	91800.0	82864.0	78863.0	81297.0	81952.0	91084.0	80619.0	91838.0	96883.0	89950.0	92090.0	99268.0	89901.0	Organismal Systems; Endocrine System
Energy Metabolism	979324.0	952994.0	1116072.0	1052344.0	1242875.0	1055538.0	1002681.0	909833.0	949310.0	961704.0	1073557.0	972817.0	1064656.0	1190990.0	1052814.0	1067250.0	1156595.0	1037496.0	Metabolism; Energy Metabolism
Environmental Adaptation	24265.0	22812.0	26613.0	25736.0	30596.0	26060.0	23369.0	21248.0	23238.0	23582.0	25453.0	22829.0	24843.0	28668.0	24943.0	25597.0	27237.0	25164.0	Organismal Systems; Environmental Adaptation
Enzyme Families	336999.0	329998.0	370848.0	358264.0	410712.0	367832.0	342575.0	305780.0	325502.0	332176.0	362602.0	330382.0	360893.0	399644.0	357503.0	361121.0	389819.0	352693.0	Metabolism; Enzyme Families
Excretory System	7141.0	7019.0	7580.0	7628.0	8822.0	7673.0	6669.0	6173.0	6693.0	6910.0	7251.0	6436.0	7713.0	8598.0	7220.0	7409.0	8279.0	7074.0	Organismal Systems; Excretory System
Folding, Sorting and Degradation	374217.0	360218.0	416258.0	398003.0	467878.0	402390.0	378371.0	342463.0	362732.0	367985.0	404082.0	366856.0	397835.0	448837.0	399317.0	403229.0	430615.0	395918.0	Genetic Information Processing; Folding, Sorting and Degradation
Genetic Information Processing	386870.0	363806.0	433158.0	410522.0	492942.0	417306.0	391775.0	350898.0	370791.0	379759.0	418069.0	378467.0	407770.0	463686.0	409302.0	413497.0	441484.0	405273.0	Unclassified; Genetic Information Processing
Glycan Biosynthesis and Metabolism	280666.0	264414.0	310303.0	297410.0	354679.0	301285.0	286484.0	254693.0	274127.0	279693.0	303177.0	277425.0	297127.0	339711.0	299778.0	305303.0	321897.0	297783.0	Metabolism; Glycan Biosynthesis and Metabolism
Immune System	8201.0	7828.0	8886.0	8736.0	10255.0	8635.0	8014.0	7309.0	8198.0	8179.0	8790.0	7856.0	8906.0	9908.0	8819.0	8902.0	9760.0	8508.0	Organismal Systems; Immune System
Immune System Diseases	10047.0	10587.0	11531.0	11132.0	12067.0	10801.0	9504.0	9337.0	10216.0	10067.0	10638.0	9381.0	11038.0	11768.0	10566.0	10972.0	11794.0	10631.0	Human Diseases; Immune System Diseases
Infectious Diseases	68602.0	64071.0	77928.0	74067.0	89820.0	77001.0	69733.0	61247.0	64260.0	66867.0	74134.0	67416.0	71711.0	81155.0	71639.0	72414.0	78297.0	71074.0	Human Diseases; Infectious Diseases
Lipid Metabolism	700964.0	735421.0	815487.0	773345.0	857269.0	767664.0	698971.0	655764.0	672420.0	688112.0	753730.0	679282.0	747120.0	798757.0	740052.0	764483.0	816597.0	746486.0	Metabolism; Lipid Metabolism
Membrane Transport	2230519.0	2204407.0	2522473.0	2480318.0	2885090.0	2477782.0	2155579.0	1977998.0	2054837.0	2136275.0	2346161.0	2101740.0	2302519.0	2575116.0	2263024.0	2354468.0	2549185.0	2294948.0	Environmental Information Processing; Membrane Transport
Metabolic Diseases	13315.0	13353.0	15137.0	14352.0	16179.0	14377.0	14185.0	12905.0	13538.0	13359.0	14881.0	13860.0	15081.0	16424.0	14650.0	14851.0	16233.0	14284.0	Human Diseases; Metabolic Diseases
Metabolism	492599.0	476376.0	556226.0	531418.0	623771.0	529625.0	476155.0	433421.0	465783.0	478856.0	518066.0	462384.0	517283.0	583341.0	508361.0	523471.0	562780.0	508016.0	Unclassified; Metabolism
Metabolism of Cofactors and Vitamins	715866.0	700489.0	814751.0	771633.0	905596.0	769387.0	725008.0	664893.0	694137.0	706334.0	777556.0	701481.0	773908.0	867015.0	765307.0	777710.0	837409.0	760243.0	Metabolism; Metabolism of Cofactors and Vitamins
Metabolism of Other Amino Acids	368728.0	372303.0	423440.0	402908.0	459302.0	405933.0	362191.0	330481.0	342629.0	354713.0	389698.0	348952.0	382195.0	419449.0	380988.0	392282.0	418775.0	385014.0	Metabolism; Metabolism of Other Amino Acids
Metabolism of Terpenoids and Polyketides	401482.0	431918.0	473684.0	440895.0	480660.0	434523.0	409525.0	385078.0	390308.0	397471.0	436891.0	395756.0	434893.0	455838.0	430998.0	442492.0	473388.0	432600.0	Metabolism; Metabolism of Terpenoids and Polyketides
Nervous System	14516.0	15013.0	16788.0	15927.0	17673.0	15614.0	14862.0	13913.0	14138.0	14514.0	16047.0	14492.0	15688.0	17020.0	15609.0	15926.0	17309.0	15524.0	Organismal Systems; Nervous System
Neurodegenerative Diseases	61834.0	54069.0	70827.0	67118.0	83953.0	68857.0	56662.0	49619.0	52987.0	56568.0	62465.0	54407.0	57485.0	69305.0	59826.0	62147.0	64280.0	61891.0	Human Diseases; Neurodegenerative Diseases
Nucleotide Metabolism	509932.0	506277.0	583279.0	554625.0	639583.0	552876.0	515802.0	477040.0	497079.0	504467.0	553578.0	500169.0	544793.0	606099.0	544529.0	552697.0	589303.0	545331.0	Metabolism; Nucleotide Metabolism
Poorly Characterized	887593.0	861207.0	994193.0	956494.0	1122000.0	958635.0	871291.0	799974.0	848605.0	869118.0	942095.0	846110.0	936743.0	1052348.0	924004.0	948374.0	1019380.0	926395.0	Unclassified; Poorly Characterized
Replication and Repair	1136298.0	1108313.0	1277849.0	1216698.0	1418263.0	1214561.0	1135799.0	1041124.0	1098493.0	1116751.0	1219436.0	1096435.0	1206215.0	1358595.0	1208663.0	1225198.0	1306118.0	1205935.0	Genetic Information Processing; Replication and Repair
Sensory System	35.0	36.0	19.0	24.0	25.0	32.0	61.0	35.0	35.0	36.0	47.0	52.0	42.0	29.0	49.0	33.0	35.0	41.0	Organismal Systems; Sensory System
